chunk,accuracy
0,0.0
1,0.12
2,0.14
3,0.125
4,0.14
5,0.17
6,0.165
7,0.145
8,0.225
9,0.22
10,0.28
11,0.18
12,0.255
13,0.24
14,0.305
15,0.185
16,0.22
17,0.255
18,0.245
19,0.26
20,0.355
21,0.155
22,0.295
23,0.23
24,0.255
25,0.335
26,0.305
27,0.24
28,0.185
29,0.27
30,0.3
31,0.265
32,0.235
33,0.375
34,0.215
35,0.18
36,0.335
37,0.3
38,0.315
39,0.245
40,0.25
41,0.23
42,0.26
43,0.32
44,0.325
45,0.325
46,0.325
47,0.33
48,0.34
49,0.31
50,0.305
51,0.23
52,0.335
53,0.315
54,0.295
55,0.19
56,0.25
57,0.35
58,0.245
59,0.34
60,0.285
61,0.29
62,0.33
63,0.28
64,0.32
65,0.36
66,0.275
67,0.33
68,0.185
69,0.35
70,0.28
71,0.3
72,0.335
73,0.365
74,0.19
75,0.365
76,0.28
77,0.285
78,0.29
79,0.355
80,0.21
81,0.335
82,0.37
83,0.28
84,0.295
85,0.36
86,0.3
87,0.32
88,0.355
89,0.23
90,0.205
91,0.35
92,0.25
93,0.315
94,0.335
95,0.375
96,0.265
97,0.28
98,0.42
99,0.42
100,0.18
101,0.27
102,0.3
103,0.35
104,0.375
105,0.395
106,0.295
107,0.305
108,0.315
109,0.255
110,0.26
111,0.34
112,0.345
113,0.275
114,0.345
115,0.39
116,0.355
117,0.29
118,0.33
119,0.385
120,0.24
121,0.365
122,0.28
123,0.335
124,0.33
125,0.415
126,0.41
127,0.34
128,0.41
129,0.32
130,0.3
131,0.425
132,0.335
133,0.285
134,0.375
135,0.39
136,0.27
137,0.28
138,0.375
139,0.325
140,0.385
141,0.305
142,0.275
143,0.31
144,0.36
145,0.325
146,0.33
147,0.355
148,0.38
149,0.32
150,0.34
151,0.235
152,0.335
153,0.3
154,0.325
155,0.305
156,0.325
157,0.33
158,0.185
159,0.205
160,0.32
161,0.29
162,0.3
163,0.355
164,0.34
165,0.325
166,0.385
167,0.355
168,0.225
169,0.385
170,0.19
171,0.235
172,0.305
173,0.35
174,0.335
175,0.32
176,0.315
177,0.35
178,0.35
179,0.245
180,0.355
181,0.27
182,0.35
183,0.21
184,0.235
185,0.33
186,0.325
187,0.345
188,0.34
189,0.34
190,0.39
191,0.325
192,0.27
193,0.235
194,0.33
195,0.24
196,0.24
197,0.315
198,0.275
199,0.285
200,0.315
201,0.325
202,0.305
203,0.295
204,0.235
205,0.245
206,0.38
207,0.3
208,0.365
209,0.27
210,0.345
211,0.345
212,0.4
213,0.38
214,0.265
215,0.325
216,0.385
217,0.38
218,0.37
219,0.32
220,0.345
221,0.285
222,0.305
223,0.355
224,0.385
225,0.33
226,0.41
227,0.26
228,0.32
229,0.305
230,0.39
231,0.315
232,0.34
233,0.41
234,0.31
235,0.37
236,0.35
237,0.38
238,0.36
239,0.4
240,0.435
241,0.4
242,0.355
243,0.37
244,0.285
245,0.285
246,0.38
247,0.35
248,0.3
249,0.4
250,0.41
251,0.38
252,0.395
253,0.255
254,0.47
255,0.385
256,0.3
257,0.19
258,0.28
259,0.3
260,0.385
261,0.34
262,0.445
263,0.325
264,0.32
265,0.315
266,0.31
267,0.325
268,0.4
269,0.41
270,0.22
271,0.4
272,0.335
273,0.4
274,0.44
275,0.445
276,0.435
277,0.315
278,0.32
279,0.38
280,0.345
281,0.36
282,0.385
283,0.32
284,0.275
285,0.44
286,0.345
287,0.43
288,0.43
289,0.375
290,0.285
291,0.36
292,0.315
293,0.435
294,0.37
295,0.195
296,0.4
297,0.38
298,0.415
