chunk,accuracy
0,0.0
1,0.085
2,0.15
3,0.105
4,0.14
5,0.18
6,0.185
7,0.225
8,0.17
9,0.155
10,0.18
11,0.18
12,0.2
13,0.235
14,0.225
15,0.24
16,0.265
17,0.27
18,0.145
19,0.27
20,0.26
21,0.24
22,0.195
23,0.19
24,0.215
25,0.235
26,0.21
27,0.195
28,0.22
29,0.195
30,0.24
31,0.205
32,0.205
33,0.275
34,0.195
35,0.205
36,0.215
37,0.195
38,0.24
39,0.22
40,0.215
41,0.22
42,0.22
43,0.265
44,0.245
45,0.26
46,0.25
47,0.27
48,0.19
49,0.175
50,0.2
51,0.195
52,0.245
53,0.24
54,0.26
55,0.205
56,0.26
57,0.215
58,0.16
59,0.19
60,0.2
61,0.26
62,0.15
63,0.215
64,0.295
65,0.195
66,0.18
67,0.255
68,0.2
69,0.255
70,0.23
71,0.19
72,0.235
73,0.25
74,0.245
75,0.14
76,0.185
77,0.265
78,0.18
79,0.23
80,0.165
81,0.23
82,0.21
83,0.2
84,0.21
85,0.225
86,0.2
87,0.255
88,0.21
89,0.195
90,0.205
91,0.21
92,0.235
93,0.2
94,0.18
95,0.25
96,0.21
97,0.245
98,0.165
99,0.235
100,0.255
101,0.225
102,0.17
103,0.245
104,0.195
105,0.245
106,0.23
107,0.215
108,0.285
109,0.205
110,0.29
111,0.16
112,0.155
113,0.225
114,0.2
115,0.215
116,0.205
117,0.205
118,0.205
119,0.195
120,0.24
121,0.175
122,0.205
123,0.22
124,0.19
125,0.18
126,0.165
127,0.235
128,0.195
129,0.19
130,0.225
131,0.205
132,0.19
133,0.255
134,0.17
135,0.2
136,0.26
137,0.26
138,0.235
139,0.21
140,0.195
141,0.245
142,0.215
143,0.16
144,0.275
145,0.255
146,0.21
147,0.225
148,0.17
149,0.275
150,0.195
151,0.26
152,0.205
153,0.195
154,0.285
155,0.23
156,0.27
157,0.275
158,0.275
159,0.255
160,0.325
161,0.24
162,0.295
163,0.295
164,0.315
165,0.3
166,0.375
167,0.3
168,0.27
169,0.345
170,0.295
171,0.265
172,0.335
173,0.35
174,0.245
175,0.26
176,0.34
177,0.375
178,0.33
179,0.31
180,0.3
181,0.26
182,0.275
183,0.27
184,0.33
185,0.36
186,0.285
187,0.34
188,0.335
189,0.26
190,0.315
191,0.28
192,0.31
193,0.28
194,0.285
195,0.32
196,0.375
197,0.325
198,0.315
199,0.275
200,0.315
201,0.28
202,0.275
203,0.345
204,0.32
205,0.325
206,0.34
207,0.285
208,0.28
209,0.265
210,0.26
211,0.335
212,0.375
213,0.265
214,0.375
215,0.33
216,0.295
217,0.4
218,0.31
219,0.315
220,0.25
221,0.325
222,0.275
223,0.3
224,0.295
225,0.265
226,0.285
227,0.31
228,0.33
229,0.365
230,0.335
231,0.285
232,0.33
233,0.35
234,0.27
235,0.355
236,0.3
237,0.255
238,0.275
239,0.27
240,0.35
241,0.355
242,0.295
243,0.285
244,0.335
245,0.375
246,0.285
247,0.3
248,0.305
249,0.3
250,0.345
251,0.345
252,0.25
253,0.295
254,0.255
255,0.33
256,0.315
257,0.295
258,0.34
259,0.39
260,0.3
261,0.345
262,0.335
263,0.37
264,0.335
265,0.3
266,0.315
267,0.31
268,0.325
269,0.31
270,0.255
271,0.36
272,0.25
273,0.26
274,0.275
275,0.315
276,0.355
277,0.27
278,0.31
279,0.36
280,0.22
281,0.345
282,0.31
283,0.3
284,0.26
285,0.33
286,0.32
287,0.285
288,0.275
289,0.365
290,0.285
291,0.28
292,0.27
293,0.33
294,0.29
295,0.38
296,0.305
297,0.32
298,0.35
