chunk,accuracy
0,0.0
1,0.095
2,0.165
3,0.28
4,0.2
5,0.185
6,0.255
7,0.235
8,0.295
9,0.345
10,0.3
11,0.285
12,0.26
13,0.27
14,0.31
15,0.255
16,0.235
17,0.215
18,0.325
19,0.335
20,0.315
21,0.32
22,0.275
23,0.345
24,0.295
25,0.285
26,0.335
27,0.315
28,0.355
29,0.345
30,0.38
31,0.29
32,0.32
33,0.31
34,0.32
35,0.305
36,0.27
37,0.325
38,0.325
39,0.325
40,0.32
41,0.27
42,0.345
43,0.365
44,0.355
45,0.355
46,0.305
47,0.31
48,0.23
49,0.26
50,0.29
51,0.34
52,0.295
53,0.315
54,0.255
55,0.275
56,0.29
57,0.305
58,0.3
59,0.305
60,0.34
61,0.295
62,0.325
63,0.265
64,0.315
65,0.345
66,0.32
67,0.29
68,0.295
69,0.305
70,0.27
71,0.31
72,0.41
73,0.29
74,0.33
75,0.35
76,0.335
77,0.305
78,0.315
79,0.365
80,0.3
81,0.265
82,0.295
83,0.3
84,0.305
85,0.3
86,0.325
87,0.31
88,0.305
89,0.29
90,0.3
91,0.32
92,0.285
93,0.35
94,0.335
95,0.31
96,0.34
97,0.345
98,0.265
99,0.31
100,0.325
101,0.28
102,0.355
103,0.315
104,0.31
105,0.33
106,0.3
107,0.34
108,0.36
109,0.26
110,0.32
111,0.29
112,0.355
113,0.37
114,0.32
115,0.29
116,0.32
117,0.27
118,0.325
119,0.325
120,0.355
121,0.315
122,0.295
123,0.39
124,0.39
125,0.36
126,0.28
127,0.325
128,0.345
129,0.325
130,0.31
131,0.355
132,0.26
133,0.3
134,0.325
135,0.345
136,0.35
137,0.3
138,0.32
139,0.275
140,0.335
141,0.29
142,0.35
143,0.25
144,0.305
145,0.285
146,0.275
147,0.33
148,0.295
149,0.265
150,0.22
151,0.27
152,0.215
153,0.19
154,0.175
155,0.235
156,0.225
157,0.155
158,0.255
159,0.205
160,0.215
161,0.25
162,0.2
163,0.165
164,0.2
165,0.185
166,0.18
167,0.24
168,0.16
169,0.235
170,0.175
171,0.18
172,0.235
173,0.22
174,0.23
175,0.21
176,0.19
177,0.245
178,0.26
179,0.165
180,0.175
181,0.2
182,0.165
183,0.17
184,0.17
185,0.21
186,0.24
187,0.205
188,0.195
189,0.15
190,0.165
191,0.22
192,0.21
193,0.22
194,0.245
195,0.16
196,0.195
197,0.17
198,0.21
199,0.21
200,0.245
201,0.185
202,0.22
203,0.19
204,0.195
205,0.175
206,0.215
207,0.165
208,0.24
209,0.18
210,0.205
211,0.26
212,0.245
213,0.235
214,0.22
215,0.245
216,0.18
217,0.24
218,0.195
219,0.225
220,0.215
221,0.23
222,0.265
223,0.2
224,0.14
225,0.215
226,0.255
227,0.175
228,0.205
229,0.19
230,0.225
231,0.25
232,0.23
233,0.2
234,0.21
235,0.25
236,0.185
237,0.215
238,0.155
239,0.205
240,0.215
241,0.19
242,0.255
243,0.235
244,0.21
245,0.205
246,0.255
247,0.18
248,0.24
249,0.185
250,0.22
251,0.205
252,0.205
253,0.25
254,0.2
255,0.155
256,0.195
257,0.25
258,0.18
259,0.21
260,0.255
261,0.185
262,0.24
263,0.185
264,0.23
265,0.18
266,0.185
267,0.225
268,0.235
269,0.19
270,0.235
271,0.175
272,0.195
273,0.245
274,0.16
275,0.2
276,0.13
277,0.245
278,0.25
279,0.195
280,0.26
281,0.25
282,0.2
283,0.265
284,0.245
285,0.165
286,0.25
287,0.2
288,0.185
289,0.23
290,0.175
291,0.22
292,0.235
293,0.205
294,0.205
295,0.185
296,0.255
297,0.22
298,0.17
