chunk,accuracy
0,0.0
1,0.095
2,0.1
3,0.135
4,0.14
5,0.16
6,0.125
7,0.14
8,0.12
9,0.19
10,0.17
11,0.205
12,0.145
13,0.135
14,0.225
15,0.225
16,0.235
17,0.18
18,0.31
19,0.24
20,0.24
21,0.245
22,0.3
23,0.215
24,0.22
25,0.215
26,0.235
27,0.24
28,0.245
29,0.185
30,0.22
31,0.29
32,0.25
33,0.29
34,0.3
35,0.11
36,0.245
37,0.25
38,0.165
39,0.29
40,0.32
41,0.245
42,0.28
43,0.21
44,0.29
45,0.24
46,0.23
47,0.23
48,0.19
49,0.2
50,0.2
51,0.265
52,0.26
53,0.19
54,0.31
55,0.25
56,0.2
57,0.26
58,0.285
59,0.315
60,0.335
61,0.205
62,0.245
63,0.25
64,0.26
65,0.31
66,0.255
67,0.35
68,0.25
69,0.26
70,0.26
71,0.265
72,0.275
73,0.27
74,0.2
75,0.325
76,0.245
77,0.34
78,0.23
79,0.35
80,0.29
81,0.21
82,0.275
83,0.19
84,0.305
85,0.305
86,0.24
87,0.215
88,0.245
89,0.28
90,0.225
91,0.335
92,0.32
93,0.29
94,0.25
95,0.295
96,0.28
97,0.265
98,0.285
99,0.365
100,0.185
101,0.275
102,0.33
103,0.275
104,0.15
105,0.24
106,0.27
107,0.325
108,0.305
109,0.34
110,0.25
111,0.27
112,0.33
113,0.285
114,0.3
115,0.275
116,0.31
117,0.325
118,0.36
119,0.28
120,0.39
121,0.25
122,0.17
123,0.325
124,0.34
125,0.35
126,0.36
127,0.245
128,0.205
129,0.245
130,0.355
131,0.33
132,0.23
133,0.295
134,0.295
135,0.36
136,0.355
137,0.31
138,0.285
139,0.35
140,0.21
141,0.19
142,0.315
143,0.36
144,0.385
145,0.28
146,0.245
147,0.33
148,0.17
149,0.305
150,0.33
151,0.33
152,0.355
153,0.39
154,0.33
155,0.335
156,0.41
157,0.355
158,0.33
159,0.33
160,0.325
161,0.3
162,0.335
163,0.33
164,0.37
165,0.34
166,0.265
167,0.445
168,0.29
169,0.29
170,0.305
171,0.3
172,0.29
173,0.35
174,0.385
175,0.275
176,0.305
177,0.34
178,0.275
179,0.345
180,0.305
181,0.435
182,0.35
183,0.38
184,0.35
185,0.35
186,0.37
187,0.24
188,0.37
189,0.32
190,0.34
191,0.405
192,0.34
193,0.375
194,0.27
195,0.35
196,0.3
197,0.395
198,0.33
199,0.305
200,0.35
201,0.28
202,0.38
203,0.375
204,0.345
205,0.345
206,0.365
207,0.395
208,0.335
209,0.35
210,0.33
211,0.37
212,0.45
213,0.345
214,0.275
215,0.33
216,0.335
217,0.35
218,0.38
219,0.325
220,0.365
221,0.315
222,0.4
223,0.31
224,0.395
225,0.35
226,0.37
227,0.34
228,0.32
229,0.33
230,0.325
231,0.38
232,0.45
233,0.3
234,0.23
235,0.37
236,0.38
237,0.425
238,0.355
239,0.345
240,0.325
241,0.39
242,0.425
243,0.43
244,0.285
245,0.37
246,0.455
247,0.32
248,0.385
249,0.34
250,0.36
251,0.36
252,0.265
253,0.395
254,0.395
255,0.375
256,0.39
257,0.345
258,0.35
259,0.325
260,0.37
261,0.36
262,0.365
263,0.425
264,0.24
265,0.39
266,0.325
267,0.42
268,0.35
269,0.32
270,0.36
271,0.385
272,0.21
273,0.39
274,0.4
275,0.465
276,0.335
277,0.34
278,0.42
279,0.395
280,0.44
281,0.33
282,0.375
283,0.35
284,0.355
285,0.37
286,0.375
287,0.415
288,0.36
289,0.25
290,0.365
291,0.455
292,0.365
293,0.385
294,0.32
295,0.42
296,0.43
297,0.37
298,0.43
