chunk,accuracy
0,0.0
1,0.13
2,0.165
3,0.1
4,0.16
5,0.145
6,0.2
7,0.205
8,0.14
9,0.155
10,0.2
11,0.23
12,0.175
13,0.235
14,0.21
15,0.165
16,0.125
17,0.215
18,0.19
19,0.15
20,0.225
21,0.195
22,0.275
23,0.235
24,0.195
25,0.3
26,0.25
27,0.22
28,0.245
29,0.23
30,0.245
31,0.165
32,0.21
33,0.21
34,0.175
35,0.21
36,0.275
37,0.23
38,0.255
39,0.3
40,0.2
41,0.25
42,0.28
43,0.25
44,0.26
45,0.29
46,0.275
47,0.24
48,0.25
49,0.28
50,0.26
51,0.24
52,0.19
53,0.24
54,0.3
55,0.285
56,0.24
57,0.335
58,0.295
59,0.23
60,0.215
61,0.235
62,0.275
63,0.305
64,0.325
65,0.355
66,0.21
67,0.325
68,0.27
69,0.285
70,0.255
71,0.285
72,0.285
73,0.28
74,0.205
75,0.22
76,0.2
77,0.28
78,0.295
79,0.29
80,0.345
81,0.195
82,0.28
83,0.29
84,0.19
85,0.235
86,0.32
87,0.25
88,0.235
89,0.295
90,0.27
91,0.325
92,0.325
93,0.29
94,0.245
95,0.33
96,0.25
97,0.245
98,0.24
99,0.27
100,0.23
101,0.25
102,0.255
103,0.36
104,0.265
105,0.165
106,0.245
107,0.285
108,0.26
109,0.29
110,0.305
111,0.23
112,0.225
113,0.3
114,0.31
115,0.255
116,0.275
117,0.35
118,0.21
119,0.305
120,0.305
121,0.325
122,0.32
123,0.26
124,0.305
125,0.33
126,0.375
127,0.345
128,0.315
129,0.34
130,0.335
131,0.38
132,0.275
133,0.2
134,0.31
135,0.3
136,0.345
137,0.33
138,0.335
139,0.385
140,0.215
141,0.36
142,0.27
143,0.315
144,0.355
145,0.33
146,0.315
147,0.215
148,0.295
149,0.33
150,0.245
151,0.35
152,0.305
153,0.29
154,0.37
155,0.33
156,0.255
157,0.285
158,0.3
159,0.355
160,0.295
161,0.37
162,0.375
163,0.345
164,0.275
165,0.39
166,0.36
167,0.37
168,0.385
169,0.385
170,0.32
171,0.215
172,0.295
173,0.38
174,0.35
175,0.33
176,0.32
177,0.345
178,0.33
179,0.285
180,0.395
181,0.315
182,0.355
183,0.33
184,0.385
185,0.28
186,0.375
187,0.36
188,0.415
189,0.355
190,0.35
191,0.295
192,0.34
193,0.395
194,0.435
195,0.275
196,0.295
197,0.315
198,0.3
199,0.335
200,0.425
201,0.335
202,0.375
203,0.335
204,0.35
205,0.34
206,0.435
207,0.35
208,0.395
209,0.36
210,0.39
211,0.365
212,0.385
213,0.46
214,0.43
215,0.345
216,0.385
217,0.405
218,0.28
219,0.24
220,0.34
221,0.405
222,0.355
223,0.38
224,0.42
225,0.355
226,0.37
227,0.39
228,0.375
229,0.225
230,0.355
231,0.355
232,0.36
233,0.37
234,0.34
235,0.39
236,0.315
237,0.37
238,0.38
239,0.34
240,0.355
241,0.41
242,0.365
243,0.16
244,0.4
245,0.37
246,0.39
247,0.39
248,0.36
249,0.35
250,0.35
251,0.405
252,0.41
253,0.39
254,0.42
255,0.355
256,0.315
257,0.38
258,0.405
259,0.315
260,0.4
261,0.35
262,0.375
263,0.35
264,0.355
265,0.35
266,0.295
267,0.325
268,0.455
269,0.365
270,0.43
271,0.39
272,0.4
273,0.395
274,0.39
275,0.4
276,0.365
277,0.4
278,0.375
279,0.42
280,0.315
281,0.405
282,0.325
283,0.39
284,0.35
285,0.375
286,0.39
287,0.425
288,0.445
289,0.39
290,0.39
291,0.415
292,0.37
293,0.37
294,0.34
295,0.38
296,0.365
297,0.265
298,0.485
