chunk,accuracy
0,0.0
1,0.115
2,0.19
3,0.155
4,0.185
5,0.215
6,0.255
7,0.305
8,0.125
9,0.155
10,0.295
11,0.165
12,0.265
13,0.205
14,0.3
15,0.19
16,0.295
17,0.235
18,0.345
19,0.145
20,0.26
21,0.28
22,0.265
23,0.26
24,0.23
25,0.205
26,0.28
27,0.31
28,0.175
29,0.28
30,0.22
31,0.295
32,0.205
33,0.3
34,0.28
35,0.335
36,0.225
37,0.27
38,0.24
39,0.24
40,0.305
41,0.325
42,0.32
43,0.2
44,0.335
45,0.15
46,0.31
47,0.36
48,0.325
49,0.295
50,0.345
51,0.27
52,0.385
53,0.255
54,0.18
55,0.205
56,0.34
57,0.325
58,0.285
59,0.315
60,0.295
61,0.365
62,0.295
63,0.275
64,0.34
65,0.365
66,0.26
67,0.415
68,0.32
69,0.24
70,0.36
71,0.35
72,0.22
73,0.16
74,0.36
75,0.325
76,0.34
77,0.24
78,0.365
79,0.33
80,0.335
81,0.33
82,0.295
83,0.2
84,0.385
85,0.37
86,0.32
87,0.31
88,0.33
89,0.365
90,0.255
91,0.265
92,0.36
93,0.22
94,0.33
95,0.36
96,0.365
97,0.235
98,0.36
99,0.395
100,0.385
101,0.33
102,0.285
103,0.32
104,0.265
105,0.245
106,0.39
107,0.34
108,0.35
109,0.43
110,0.355
111,0.255
112,0.315
113,0.305
114,0.355
115,0.36
116,0.285
117,0.375
118,0.35
119,0.205
120,0.285
121,0.215
122,0.32
123,0.41
124,0.315
125,0.385
126,0.165
127,0.35
128,0.38
129,0.235
130,0.33
131,0.375
132,0.245
133,0.36
134,0.355
135,0.31
136,0.37
137,0.405
138,0.385
139,0.365
140,0.335
141,0.37
142,0.375
143,0.32
144,0.39
145,0.375
146,0.385
147,0.405
148,0.375
149,0.29
150,0.28
151,0.355
152,0.295
153,0.27
154,0.23
155,0.295
156,0.255
157,0.32
158,0.235
159,0.27
160,0.395
161,0.3
162,0.23
163,0.285
164,0.175
165,0.315
166,0.345
167,0.335
168,0.28
169,0.34
170,0.305
171,0.31
172,0.405
173,0.3
174,0.375
175,0.345
176,0.38
177,0.345
178,0.315
179,0.215
180,0.37
181,0.26
182,0.34
183,0.31
184,0.35
185,0.33
186,0.29
187,0.345
188,0.265
189,0.32
190,0.37
191,0.35
192,0.365
193,0.365
194,0.38
195,0.375
196,0.315
197,0.285
198,0.33
199,0.36
200,0.42
201,0.265
202,0.17
203,0.25
204,0.305
205,0.3
206,0.345
207,0.385
208,0.37
209,0.32
210,0.355
211,0.39
212,0.245
213,0.29
214,0.385
215,0.415
216,0.32
217,0.265
218,0.325
219,0.375
220,0.36
221,0.435
222,0.325
223,0.295
224,0.285
225,0.34
226,0.315
227,0.31
228,0.415
229,0.235
230,0.405
231,0.31
232,0.385
233,0.36
234,0.41
235,0.425
236,0.415
237,0.28
238,0.36
239,0.35
240,0.35
241,0.36
242,0.395
243,0.355
244,0.39
245,0.345
246,0.395
247,0.41
248,0.37
249,0.395
250,0.36
251,0.37
252,0.235
253,0.33
254,0.34
255,0.405
256,0.38
257,0.405
258,0.275
259,0.285
260,0.29
261,0.32
262,0.36
263,0.4
264,0.215
265,0.33
266,0.345
267,0.405
268,0.315
269,0.305
270,0.365
271,0.365
272,0.42
273,0.21
274,0.335
275,0.34
276,0.355
277,0.39
278,0.37
279,0.4
280,0.365
281,0.27
282,0.37
283,0.26
284,0.275
285,0.315
286,0.355
287,0.36
288,0.405
289,0.315
290,0.32
291,0.34
292,0.32
293,0.405
294,0.305
295,0.37
296,0.38
297,0.305
298,0.3
