chunk,accuracy
0,0.0
1,0.08
2,0.125
3,0.195
4,0.175
5,0.16
6,0.14
7,0.195
8,0.145
9,0.165
10,0.205
11,0.24
12,0.215
13,0.12
14,0.185
15,0.29
16,0.18
17,0.19
18,0.135
19,0.26
20,0.21
21,0.235
22,0.265
23,0.185
24,0.185
25,0.21
26,0.245
27,0.205
28,0.24
29,0.17
30,0.21
31,0.195
32,0.255
33,0.19
34,0.22
35,0.2
36,0.195
37,0.225
38,0.26
39,0.175
40,0.23
41,0.245
42,0.2
43,0.24
44,0.225
45,0.2
46,0.2
47,0.205
48,0.22
49,0.21
50,0.23
51,0.24
52,0.2
53,0.24
54,0.215
55,0.195
56,0.215
57,0.205
58,0.24
59,0.155
60,0.245
61,0.18
62,0.24
63,0.18
64,0.21
65,0.22
66,0.215
67,0.2
68,0.27
69,0.18
70,0.265
71,0.23
72,0.21
73,0.255
74,0.2
75,0.275
76,0.16
77,0.185
78,0.225
79,0.195
80,0.245
81,0.295
82,0.205
83,0.205
84,0.21
85,0.21
86,0.225
87,0.19
88,0.23
89,0.235
90,0.22
91,0.22
92,0.25
93,0.23
94,0.2
95,0.205
96,0.28
97,0.245
98,0.235
99,0.22
100,0.18
101,0.2
102,0.19
103,0.165
104,0.245
105,0.24
106,0.2
107,0.195
108,0.215
109,0.205
110,0.2
111,0.2
112,0.195
113,0.155
114,0.2
115,0.255
116,0.18
117,0.225
118,0.195
119,0.205
120,0.235
121,0.285
122,0.195
123,0.195
124,0.22
125,0.24
126,0.235
127,0.24
128,0.215
129,0.165
130,0.25
131,0.245
132,0.165
133,0.21
134,0.19
135,0.215
136,0.18
137,0.265
138,0.205
139,0.235
140,0.215
141,0.24
142,0.19
143,0.195
144,0.23
145,0.18
146,0.24
147,0.195
148,0.175
149,0.185
150,0.23
151,0.2
152,0.205
153,0.21
154,0.24
155,0.28
156,0.28
157,0.24
158,0.235
159,0.2
160,0.27
161,0.265
162,0.315
163,0.31
164,0.27
165,0.335
166,0.315
167,0.33
168,0.35
169,0.34
170,0.365
171,0.27
172,0.305
173,0.32
174,0.285
175,0.29
176,0.27
177,0.33
178,0.27
179,0.31
180,0.28
181,0.325
182,0.325
183,0.31
184,0.325
185,0.355
186,0.315
187,0.325
188,0.305
189,0.295
190,0.29
191,0.355
192,0.285
193,0.315
194,0.365
195,0.285
196,0.295
197,0.325
198,0.31
199,0.23
200,0.33
201,0.3
202,0.35
203,0.38
204,0.34
205,0.315
206,0.385
207,0.29
208,0.365
209,0.32
210,0.315
211,0.31
212,0.325
213,0.33
214,0.27
215,0.315
216,0.31
217,0.28
218,0.34
219,0.295
220,0.31
221,0.33
222,0.28
223,0.31
224,0.35
225,0.26
226,0.275
227,0.295
228,0.285
229,0.31
230,0.325
231,0.335
232,0.305
233,0.345
234,0.36
235,0.34
236,0.36
237,0.305
238,0.305
239,0.31
240,0.305
241,0.28
242,0.34
243,0.33
244,0.265
245,0.345
246,0.315
247,0.335
248,0.33
249,0.31
250,0.315
251,0.35
252,0.31
253,0.33
254,0.295
255,0.295
256,0.35
257,0.34
258,0.265
259,0.305
260,0.275
261,0.26
262,0.35
263,0.335
264,0.355
265,0.23
266,0.325
267,0.305
268,0.235
269,0.285
270,0.345
271,0.315
272,0.325
273,0.275
274,0.325
275,0.355
276,0.305
277,0.315
278,0.32
279,0.295
280,0.3
281,0.33
282,0.31
283,0.29
284,0.325
285,0.25
286,0.325
287,0.325
288,0.345
289,0.295
290,0.28
291,0.315
292,0.32
293,0.3
294,0.325
295,0.355
296,0.305
297,0.225
298,0.3
