chunk,accuracy
0,0.0
1,0.125
2,0.17
3,0.185
4,0.225
5,0.21
6,0.165
7,0.27
8,0.22
9,0.27
10,0.225
11,0.225
12,0.24
13,0.195
14,0.265
15,0.185
16,0.35
17,0.32
18,0.3
19,0.245
20,0.33
21,0.235
22,0.27
23,0.325
24,0.285
25,0.325
26,0.27
27,0.3
28,0.275
29,0.355
30,0.335
31,0.29
32,0.31
33,0.4
34,0.37
35,0.26
36,0.295
37,0.345
38,0.325
39,0.275
40,0.295
41,0.305
42,0.295
43,0.315
44,0.285
45,0.325
46,0.335
47,0.26
48,0.34
49,0.325
50,0.315
51,0.26
52,0.275
53,0.325
54,0.295
55,0.34
56,0.315
57,0.305
58,0.315
59,0.31
60,0.3
61,0.32
62,0.305
63,0.315
64,0.385
65,0.335
66,0.265
67,0.295
68,0.25
69,0.335
70,0.315
71,0.305
72,0.395
73,0.33
74,0.325
75,0.315
76,0.32
77,0.39
78,0.325
79,0.33
80,0.29
81,0.34
82,0.345
83,0.33
84,0.33
85,0.33
86,0.29
87,0.28
88,0.315
89,0.325
90,0.315
91,0.345
92,0.355
93,0.29
94,0.265
95,0.32
96,0.295
97,0.31
98,0.305
99,0.345
100,0.355
101,0.34
102,0.29
103,0.355
104,0.325
105,0.285
106,0.365
107,0.26
108,0.35
109,0.34
110,0.35
111,0.31
112,0.275
113,0.31
114,0.305
115,0.25
116,0.33
117,0.28
118,0.32
119,0.235
120,0.285
121,0.305
122,0.38
123,0.32
124,0.355
125,0.315
126,0.28
127,0.34
128,0.3
129,0.29
130,0.335
131,0.29
132,0.325
133,0.32
134,0.265
135,0.285
136,0.34
137,0.3
138,0.4
139,0.32
140,0.32
141,0.29
142,0.28
143,0.31
144,0.31
145,0.3
146,0.32
147,0.325
148,0.2
149,0.23
150,0.245
151,0.23
152,0.225
153,0.155
154,0.2
155,0.225
156,0.15
157,0.135
158,0.16
159,0.205
160,0.185
161,0.2
162,0.235
163,0.205
164,0.2
165,0.225
166,0.19
167,0.195
168,0.24
169,0.255
170,0.205
171,0.22
172,0.22
173,0.215
174,0.185
175,0.21
176,0.215
177,0.23
178,0.16
179,0.24
180,0.185
181,0.225
182,0.18
183,0.175
184,0.195
185,0.185
186,0.195
187,0.235
188,0.21
189,0.165
190,0.23
191,0.22
192,0.21
193,0.18
194,0.175
195,0.255
196,0.23
197,0.235
198,0.23
199,0.17
200,0.23
201,0.165
202,0.235
203,0.21
204,0.185
205,0.185
206,0.235
207,0.285
208,0.19
209,0.185
210,0.18
211,0.22
212,0.2
213,0.195
214,0.225
215,0.16
216,0.18
217,0.225
218,0.25
219,0.22
220,0.21
221,0.25
222,0.245
223,0.22
224,0.22
225,0.23
226,0.18
227,0.185
228,0.165
229,0.195
230,0.23
231,0.255
232,0.2
233,0.19
234,0.225
235,0.195
236,0.165
237,0.175
238,0.195
239,0.185
240,0.245
241,0.255
242,0.27
243,0.22
244,0.285
245,0.23
246,0.195
247,0.225
248,0.28
249,0.235
250,0.205
251,0.235
252,0.25
253,0.23
254,0.215
255,0.195
256,0.165
257,0.245
258,0.25
259,0.2
260,0.195
261,0.235
262,0.225
263,0.225
264,0.19
265,0.265
266,0.215
267,0.225
268,0.23
269,0.175
270,0.225
271,0.19
272,0.26
273,0.19
274,0.22
275,0.165
276,0.175
277,0.23
278,0.255
279,0.225
280,0.23
281,0.235
282,0.21
283,0.21
284,0.15
285,0.175
286,0.2
287,0.185
288,0.245
289,0.21
290,0.205
291,0.16
292,0.22
293,0.2
294,0.225
295,0.265
296,0.185
297,0.22
298,0.175
