chunk,accuracy
0,0.0
1,0.1
2,0.12
3,0.165
4,0.175
5,0.165
6,0.2
7,0.185
8,0.16
9,0.235
10,0.22
11,0.27
12,0.26
13,0.255
14,0.27
15,0.235
16,0.23
17,0.275
18,0.25
19,0.15
20,0.32
21,0.315
22,0.2
23,0.25
24,0.215
25,0.225
26,0.28
27,0.235
28,0.325
29,0.28
30,0.335
31,0.235
32,0.4
33,0.355
34,0.255
35,0.255
36,0.15
37,0.25
38,0.36
39,0.4
40,0.22
41,0.22
42,0.255
43,0.28
44,0.375
45,0.245
46,0.23
47,0.22
48,0.21
49,0.2
50,0.275
51,0.24
52,0.32
53,0.305
54,0.375
55,0.295
56,0.32
57,0.28
58,0.175
59,0.36
60,0.24
61,0.31
62,0.315
63,0.32
64,0.27
65,0.305
66,0.31
67,0.215
68,0.39
69,0.365
70,0.3
71,0.305
72,0.415
73,0.31
74,0.335
75,0.3
76,0.3
77,0.33
78,0.37
79,0.43
80,0.235
81,0.29
82,0.355
83,0.345
84,0.29
85,0.335
86,0.37
87,0.345
88,0.375
89,0.28
90,0.27
91,0.36
92,0.275
93,0.27
94,0.22
95,0.29
96,0.335
97,0.37
98,0.33
99,0.405
100,0.25
101,0.38
102,0.36
103,0.31
104,0.395
105,0.41
106,0.35
107,0.43
108,0.36
109,0.345
110,0.34
111,0.305
112,0.365
113,0.3
114,0.285
115,0.375
116,0.41
117,0.35
118,0.325
119,0.335
120,0.385
121,0.375
122,0.38
123,0.42
124,0.36
125,0.43
126,0.31
127,0.375
128,0.25
129,0.28
130,0.345
131,0.355
132,0.335
133,0.375
134,0.39
135,0.265
136,0.455
137,0.205
138,0.325
139,0.365
140,0.38
141,0.345
142,0.37
143,0.38
144,0.345
145,0.355
146,0.29
147,0.39
148,0.365
149,0.295
150,0.305
151,0.29
152,0.45
153,0.36
154,0.255
155,0.235
156,0.34
157,0.32
158,0.29
159,0.275
160,0.26
161,0.29
162,0.305
163,0.345
164,0.29
165,0.365
166,0.295
167,0.365
168,0.325
169,0.33
170,0.285
171,0.35
172,0.32
173,0.185
174,0.325
175,0.35
176,0.255
177,0.35
178,0.305
179,0.3
180,0.275
181,0.26
182,0.385
183,0.285
184,0.31
185,0.305
186,0.315
187,0.295
188,0.295
189,0.27
190,0.385
191,0.29
192,0.35
193,0.31
194,0.31
195,0.32
196,0.27
197,0.395
198,0.38
199,0.28
200,0.325
201,0.325
202,0.29
203,0.425
204,0.285
205,0.375
206,0.35
207,0.34
208,0.395
209,0.3
210,0.315
211,0.285
212,0.335
213,0.395
214,0.235
215,0.295
216,0.29
217,0.295
218,0.385
219,0.195
220,0.35
221,0.375
222,0.415
223,0.3
224,0.31
225,0.315
226,0.31
227,0.36
228,0.315
229,0.32
230,0.34
231,0.435
232,0.35
233,0.355
234,0.405
235,0.29
236,0.345
237,0.36
238,0.28
239,0.32
240,0.355
241,0.325
242,0.355
243,0.39
244,0.35
245,0.32
246,0.435
247,0.28
248,0.33
249,0.315
250,0.335
251,0.325
252,0.38
253,0.385
254,0.365
255,0.3
256,0.305
257,0.315
258,0.325
259,0.335
260,0.28
261,0.21
262,0.355
263,0.345
264,0.31
265,0.4
266,0.37
267,0.29
268,0.315
269,0.315
270,0.38
271,0.285
272,0.36
273,0.38
274,0.41
275,0.395
276,0.22
277,0.35
278,0.435
279,0.315
280,0.4
281,0.375
282,0.32
283,0.34
284,0.38
285,0.28
286,0.345
287,0.305
288,0.355
289,0.3
290,0.255
291,0.33
292,0.345
293,0.305
294,0.28
295,0.265
296,0.365
297,0.37
298,0.4
