chunk,accuracy
0,0.0
1,0.1
2,0.13
3,0.105
4,0.21
5,0.19
6,0.165
7,0.115
8,0.15
9,0.165
10,0.195
11,0.19
12,0.135
13,0.14
14,0.24
15,0.17
16,0.23
17,0.225
18,0.225
19,0.22
20,0.205
21,0.18
22,0.25
23,0.165
24,0.225
25,0.24
26,0.285
27,0.18
28,0.205
29,0.195
30,0.14
31,0.275
32,0.305
33,0.27
34,0.27
35,0.195
36,0.21
37,0.2
38,0.215
39,0.14
40,0.195
41,0.19
42,0.235
43,0.2
44,0.165
45,0.195
46,0.25
47,0.24
48,0.245
49,0.21
50,0.265
51,0.24
52,0.27
53,0.24
54,0.22
55,0.225
56,0.275
57,0.205
58,0.225
59,0.29
60,0.215
61,0.25
62,0.25
63,0.275
64,0.27
65,0.235
66,0.135
67,0.295
68,0.25
69,0.315
70,0.245
71,0.27
72,0.325
73,0.245
74,0.305
75,0.295
76,0.265
77,0.35
78,0.315
79,0.29
80,0.17
81,0.25
82,0.25
83,0.295
84,0.265
85,0.24
86,0.32
87,0.225
88,0.265
89,0.265
90,0.31
91,0.155
92,0.275
93,0.28
94,0.275
95,0.32
96,0.28
97,0.285
98,0.285
99,0.33
100,0.31
101,0.275
102,0.22
103,0.28
104,0.29
105,0.23
106,0.26
107,0.32
108,0.245
109,0.32
110,0.365
111,0.16
112,0.275
113,0.24
114,0.31
115,0.295
116,0.24
117,0.26
118,0.19
119,0.335
120,0.27
121,0.26
122,0.305
123,0.295
124,0.32
125,0.29
126,0.235
127,0.32
128,0.28
129,0.295
130,0.2
131,0.285
132,0.275
133,0.27
134,0.28
135,0.325
136,0.275
137,0.31
138,0.21
139,0.27
140,0.26
141,0.26
142,0.25
143,0.355
144,0.35
145,0.225
146,0.275
147,0.285
148,0.265
149,0.275
150,0.32
151,0.32
152,0.27
153,0.335
154,0.32
155,0.305
156,0.25
157,0.37
158,0.345
159,0.37
160,0.35
161,0.25
162,0.38
163,0.285
164,0.365
165,0.32
166,0.305
167,0.29
168,0.3
169,0.3
170,0.285
171,0.325
172,0.3
173,0.33
174,0.24
175,0.33
176,0.405
177,0.39
178,0.33
179,0.26
180,0.255
181,0.285
182,0.325
183,0.29
184,0.33
185,0.325
186,0.255
187,0.315
188,0.355
189,0.265
190,0.3
191,0.4
192,0.375
193,0.34
194,0.355
195,0.315
196,0.405
197,0.36
198,0.36
199,0.33
200,0.32
201,0.355
202,0.355
203,0.32
204,0.385
205,0.275
206,0.4
207,0.37
208,0.35
209,0.285
210,0.365
211,0.265
212,0.36
213,0.275
214,0.385
215,0.405
216,0.25
217,0.39
218,0.36
219,0.335
220,0.27
221,0.305
222,0.245
223,0.315
224,0.345
225,0.305
226,0.335
227,0.385
228,0.32
229,0.375
230,0.39
231,0.305
232,0.305
233,0.325
234,0.33
235,0.38
236,0.405
237,0.335
238,0.36
239,0.37
240,0.335
241,0.33
242,0.375
243,0.33
244,0.29
245,0.35
246,0.39
247,0.415
248,0.32
249,0.31
250,0.38
251,0.31
252,0.365
253,0.4
254,0.335
255,0.35
256,0.38
257,0.465
258,0.31
259,0.28
260,0.405
261,0.34
262,0.33
263,0.29
264,0.355
265,0.335
266,0.365
267,0.405
268,0.325
269,0.39
270,0.345
271,0.37
272,0.365
273,0.335
274,0.33
275,0.37
276,0.355
277,0.335
278,0.355
279,0.45
280,0.385
281,0.4
282,0.44
283,0.235
284,0.34
285,0.305
286,0.225
287,0.395
288,0.35
289,0.315
290,0.295
291,0.38
292,0.36
293,0.34
294,0.38
295,0.385
296,0.365
297,0.395
298,0.4
