chunk,accuracy
0,0.0
1,0.1
2,0.085
3,0.175
4,0.15
5,0.175
6,0.165
7,0.155
8,0.19
9,0.155
10,0.22
11,0.18
12,0.25
13,0.23
14,0.245
15,0.205
16,0.2
17,0.235
18,0.235
19,0.235
20,0.205
21,0.18
22,0.215
23,0.235
24,0.225
25,0.245
26,0.165
27,0.225
28,0.215
29,0.265
30,0.2
31,0.175
32,0.2
33,0.195
34,0.215
35,0.24
36,0.21
37,0.235
38,0.255
39,0.215
40,0.195
41,0.2
42,0.225
43,0.245
44,0.235
45,0.215
46,0.265
47,0.215
48,0.205
49,0.19
50,0.26
51,0.145
52,0.19
53,0.18
54,0.215
55,0.235
56,0.215
57,0.245
58,0.205
59,0.245
60,0.16
61,0.245
62,0.21
63,0.22
64,0.245
65,0.27
66,0.205
67,0.255
68,0.215
69,0.2
70,0.22
71,0.19
72,0.21
73,0.24
74,0.24
75,0.31
76,0.24
77,0.17
78,0.215
79,0.24
80,0.175
81,0.19
82,0.21
83,0.225
84,0.19
85,0.195
86,0.205
87,0.205
88,0.25
89,0.235
90,0.22
91,0.21
92,0.235
93,0.24
94,0.23
95,0.17
96,0.23
97,0.2
98,0.265
99,0.245
100,0.225
101,0.25
102,0.18
103,0.205
104,0.195
105,0.195
106,0.22
107,0.24
108,0.215
109,0.175
110,0.195
111,0.25
112,0.215
113,0.185
114,0.25
115,0.195
116,0.24
117,0.205
118,0.19
119,0.2
120,0.195
121,0.225
122,0.165
123,0.165
124,0.19
125,0.205
126,0.25
127,0.235
128,0.19
129,0.205
130,0.145
131,0.215
132,0.21
133,0.25
134,0.235
135,0.225
136,0.2
137,0.165
138,0.22
139,0.24
140,0.195
141,0.195
142,0.205
143,0.19
144,0.21
145,0.19
146,0.23
147,0.215
148,0.205
149,0.19
150,0.185
151,0.185
152,0.21
153,0.175
154,0.265
155,0.2
156,0.265
157,0.24
158,0.295
159,0.275
160,0.31
161,0.25
162,0.305
163,0.315
164,0.265
165,0.3
166,0.29
167,0.375
168,0.345
169,0.335
170,0.36
171,0.295
172,0.27
173,0.28
174,0.335
175,0.31
176,0.35
177,0.31
178,0.35
179,0.315
180,0.295
181,0.29
182,0.275
183,0.3
184,0.31
185,0.325
186,0.335
187,0.305
188,0.325
189,0.285
190,0.295
191,0.295
192,0.3
193,0.31
194,0.305
195,0.27
196,0.255
197,0.29
198,0.265
199,0.27
200,0.31
201,0.345
202,0.3
203,0.34
204,0.225
205,0.3
206,0.285
207,0.265
208,0.285
209,0.29
210,0.345
211,0.295
212,0.295
213,0.365
214,0.28
215,0.305
216,0.295
217,0.305
218,0.265
219,0.235
220,0.325
221,0.285
222,0.275
223,0.335
224,0.35
225,0.33
226,0.29
227,0.26
228,0.3
229,0.34
230,0.29
231,0.325
232,0.27
233,0.31
234,0.245
235,0.335
236,0.33
237,0.32
238,0.28
239,0.3
240,0.29
241,0.335
242,0.29
243,0.315
244,0.35
245,0.345
246,0.325
247,0.285
248,0.305
249,0.325
250,0.37
251,0.32
252,0.29
253,0.335
254,0.305
255,0.38
256,0.325
257,0.305
258,0.34
259,0.29
260,0.34
261,0.31
262,0.345
263,0.305
264,0.365
265,0.31
266,0.265
267,0.365
268,0.33
269,0.325
270,0.325
271,0.335
272,0.325
273,0.325
274,0.345
275,0.345
276,0.37
277,0.245
278,0.37
279,0.365
280,0.29
281,0.355
282,0.335
283,0.255
284,0.285
285,0.36
286,0.33
287,0.37
288,0.365
289,0.31
290,0.31
291,0.335
292,0.34
293,0.295
294,0.31
295,0.28
296,0.31
297,0.29
298,0.41
