chunk,accuracy
0,0.0
1,0.07
2,0.165
3,0.225
4,0.215
5,0.24
6,0.235
7,0.21
8,0.22
9,0.24
10,0.26
11,0.28
12,0.27
13,0.295
14,0.285
15,0.225
16,0.285
17,0.265
18,0.315
19,0.28
20,0.3
21,0.305
22,0.325
23,0.285
24,0.3
25,0.37
26,0.35
27,0.275
28,0.235
29,0.32
30,0.32
31,0.285
32,0.29
33,0.33
34,0.32
35,0.34
36,0.36
37,0.315
38,0.315
39,0.305
40,0.29
41,0.215
42,0.3
43,0.31
44,0.34
45,0.245
46,0.285
47,0.31
48,0.31
49,0.38
50,0.36
51,0.28
52,0.295
53,0.275
54,0.32
55,0.28
56,0.3
57,0.36
58,0.34
59,0.33
60,0.27
61,0.31
62,0.385
63,0.325
64,0.27
65,0.33
66,0.3
67,0.365
68,0.3
69,0.335
70,0.285
71,0.315
72,0.305
73,0.35
74,0.335
75,0.265
76,0.325
77,0.335
78,0.335
79,0.285
80,0.255
81,0.35
82,0.28
83,0.29
84,0.305
85,0.335
86,0.285
87,0.325
88,0.275
89,0.285
90,0.31
91,0.33
92,0.365
93,0.31
94,0.38
95,0.315
96,0.27
97,0.3
98,0.375
99,0.3
100,0.265
101,0.27
102,0.26
103,0.31
104,0.295
105,0.345
106,0.29
107,0.255
108,0.345
109,0.405
110,0.31
111,0.33
112,0.26
113,0.335
114,0.37
115,0.275
116,0.335
117,0.33
118,0.255
119,0.34
120,0.3
121,0.32
122,0.29
123,0.31
124,0.265
125,0.285
126,0.36
127,0.315
128,0.335
129,0.3
130,0.335
131,0.31
132,0.31
133,0.295
134,0.31
135,0.335
136,0.36
137,0.305
138,0.315
139,0.345
140,0.31
141,0.35
142,0.31
143,0.32
144,0.32
145,0.275
146,0.31
147,0.28
148,0.315
149,0.245
150,0.235
151,0.2
152,0.19
153,0.13
154,0.16
155,0.18
156,0.21
157,0.23
158,0.17
159,0.18
160,0.225
161,0.19
162,0.175
163,0.175
164,0.215
165,0.18
166,0.215
167,0.245
168,0.225
169,0.185
170,0.21
171,0.17
172,0.2
173,0.22
174,0.195
175,0.165
176,0.255
177,0.235
178,0.21
179,0.185
180,0.185
181,0.245
182,0.27
183,0.25
184,0.25
185,0.205
186,0.205
187,0.305
188,0.22
189,0.22
190,0.235
191,0.225
192,0.19
193,0.19
194,0.2
195,0.235
196,0.165
197,0.225
198,0.23
199,0.17
200,0.225
201,0.205
202,0.21
203,0.18
204,0.16
205,0.235
206,0.29
207,0.195
208,0.145
209,0.175
210,0.205
211,0.26
212,0.215
213,0.21
214,0.185
215,0.18
216,0.205
217,0.18
218,0.235
219,0.2
220,0.2
221,0.14
222,0.195
223,0.23
224,0.25
225,0.125
226,0.21
227,0.185
228,0.215
229,0.205
230,0.21
231,0.17
232,0.285
233,0.23
234,0.19
235,0.25
236,0.19
237,0.16
238,0.235
239,0.22
240,0.16
241,0.22
242,0.2
243,0.23
244,0.225
245,0.185
246,0.19
247,0.215
248,0.24
249,0.26
250,0.22
251,0.235
252,0.22
253,0.225
254,0.195
255,0.225
256,0.225
257,0.23
258,0.22
259,0.215
260,0.225
261,0.235
262,0.2
263,0.185
264,0.21
265,0.19
266,0.205
267,0.21
268,0.16
269,0.215
270,0.225
271,0.235
272,0.245
273,0.16
274,0.245
275,0.155
276,0.235
277,0.265
278,0.24
279,0.22
280,0.18
281,0.21
282,0.21
283,0.215
284,0.205
285,0.21
286,0.24
287,0.25
288,0.235
289,0.185
290,0.195
291,0.2
292,0.19
293,0.195
294,0.18
295,0.19
296,0.2
297,0.18
298,0.255
