chunk,accuracy
0,0.0
1,0.11
2,0.18
3,0.185
4,0.19
5,0.255
6,0.21
7,0.215
8,0.245
9,0.22
10,0.185
11,0.255
12,0.29
13,0.27
14,0.3
15,0.255
16,0.25
17,0.18
18,0.295
19,0.295
20,0.325
21,0.295
22,0.34
23,0.315
24,0.32
25,0.325
26,0.295
27,0.31
28,0.29
29,0.3
30,0.365
31,0.265
32,0.295
33,0.285
34,0.315
35,0.35
36,0.285
37,0.36
38,0.35
39,0.33
40,0.34
41,0.355
42,0.325
43,0.22
44,0.32
45,0.26
46,0.295
47,0.32
48,0.4
49,0.27
50,0.285
51,0.36
52,0.29
53,0.36
54,0.315
55,0.33
56,0.28
57,0.245
58,0.31
59,0.345
60,0.285
61,0.315
62,0.26
63,0.32
64,0.365
65,0.305
66,0.275
67,0.29
68,0.3
69,0.29
70,0.34
71,0.355
72,0.35
73,0.295
74,0.295
75,0.33
76,0.305
77,0.36
78,0.27
79,0.345
80,0.33
81,0.32
82,0.29
83,0.31
84,0.34
85,0.32
86,0.33
87,0.32
88,0.275
89,0.295
90,0.285
91,0.325
92,0.295
93,0.315
94,0.29
95,0.31
96,0.32
97,0.325
98,0.315
99,0.335
100,0.355
101,0.29
102,0.29
103,0.335
104,0.315
105,0.305
106,0.335
107,0.28
108,0.315
109,0.275
110,0.335
111,0.32
112,0.28
113,0.295
114,0.355
115,0.295
116,0.245
117,0.28
118,0.315
119,0.3
120,0.305
121,0.3
122,0.33
123,0.34
124,0.3
125,0.345
126,0.27
127,0.31
128,0.31
129,0.31
130,0.305
131,0.35
132,0.305
133,0.295
134,0.33
135,0.325
136,0.355
137,0.315
138,0.305
139,0.315
140,0.34
141,0.26
142,0.29
143,0.33
144,0.33
145,0.275
146,0.335
147,0.335
148,0.315
149,0.275
150,0.3
151,0.15
152,0.21
153,0.165
154,0.15
155,0.175
156,0.175
157,0.2
158,0.235
159,0.25
160,0.225
161,0.175
162,0.265
163,0.205
164,0.21
165,0.27
166,0.255
167,0.22
168,0.19
169,0.18
170,0.225
171,0.19
172,0.21
173,0.25
174,0.125
175,0.185
176,0.28
177,0.245
178,0.21
179,0.215
180,0.18
181,0.215
182,0.215
183,0.215
184,0.24
185,0.2
186,0.185
187,0.255
188,0.215
189,0.15
190,0.195
191,0.24
192,0.235
193,0.23
194,0.22
195,0.21
196,0.22
197,0.2
198,0.22
199,0.185
200,0.19
201,0.165
202,0.215
203,0.23
204,0.19
205,0.21
206,0.19
207,0.185
208,0.195
209,0.205
210,0.175
211,0.21
212,0.265
213,0.22
214,0.205
215,0.23
216,0.16
217,0.265
218,0.26
219,0.16
220,0.2
221,0.22
222,0.195
223,0.225
224,0.2
225,0.19
226,0.18
227,0.185
228,0.215
229,0.24
230,0.225
231,0.225
232,0.22
233,0.215
234,0.215
235,0.195
236,0.225
237,0.22
238,0.205
239,0.205
240,0.2
241,0.19
242,0.225
243,0.195
244,0.2
245,0.27
246,0.22
247,0.235
248,0.245
249,0.25
250,0.205
251,0.265
252,0.19
253,0.24
254,0.21
255,0.235
256,0.225
257,0.22
258,0.26
259,0.23
260,0.215
261,0.255
262,0.185
263,0.265
264,0.215
265,0.24
266,0.255
267,0.265
268,0.19
269,0.18
270,0.265
271,0.255
272,0.255
273,0.18
274,0.17
275,0.215
276,0.255
277,0.205
278,0.205
279,0.21
280,0.205
281,0.215
282,0.22
283,0.22
284,0.2
285,0.22
286,0.225
287,0.19
288,0.22
289,0.205
290,0.17
291,0.185
292,0.225
293,0.24
294,0.21
295,0.22
296,0.2
297,0.205
298,0.225
