chunk,accuracy
0,0.0
1,0.12
2,0.145
3,0.12
4,0.175
5,0.16
6,0.165
7,0.195
8,0.13
9,0.185
10,0.12
11,0.15
12,0.215
13,0.21
14,0.26
15,0.16
16,0.16
17,0.19
18,0.255
19,0.2
20,0.265
21,0.22
22,0.265
23,0.15
24,0.305
25,0.205
26,0.265
27,0.27
28,0.255
29,0.17
30,0.29
31,0.21
32,0.205
33,0.26
34,0.2
35,0.28
36,0.285
37,0.285
38,0.25
39,0.195
40,0.17
41,0.305
42,0.275
43,0.16
44,0.255
45,0.27
46,0.29
47,0.205
48,0.32
49,0.285
50,0.295
51,0.28
52,0.31
53,0.345
54,0.295
55,0.28
56,0.285
57,0.26
58,0.245
59,0.33
60,0.29
61,0.295
62,0.245
63,0.295
64,0.315
65,0.305
66,0.245
67,0.285
68,0.285
69,0.325
70,0.3
71,0.35
72,0.275
73,0.29
74,0.325
75,0.245
76,0.34
77,0.27
78,0.245
79,0.29
80,0.25
81,0.36
82,0.31
83,0.345
84,0.31
85,0.265
86,0.32
87,0.325
88,0.285
89,0.285
90,0.22
91,0.24
92,0.345
93,0.28
94,0.31
95,0.325
96,0.29
97,0.255
98,0.33
99,0.34
100,0.335
101,0.34
102,0.255
103,0.285
104,0.365
105,0.285
106,0.365
107,0.35
108,0.235
109,0.31
110,0.3
111,0.33
112,0.315
113,0.21
114,0.325
115,0.3
116,0.23
117,0.285
118,0.35
119,0.295
120,0.29
121,0.275
122,0.315
123,0.31
124,0.33
125,0.29
126,0.355
127,0.3
128,0.35
129,0.28
130,0.335
131,0.285
132,0.31
133,0.24
134,0.27
135,0.275
136,0.355
137,0.28
138,0.37
139,0.37
140,0.34
141,0.31
142,0.25
143,0.27
144,0.385
145,0.285
146,0.335
147,0.315
148,0.38
149,0.365
150,0.365
151,0.285
152,0.35
153,0.32
154,0.185
155,0.365
156,0.345
157,0.265
158,0.29
159,0.335
160,0.355
161,0.31
162,0.415
163,0.33
164,0.315
165,0.295
166,0.28
167,0.275
168,0.38
169,0.35
170,0.315
171,0.28
172,0.325
173,0.32
174,0.265
175,0.29
176,0.35
177,0.365
178,0.335
179,0.295
180,0.255
181,0.32
182,0.335
183,0.29
184,0.33
185,0.33
186,0.28
187,0.395
188,0.33
189,0.355
190,0.355
191,0.365
192,0.37
193,0.35
194,0.32
195,0.36
196,0.38
197,0.29
198,0.345
199,0.37
200,0.405
201,0.34
202,0.305
203,0.325
204,0.33
205,0.325
206,0.355
207,0.315
208,0.35
209,0.33
210,0.34
211,0.295
212,0.325
213,0.305
214,0.34
215,0.365
216,0.345
217,0.355
218,0.29
219,0.315
220,0.35
221,0.37
222,0.35
223,0.37
224,0.335
225,0.345
226,0.365
227,0.32
228,0.375
229,0.37
230,0.41
231,0.345
232,0.345
233,0.33
234,0.33
235,0.3
236,0.335
237,0.325
238,0.27
239,0.42
240,0.405
241,0.28
242,0.415
243,0.355
244,0.43
245,0.295
246,0.38
247,0.385
248,0.34
249,0.305
250,0.32
251,0.41
252,0.32
253,0.385
254,0.32
255,0.365
256,0.41
257,0.285
258,0.385
259,0.34
260,0.325
261,0.385
262,0.36
263,0.39
264,0.41
265,0.34
266,0.415
267,0.39
268,0.215
269,0.325
270,0.39
271,0.38
272,0.375
273,0.39
274,0.335
275,0.355
276,0.38
277,0.355
278,0.38
279,0.345
280,0.31
281,0.32
282,0.355
283,0.255
284,0.355
285,0.355
286,0.315
287,0.33
288,0.365
289,0.35
290,0.35
291,0.37
292,0.305
293,0.42
294,0.325
295,0.335
296,0.355
297,0.33
298,0.39
