chunk,accuracy
0,0.0
1,0.055
2,0.12
3,0.215
4,0.16
5,0.15
6,0.145
7,0.17
8,0.205
9,0.195
10,0.15
11,0.17
12,0.19
13,0.205
14,0.25
15,0.185
16,0.275
17,0.175
18,0.26
19,0.215
20,0.295
21,0.215
22,0.165
23,0.18
24,0.23
25,0.285
26,0.205
27,0.185
28,0.16
29,0.165
30,0.2
31,0.215
32,0.23
33,0.305
34,0.255
35,0.18
36,0.23
37,0.195
38,0.225
39,0.175
40,0.155
41,0.24
42,0.23
43,0.21
44,0.27
45,0.185
46,0.185
47,0.215
48,0.16
49,0.17
50,0.185
51,0.175
52,0.225
53,0.22
54,0.255
55,0.225
56,0.2
57,0.18
58,0.21
59,0.225
60,0.245
61,0.2
62,0.235
63,0.25
64,0.22
65,0.225
66,0.235
67,0.215
68,0.215
69,0.245
70,0.25
71,0.265
72,0.24
73,0.205
74,0.19
75,0.21
76,0.23
77,0.255
78,0.225
79,0.235
80,0.285
81,0.23
82,0.17
83,0.245
84,0.205
85,0.225
86,0.215
87,0.2
88,0.175
89,0.155
90,0.245
91,0.21
92,0.24
93,0.225
94,0.21
95,0.25
96,0.205
97,0.195
98,0.175
99,0.235
100,0.21
101,0.18
102,0.19
103,0.205
104,0.21
105,0.255
106,0.2
107,0.255
108,0.275
109,0.21
110,0.26
111,0.21
112,0.18
113,0.185
114,0.32
115,0.16
116,0.215
117,0.205
118,0.185
119,0.17
120,0.2
121,0.2
122,0.24
123,0.195
124,0.255
125,0.175
126,0.19
127,0.225
128,0.205
129,0.24
130,0.18
131,0.22
132,0.175
133,0.26
134,0.21
135,0.215
136,0.255
137,0.235
138,0.23
139,0.215
140,0.26
141,0.22
142,0.19
143,0.22
144,0.24
145,0.26
146,0.23
147,0.26
148,0.21
149,0.185
150,0.225
151,0.245
152,0.21
153,0.235
154,0.195
155,0.255
156,0.235
157,0.225
158,0.215
159,0.31
160,0.205
161,0.2
162,0.17
163,0.25
164,0.17
165,0.195
166,0.22
167,0.185
168,0.19
169,0.18
170,0.215
171,0.245
172,0.19
173,0.27
174,0.215
175,0.19
176,0.22
177,0.285
178,0.175
179,0.19
180,0.2
181,0.21
182,0.205
183,0.215
184,0.25
185,0.3
186,0.23
187,0.245
188,0.22
189,0.19
190,0.23
191,0.29
192,0.205
193,0.2
194,0.14
195,0.195
196,0.27
197,0.215
198,0.255
199,0.205
200,0.245
201,0.23
202,0.23
203,0.145
204,0.22
205,0.265
206,0.225
207,0.255
208,0.255
209,0.22
210,0.23
211,0.195
212,0.275
213,0.19
214,0.235
215,0.23
216,0.17
217,0.215
218,0.22
219,0.23
220,0.205
221,0.175
222,0.2
223,0.2
224,0.225
225,0.23
226,0.195
227,0.175
228,0.215
229,0.18
230,0.245
231,0.17
232,0.17
233,0.17
234,0.235
235,0.18
236,0.215
237,0.165
238,0.21
239,0.18
240,0.225
241,0.19
242,0.23
243,0.21
244,0.22
245,0.245
246,0.25
247,0.225
248,0.195
249,0.215
250,0.22
251,0.215
252,0.23
253,0.24
254,0.195
255,0.22
256,0.205
257,0.21
258,0.23
259,0.205
260,0.215
261,0.255
262,0.23
263,0.23
264,0.19
265,0.2
266,0.235
267,0.205
268,0.195
269,0.17
270,0.235
271,0.235
272,0.22
273,0.15
274,0.235
275,0.155
276,0.19
277,0.23
278,0.235
279,0.28
280,0.165
281,0.27
282,0.215
283,0.245
284,0.275
285,0.25
286,0.18
287,0.235
288,0.19
289,0.235
290,0.22
291,0.17
292,0.235
293,0.26
294,0.19
295,0.14
296,0.3
297,0.215
298,0.205
