chunk,accuracy
0,0.0
1,0.115
2,0.14
3,0.205
4,0.215
5,0.24
6,0.2
7,0.24
8,0.23
9,0.185
10,0.26
11,0.23
12,0.23
13,0.255
14,0.305
15,0.195
16,0.31
17,0.335
18,0.25
19,0.205
20,0.205
21,0.31
22,0.26
23,0.32
24,0.255
25,0.36
26,0.335
27,0.36
28,0.315
29,0.29
30,0.32
31,0.355
32,0.3
33,0.33
34,0.275
35,0.27
36,0.275
37,0.325
38,0.31
39,0.36
40,0.31
41,0.295
42,0.335
43,0.33
44,0.31
45,0.27
46,0.345
47,0.355
48,0.27
49,0.245
50,0.345
51,0.315
52,0.285
53,0.31
54,0.31
55,0.305
56,0.3
57,0.275
58,0.29
59,0.265
60,0.335
61,0.28
62,0.315
63,0.265
64,0.25
65,0.375
66,0.365
67,0.295
68,0.36
69,0.29
70,0.33
71,0.31
72,0.4
73,0.305
74,0.315
75,0.365
76,0.34
77,0.3
78,0.33
79,0.38
80,0.285
81,0.335
82,0.265
83,0.34
84,0.33
85,0.3
86,0.33
87,0.27
88,0.345
89,0.27
90,0.3
91,0.375
92,0.31
93,0.37
94,0.33
95,0.27
96,0.31
97,0.325
98,0.28
99,0.32
100,0.325
101,0.32
102,0.37
103,0.295
104,0.285
105,0.345
106,0.25
107,0.36
108,0.33
109,0.35
110,0.325
111,0.31
112,0.36
113,0.265
114,0.295
115,0.315
116,0.34
117,0.33
118,0.33
119,0.335
120,0.36
121,0.365
122,0.335
123,0.375
124,0.305
125,0.33
126,0.315
127,0.295
128,0.295
129,0.3
130,0.37
131,0.34
132,0.305
133,0.265
134,0.325
135,0.295
136,0.29
137,0.315
138,0.325
139,0.25
140,0.295
141,0.265
142,0.315
143,0.305
144,0.305
145,0.275
146,0.27
147,0.345
148,0.35
149,0.27
150,0.25
151,0.19
152,0.2
153,0.125
154,0.195
155,0.23
156,0.165
157,0.175
158,0.27
159,0.215
160,0.165
161,0.215
162,0.155
163,0.24
164,0.23
165,0.245
166,0.165
167,0.22
168,0.26
169,0.2
170,0.165
171,0.22
172,0.28
173,0.24
174,0.25
175,0.165
176,0.205
177,0.255
178,0.225
179,0.25
180,0.15
181,0.235
182,0.235
183,0.175
184,0.23
185,0.22
186,0.215
187,0.24
188,0.16
189,0.2
190,0.175
191,0.25
192,0.265
193,0.205
194,0.185
195,0.255
196,0.17
197,0.225
198,0.235
199,0.19
200,0.225
201,0.225
202,0.17
203,0.21
204,0.215
205,0.25
206,0.17
207,0.2
208,0.235
209,0.2
210,0.195
211,0.165
212,0.19
213,0.285
214,0.23
215,0.2
216,0.165
217,0.16
218,0.195
219,0.245
220,0.2
221,0.21
222,0.24
223,0.23
224,0.205
225,0.21
226,0.225
227,0.21
228,0.2
229,0.2
230,0.315
231,0.195
232,0.185
233,0.225
234,0.225
235,0.21
236,0.185
237,0.17
238,0.215
239,0.25
240,0.215
241,0.21
242,0.28
243,0.21
244,0.225
245,0.185
246,0.26
247,0.2
248,0.215
249,0.23
250,0.23
251,0.165
252,0.185
253,0.195
254,0.225
255,0.2
256,0.24
257,0.195
258,0.24
259,0.215
260,0.195
261,0.215
262,0.19
263,0.215
264,0.19
265,0.175
266,0.18
267,0.21
268,0.18
269,0.215
270,0.245
271,0.22
272,0.225
273,0.175
274,0.19
275,0.18
276,0.17
277,0.19
278,0.19
279,0.205
280,0.255
281,0.225
282,0.19
283,0.255
284,0.275
285,0.225
286,0.21
287,0.245
288,0.245
289,0.18
290,0.2
291,0.2
292,0.24
293,0.155
294,0.21
295,0.185
296,0.15
297,0.21
298,0.2
