chunk,accuracy
0,0.0
1,0.1
2,0.155
3,0.195
4,0.26
5,0.275
6,0.135
7,0.255
8,0.28
9,0.17
10,0.2
11,0.22
12,0.2
13,0.215
14,0.3
15,0.31
16,0.295
17,0.295
18,0.27
19,0.275
20,0.36
21,0.245
22,0.2
23,0.275
24,0.205
25,0.28
26,0.305
27,0.14
28,0.185
29,0.195
30,0.25
31,0.32
32,0.315
33,0.37
34,0.245
35,0.26
36,0.295
37,0.265
38,0.25
39,0.26
40,0.275
41,0.25
42,0.36
43,0.28
44,0.255
45,0.335
46,0.335
47,0.32
48,0.255
49,0.245
50,0.28
51,0.315
52,0.365
53,0.325
54,0.23
55,0.23
56,0.225
57,0.255
58,0.305
59,0.34
60,0.275
61,0.26
62,0.335
63,0.335
64,0.415
65,0.355
66,0.34
67,0.3
68,0.23
69,0.305
70,0.295
71,0.27
72,0.32
73,0.345
74,0.33
75,0.305
76,0.28
77,0.315
78,0.39
79,0.38
80,0.235
81,0.235
82,0.25
83,0.22
84,0.335
85,0.335
86,0.255
87,0.34
88,0.33
89,0.395
90,0.265
91,0.33
92,0.39
93,0.29
94,0.3
95,0.315
96,0.34
97,0.265
98,0.235
99,0.315
100,0.44
101,0.36
102,0.27
103,0.325
104,0.35
105,0.38
106,0.345
107,0.36
108,0.305
109,0.38
110,0.425
111,0.355
112,0.335
113,0.32
114,0.285
115,0.345
116,0.295
117,0.225
118,0.3
119,0.375
120,0.35
121,0.3
122,0.37
123,0.23
124,0.34
125,0.25
126,0.38
127,0.335
128,0.36
129,0.29
130,0.435
131,0.35
132,0.37
133,0.32
134,0.325
135,0.255
136,0.42
137,0.375
138,0.335
139,0.3
140,0.335
141,0.38
142,0.34
143,0.265
144,0.435
145,0.315
146,0.36
147,0.3
148,0.34
149,0.4
150,0.43
151,0.18
152,0.21
153,0.31
154,0.375
155,0.21
156,0.295
157,0.325
158,0.3
159,0.345
160,0.39
161,0.28
162,0.285
163,0.3
164,0.325
165,0.29
166,0.345
167,0.34
168,0.36
169,0.285
170,0.335
171,0.305
172,0.27
173,0.27
174,0.35
175,0.255
176,0.235
177,0.38
178,0.33
179,0.295
180,0.34
181,0.345
182,0.38
183,0.245
184,0.28
185,0.365
186,0.33
187,0.355
188,0.325
189,0.28
190,0.275
191,0.32
192,0.33
193,0.27
194,0.305
195,0.35
196,0.29
197,0.325
198,0.37
199,0.31
200,0.335
201,0.285
202,0.405
203,0.325
204,0.295
205,0.18
206,0.31
207,0.365
208,0.305
209,0.26
210,0.365
211,0.35
212,0.395
213,0.355
214,0.295
215,0.36
216,0.36
217,0.32
218,0.235
219,0.345
220,0.33
221,0.425
222,0.36
223,0.365
224,0.315
225,0.245
226,0.33
227,0.335
228,0.225
229,0.37
230,0.365
231,0.315
232,0.43
233,0.32
234,0.365
235,0.34
236,0.385
237,0.225
238,0.355
239,0.35
240,0.335
241,0.24
242,0.28
243,0.34
244,0.43
245,0.405
246,0.345
247,0.335
248,0.325
249,0.355
250,0.265
251,0.39
252,0.43
253,0.425
254,0.34
255,0.35
256,0.385
257,0.27
258,0.41
259,0.34
260,0.34
261,0.385
262,0.245
263,0.37
264,0.415
265,0.325
266,0.23
267,0.255
268,0.355
269,0.37
270,0.395
271,0.305
272,0.325
273,0.275
274,0.33
275,0.41
276,0.385
277,0.345
278,0.35
279,0.36
280,0.3
281,0.42
282,0.375
283,0.355
284,0.41
285,0.205
286,0.33
287,0.29
288,0.41
289,0.37
290,0.22
291,0.38
292,0.36
293,0.37
294,0.315
295,0.355
296,0.39
297,0.37
298,0.44
