chunk,accuracy
0,0.0
1,0.12
2,0.14
3,0.125
4,0.14
5,0.12
6,0.18
7,0.22
8,0.16
9,0.175
10,0.195
11,0.235
12,0.21
13,0.195
14,0.24
15,0.3
16,0.265
17,0.205
18,0.29
19,0.29
20,0.285
21,0.25
22,0.24
23,0.145
24,0.185
25,0.205
26,0.3
27,0.22
28,0.345
29,0.295
30,0.24
31,0.33
32,0.29
33,0.25
34,0.245
35,0.265
36,0.275
37,0.265
38,0.245
39,0.26
40,0.22
41,0.27
42,0.295
43,0.25
44,0.225
45,0.26
46,0.285
47,0.295
48,0.275
49,0.195
50,0.24
51,0.28
52,0.235
53,0.355
54,0.285
55,0.24
56,0.235
57,0.3
58,0.295
59,0.295
60,0.245
61,0.32
62,0.32
63,0.295
64,0.28
65,0.245
66,0.31
67,0.335
68,0.36
69,0.255
70,0.265
71,0.25
72,0.395
73,0.26
74,0.28
75,0.37
76,0.285
77,0.345
78,0.365
79,0.36
80,0.285
81,0.255
82,0.315
83,0.325
84,0.22
85,0.325
86,0.295
87,0.32
88,0.355
89,0.265
90,0.245
91,0.27
92,0.355
93,0.35
94,0.355
95,0.28
96,0.35
97,0.335
98,0.295
99,0.405
100,0.375
101,0.335
102,0.35
103,0.305
104,0.285
105,0.275
106,0.355
107,0.39
108,0.255
109,0.3
110,0.29
111,0.31
112,0.345
113,0.265
114,0.345
115,0.29
116,0.375
117,0.36
118,0.34
119,0.295
120,0.345
121,0.4
122,0.245
123,0.33
124,0.41
125,0.3
126,0.33
127,0.325
128,0.365
129,0.33
130,0.34
131,0.35
132,0.33
133,0.38
134,0.38
135,0.33
136,0.33
137,0.3
138,0.29
139,0.295
140,0.2
141,0.23
142,0.315
143,0.32
144,0.405
145,0.32
146,0.285
147,0.335
148,0.31
149,0.28
150,0.35
151,0.39
152,0.35
153,0.41
154,0.27
155,0.315
156,0.27
157,0.255
158,0.36
159,0.285
160,0.23
161,0.34
162,0.355
163,0.355
164,0.315
165,0.38
166,0.365
167,0.375
168,0.385
169,0.365
170,0.305
171,0.29
172,0.23
173,0.275
174,0.35
175,0.295
176,0.31
177,0.295
178,0.375
179,0.38
180,0.275
181,0.325
182,0.325
183,0.32
184,0.265
185,0.325
186,0.385
187,0.325
188,0.34
189,0.325
190,0.31
191,0.395
192,0.365
193,0.355
194,0.345
195,0.27
196,0.31
197,0.355
198,0.315
199,0.315
200,0.325
201,0.38
202,0.38
203,0.38
204,0.345
205,0.365
206,0.36
207,0.31
208,0.4
209,0.195
210,0.385
211,0.295
212,0.355
213,0.455
214,0.305
215,0.36
216,0.32
217,0.31
218,0.315
219,0.36
220,0.32
221,0.25
222,0.335
223,0.305
224,0.335
225,0.405
226,0.33
227,0.385
228,0.355
229,0.39
230,0.395
231,0.32
232,0.38
233,0.365
234,0.365
235,0.345
236,0.26
237,0.305
238,0.345
239,0.35
240,0.425
241,0.295
242,0.405
243,0.405
244,0.29
245,0.36
246,0.46
247,0.335
248,0.36
249,0.325
250,0.335
251,0.345
252,0.365
253,0.36
254,0.39
255,0.32
256,0.32
257,0.33
258,0.29
259,0.355
260,0.34
261,0.31
262,0.275
263,0.405
264,0.455
265,0.33
266,0.3
267,0.455
268,0.39
269,0.35
270,0.405
271,0.32
272,0.385
273,0.365
274,0.37
275,0.39
276,0.295
277,0.405
278,0.355
279,0.365
280,0.415
281,0.385
282,0.305
283,0.4
284,0.39
285,0.32
286,0.275
287,0.39
288,0.365
289,0.315
290,0.34
291,0.315
292,0.355
293,0.34
294,0.305
295,0.355
296,0.345
297,0.37
298,0.365
