chunk,accuracy
0,0.0
1,0.11
2,0.12
3,0.155
4,0.16
5,0.2
6,0.255
7,0.155
8,0.23
9,0.235
10,0.23
11,0.33
12,0.23
13,0.19
14,0.29
15,0.28
16,0.23
17,0.27
18,0.315
19,0.305
20,0.245
21,0.145
22,0.235
23,0.195
24,0.245
25,0.26
26,0.33
27,0.215
28,0.245
29,0.205
30,0.32
31,0.27
32,0.18
33,0.245
34,0.245
35,0.195
36,0.24
37,0.225
38,0.365
39,0.295
40,0.4
41,0.27
42,0.33
43,0.34
44,0.225
45,0.335
46,0.265
47,0.275
48,0.22
49,0.18
50,0.285
51,0.275
52,0.315
53,0.3
54,0.31
55,0.14
56,0.335
57,0.285
58,0.275
59,0.255
60,0.32
61,0.185
62,0.3
63,0.275
64,0.17
65,0.305
66,0.305
67,0.32
68,0.33
69,0.395
70,0.305
71,0.255
72,0.34
73,0.23
74,0.3
75,0.36
76,0.325
77,0.365
78,0.33
79,0.355
80,0.345
81,0.31
82,0.29
83,0.325
84,0.225
85,0.33
86,0.3
87,0.335
88,0.29
89,0.37
90,0.285
91,0.335
92,0.365
93,0.27
94,0.255
95,0.375
96,0.365
97,0.35
98,0.3
99,0.365
100,0.33
101,0.34
102,0.35
103,0.35
104,0.395
105,0.35
106,0.39
107,0.37
108,0.405
109,0.335
110,0.305
111,0.285
112,0.375
113,0.405
114,0.395
115,0.375
116,0.39
117,0.4
118,0.345
119,0.35
120,0.42
121,0.4
122,0.215
123,0.35
124,0.255
125,0.415
126,0.36
127,0.305
128,0.3
129,0.295
130,0.325
131,0.385
132,0.32
133,0.325
134,0.295
135,0.36
136,0.395
137,0.365
138,0.315
139,0.32
140,0.33
141,0.33
142,0.41
143,0.365
144,0.355
145,0.355
146,0.36
147,0.355
148,0.42
149,0.23
150,0.395
151,0.245
152,0.24
153,0.32
154,0.255
155,0.31
156,0.375
157,0.325
158,0.26
159,0.25
160,0.295
161,0.15
162,0.33
163,0.265
164,0.29
165,0.28
166,0.375
167,0.385
168,0.26
169,0.36
170,0.3
171,0.27
172,0.215
173,0.305
174,0.34
175,0.31
176,0.315
177,0.295
178,0.405
179,0.265
180,0.31
181,0.37
182,0.34
183,0.345
184,0.235
185,0.24
186,0.195
187,0.35
188,0.24
189,0.37
190,0.3
191,0.335
192,0.305
193,0.325
194,0.35
195,0.305
196,0.29
197,0.345
198,0.27
199,0.31
200,0.3
201,0.275
202,0.295
203,0.365
204,0.33
205,0.34
206,0.32
207,0.215
208,0.31
209,0.345
210,0.355
211,0.295
212,0.355
213,0.37
214,0.37
215,0.295
216,0.295
217,0.37
218,0.36
219,0.255
220,0.29
221,0.395
222,0.34
223,0.345
224,0.31
225,0.36
226,0.29
227,0.35
228,0.34
229,0.385
230,0.24
231,0.31
232,0.4
233,0.37
234,0.345
235,0.4
236,0.41
237,0.305
238,0.315
239,0.395
240,0.35
241,0.37
242,0.42
243,0.335
244,0.36
245,0.325
246,0.395
247,0.365
248,0.39
249,0.335
250,0.335
251,0.37
252,0.27
253,0.395
254,0.235
255,0.33
256,0.38
257,0.32
258,0.315
259,0.32
260,0.31
261,0.29
262,0.325
263,0.38
264,0.35
265,0.36
266,0.35
267,0.395
268,0.305
269,0.36
270,0.37
271,0.285
272,0.325
273,0.33
274,0.385
275,0.34
276,0.33
277,0.395
278,0.33
279,0.32
280,0.425
281,0.41
282,0.335
283,0.315
284,0.39
285,0.295
286,0.435
287,0.43
288,0.385
289,0.335
290,0.35
291,0.365
292,0.32
293,0.38
294,0.205
295,0.38
296,0.395
297,0.405
298,0.37
