chunk,accuracy
0,0.0
1,0.115
2,0.155
3,0.185
4,0.135
5,0.18
6,0.205
7,0.17
8,0.195
9,0.17
10,0.15
11,0.16
12,0.185
13,0.255
14,0.145
15,0.23
16,0.265
17,0.22
18,0.225
19,0.195
20,0.31
21,0.26
22,0.29
23,0.24
24,0.22
25,0.23
26,0.29
27,0.225
28,0.23
29,0.285
30,0.265
31,0.215
32,0.225
33,0.25
34,0.225
35,0.285
36,0.335
37,0.31
38,0.35
39,0.305
40,0.19
41,0.28
42,0.295
43,0.27
44,0.3
45,0.155
46,0.24
47,0.285
48,0.28
49,0.26
50,0.255
51,0.31
52,0.295
53,0.235
54,0.265
55,0.325
56,0.265
57,0.215
58,0.28
59,0.4
60,0.245
61,0.245
62,0.34
63,0.31
64,0.26
65,0.3
66,0.25
67,0.365
68,0.32
69,0.315
70,0.305
71,0.295
72,0.22
73,0.2
74,0.3
75,0.28
76,0.255
77,0.27
78,0.31
79,0.295
80,0.335
81,0.335
82,0.275
83,0.325
84,0.315
85,0.33
86,0.37
87,0.28
88,0.23
89,0.295
90,0.29
91,0.325
92,0.27
93,0.27
94,0.285
95,0.32
96,0.275
97,0.275
98,0.355
99,0.295
100,0.32
101,0.285
102,0.29
103,0.355
104,0.265
105,0.295
106,0.42
107,0.24
108,0.31
109,0.235
110,0.175
111,0.235
112,0.32
113,0.28
114,0.345
115,0.375
116,0.325
117,0.265
118,0.32
119,0.325
120,0.315
121,0.395
122,0.31
123,0.34
124,0.36
125,0.245
126,0.395
127,0.335
128,0.355
129,0.33
130,0.31
131,0.465
132,0.34
133,0.36
134,0.325
135,0.33
136,0.34
137,0.315
138,0.365
139,0.375
140,0.33
141,0.245
142,0.315
143,0.295
144,0.325
145,0.265
146,0.25
147,0.355
148,0.315
149,0.31
150,0.33
151,0.38
152,0.26
153,0.295
154,0.275
155,0.305
156,0.305
157,0.275
158,0.34
159,0.185
160,0.35
161,0.22
162,0.31
163,0.36
164,0.285
165,0.39
166,0.35
167,0.35
168,0.365
169,0.435
170,0.32
171,0.325
172,0.45
173,0.31
174,0.37
175,0.285
176,0.35
177,0.24
178,0.18
179,0.29
180,0.345
181,0.345
182,0.405
183,0.355
184,0.295
185,0.33
186,0.315
187,0.39
188,0.325
189,0.31
190,0.34
191,0.27
192,0.35
193,0.37
194,0.26
195,0.315
196,0.345
197,0.405
198,0.315
199,0.265
200,0.335
201,0.345
202,0.36
203,0.275
204,0.28
205,0.29
206,0.29
207,0.33
208,0.345
209,0.21
210,0.41
211,0.38
212,0.345
213,0.27
214,0.325
215,0.165
216,0.37
217,0.295
218,0.275
219,0.335
220,0.3
221,0.33
222,0.29
223,0.36
224,0.315
225,0.39
226,0.285
227,0.345
228,0.31
229,0.385
230,0.34
231,0.345
232,0.29
233,0.395
234,0.355
235,0.375
236,0.355
237,0.365
238,0.41
239,0.305
240,0.325
241,0.38
242,0.335
243,0.34
244,0.385
245,0.325
246,0.3
247,0.305
248,0.345
249,0.36
250,0.44
251,0.335
252,0.305
253,0.345
254,0.395
255,0.355
256,0.215
257,0.365
258,0.365
259,0.33
260,0.35
261,0.405
262,0.39
263,0.29
264,0.37
265,0.28
266,0.305
267,0.375
268,0.375
269,0.385
270,0.37
271,0.375
272,0.325
273,0.345
274,0.36
275,0.34
276,0.365
277,0.36
278,0.37
279,0.325
280,0.34
281,0.36
282,0.365
283,0.385
284,0.45
285,0.335
286,0.4
287,0.39
288,0.41
289,0.285
290,0.375
291,0.305
292,0.385
293,0.335
294,0.38
295,0.36
296,0.43
297,0.355
298,0.39
