chunk,accuracy
0,0.0
1,0.04
2,0.2
3,0.185
4,0.13
5,0.195
6,0.2
7,0.2
8,0.165
9,0.205
10,0.13
11,0.22
12,0.14
13,0.12
14,0.225
15,0.195
16,0.175
17,0.215
18,0.22
19,0.22
20,0.145
21,0.21
22,0.255
23,0.25
24,0.265
25,0.22
26,0.26
27,0.195
28,0.175
29,0.24
30,0.185
31,0.26
32,0.235
33,0.245
34,0.185
35,0.165
36,0.28
37,0.225
38,0.19
39,0.22
40,0.17
41,0.26
42,0.22
43,0.2
44,0.235
45,0.17
46,0.195
47,0.215
48,0.28
49,0.215
50,0.195
51,0.245
52,0.235
53,0.18
54,0.22
55,0.215
56,0.22
57,0.225
58,0.18
59,0.22
60,0.195
61,0.23
62,0.26
63,0.24
64,0.275
65,0.16
66,0.215
67,0.22
68,0.215
69,0.23
70,0.2
71,0.255
72,0.175
73,0.25
74,0.18
75,0.225
76,0.215
77,0.19
78,0.18
79,0.21
80,0.21
81,0.22
82,0.25
83,0.21
84,0.245
85,0.205
86,0.21
87,0.27
88,0.255
89,0.23
90,0.205
91,0.255
92,0.19
93,0.235
94,0.25
95,0.155
96,0.23
97,0.23
98,0.24
99,0.195
100,0.225
101,0.195
102,0.18
103,0.24
104,0.195
105,0.195
106,0.225
107,0.22
108,0.215
109,0.195
110,0.23
111,0.195
112,0.19
113,0.165
114,0.245
115,0.215
116,0.23
117,0.22
118,0.21
119,0.25
120,0.185
121,0.245
122,0.245
123,0.165
124,0.245
125,0.21
126,0.24
127,0.21
128,0.255
129,0.19
130,0.235
131,0.235
132,0.19
133,0.175
134,0.19
135,0.25
136,0.215
137,0.22
138,0.245
139,0.22
140,0.21
141,0.25
142,0.19
143,0.215
144,0.21
145,0.21
146,0.215
147,0.22
148,0.19
149,0.205
150,0.25
151,0.235
152,0.185
153,0.245
154,0.215
155,0.21
156,0.195
157,0.2
158,0.24
159,0.18
160,0.17
161,0.265
162,0.24
163,0.23
164,0.21
165,0.215
166,0.195
167,0.23
168,0.205
169,0.23
170,0.18
171,0.2
172,0.245
173,0.195
174,0.19
175,0.205
176,0.205
177,0.19
178,0.21
179,0.19
180,0.235
181,0.24
182,0.23
183,0.205
184,0.235
185,0.23
186,0.215
187,0.215
188,0.19
189,0.24
190,0.195
191,0.185
192,0.2
193,0.14
194,0.21
195,0.235
196,0.165
197,0.245
198,0.2
199,0.275
200,0.21
201,0.24
202,0.225
203,0.205
204,0.22
205,0.14
206,0.215
207,0.215
208,0.175
209,0.19
210,0.195
211,0.24
212,0.24
213,0.23
214,0.21
215,0.215
216,0.225
217,0.19
218,0.25
219,0.2
220,0.185
221,0.22
222,0.19
223,0.28
224,0.2
225,0.23
226,0.245
227,0.15
228,0.225
229,0.25
230,0.23
231,0.225
232,0.195
233,0.16
234,0.22
235,0.31
236,0.135
237,0.185
238,0.24
239,0.25
240,0.23
241,0.22
242,0.21
243,0.225
244,0.23
245,0.22
246,0.265
247,0.195
248,0.21
249,0.175
250,0.23
251,0.205
252,0.195
253,0.245
254,0.23
255,0.225
256,0.21
257,0.215
258,0.225
259,0.2
260,0.22
261,0.215
262,0.24
263,0.225
264,0.19
265,0.175
266,0.18
267,0.175
268,0.15
269,0.195
270,0.24
271,0.19
272,0.195
273,0.245
274,0.235
275,0.175
276,0.195
277,0.26
278,0.26
279,0.255
280,0.235
281,0.21
282,0.195
283,0.235
284,0.295
285,0.19
286,0.2
287,0.17
288,0.185
289,0.235
290,0.24
291,0.235
292,0.215
293,0.24
294,0.225
295,0.19
296,0.215
297,0.26
298,0.245
