chunk,accuracy
0,0.0
1,0.115
2,0.13
3,0.185
4,0.17
5,0.155
6,0.195
7,0.165
8,0.16
9,0.165
10,0.195
11,0.275
12,0.21
13,0.11
14,0.265
15,0.18
16,0.14
17,0.24
18,0.325
19,0.255
20,0.22
21,0.23
22,0.21
23,0.245
24,0.18
25,0.2
26,0.22
27,0.205
28,0.27
29,0.2
30,0.19
31,0.24
32,0.2
33,0.22
34,0.22
35,0.235
36,0.2
37,0.235
38,0.235
39,0.27
40,0.245
41,0.215
42,0.215
43,0.23
44,0.245
45,0.255
46,0.22
47,0.17
48,0.175
49,0.165
50,0.2
51,0.21
52,0.195
53,0.18
54,0.205
55,0.19
56,0.225
57,0.22
58,0.21
59,0.175
60,0.2
61,0.19
62,0.215
63,0.175
64,0.2
65,0.2
66,0.19
67,0.235
68,0.245
69,0.265
70,0.26
71,0.165
72,0.225
73,0.185
74,0.235
75,0.175
76,0.195
77,0.22
78,0.24
79,0.235
80,0.26
81,0.255
82,0.26
83,0.17
84,0.275
85,0.235
86,0.19
87,0.19
88,0.205
89,0.215
90,0.17
91,0.215
92,0.24
93,0.18
94,0.195
95,0.23
96,0.23
97,0.2
98,0.235
99,0.205
100,0.2
101,0.21
102,0.24
103,0.17
104,0.2
105,0.215
106,0.295
107,0.22
108,0.215
109,0.175
110,0.215
111,0.19
112,0.22
113,0.21
114,0.195
115,0.175
116,0.22
117,0.215
118,0.25
119,0.26
120,0.225
121,0.27
122,0.245
123,0.215
124,0.2
125,0.22
126,0.245
127,0.215
128,0.21
129,0.225
130,0.195
131,0.19
132,0.185
133,0.205
134,0.23
135,0.245
136,0.215
137,0.21
138,0.25
139,0.215
140,0.21
141,0.215
142,0.155
143,0.245
144,0.225
145,0.195
146,0.215
147,0.14
148,0.235
149,0.18
150,0.23
151,0.21
152,0.245
153,0.28
154,0.195
155,0.25
156,0.235
157,0.23
158,0.18
159,0.17
160,0.19
161,0.24
162,0.19
163,0.24
164,0.2
165,0.18
166,0.16
167,0.2
168,0.22
169,0.195
170,0.175
171,0.215
172,0.18
173,0.25
174,0.21
175,0.225
176,0.195
177,0.185
178,0.185
179,0.245
180,0.16
181,0.245
182,0.215
183,0.23
184,0.225
185,0.2
186,0.245
187,0.225
188,0.205
189,0.245
190,0.18
191,0.205
192,0.215
193,0.235
194,0.215
195,0.25
196,0.22
197,0.24
198,0.18
199,0.26
200,0.235
201,0.235
202,0.195
203,0.21
204,0.215
205,0.19
206,0.195
207,0.22
208,0.245
209,0.2
210,0.155
211,0.205
212,0.195
213,0.23
214,0.17
215,0.18
216,0.205
217,0.285
218,0.27
219,0.225
220,0.21
221,0.205
222,0.225
223,0.245
224,0.225
225,0.215
226,0.18
227,0.325
228,0.225
229,0.25
230,0.275
231,0.215
232,0.185
233,0.175
234,0.18
235,0.23
236,0.235
237,0.225
238,0.205
239,0.195
240,0.16
241,0.205
242,0.2
243,0.21
244,0.195
245,0.205
246,0.23
247,0.245
248,0.185
249,0.24
250,0.205
251,0.255
252,0.18
253,0.275
254,0.215
255,0.245
256,0.21
257,0.205
258,0.195
259,0.225
260,0.195
261,0.14
262,0.235
263,0.22
264,0.245
265,0.225
266,0.185
267,0.21
268,0.21
269,0.2
270,0.25
271,0.205
272,0.23
273,0.235
274,0.295
275,0.28
276,0.155
277,0.255
278,0.195
279,0.175
280,0.23
281,0.225
282,0.2
283,0.23
284,0.215
285,0.185
286,0.225
287,0.28
288,0.165
289,0.23
290,0.165
291,0.16
292,0.215
293,0.24
294,0.195
295,0.18
296,0.22
297,0.215
298,0.215
