chunk,accuracy
0,0.0
1,0.1
2,0.165
3,0.135
4,0.15
5,0.2
6,0.18
7,0.18
8,0.235
9,0.165
10,0.215
11,0.285
12,0.24
13,0.29
14,0.25
15,0.24
16,0.12
17,0.27
18,0.195
19,0.275
20,0.215
21,0.17
22,0.33
23,0.185
24,0.295
25,0.225
26,0.335
27,0.185
28,0.22
29,0.215
30,0.28
31,0.31
32,0.28
33,0.335
34,0.26
35,0.18
36,0.22
37,0.29
38,0.36
39,0.23
40,0.27
41,0.315
42,0.295
43,0.34
44,0.14
45,0.315
46,0.28
47,0.275
48,0.36
49,0.33
50,0.335
51,0.35
52,0.27
53,0.19
54,0.35
55,0.255
56,0.285
57,0.285
58,0.24
59,0.34
60,0.285
61,0.29
62,0.375
63,0.325
64,0.215
65,0.3
66,0.175
67,0.335
68,0.365
69,0.37
70,0.345
71,0.28
72,0.315
73,0.33
74,0.3
75,0.34
76,0.285
77,0.295
78,0.26
79,0.275
80,0.255
81,0.31
82,0.315
83,0.335
84,0.3
85,0.36
86,0.175
87,0.375
88,0.29
89,0.335
90,0.27
91,0.285
92,0.325
93,0.235
94,0.325
95,0.37
96,0.245
97,0.325
98,0.425
99,0.39
100,0.29
101,0.275
102,0.365
103,0.335
104,0.38
105,0.255
106,0.26
107,0.405
108,0.345
109,0.365
110,0.415
111,0.41
112,0.34
113,0.29
114,0.29
115,0.345
116,0.32
117,0.32
118,0.195
119,0.395
120,0.255
121,0.375
122,0.385
123,0.325
124,0.36
125,0.335
126,0.44
127,0.31
128,0.43
129,0.25
130,0.395
131,0.35
132,0.395
133,0.38
134,0.395
135,0.295
136,0.235
137,0.345
138,0.31
139,0.26
140,0.345
141,0.375
142,0.33
143,0.305
144,0.175
145,0.355
146,0.27
147,0.16
148,0.415
149,0.315
150,0.37
151,0.23
152,0.305
153,0.23
154,0.235
155,0.29
156,0.195
157,0.315
158,0.235
159,0.275
160,0.24
161,0.33
162,0.295
163,0.275
164,0.31
165,0.375
166,0.345
167,0.22
168,0.355
169,0.34
170,0.335
171,0.28
172,0.27
173,0.325
174,0.395
175,0.405
176,0.305
177,0.3
178,0.345
179,0.27
180,0.315
181,0.35
182,0.325
183,0.32
184,0.295
185,0.31
186,0.3
187,0.255
188,0.36
189,0.335
190,0.375
191,0.13
192,0.285
193,0.31
194,0.375
195,0.33
196,0.33
197,0.375
198,0.355
199,0.26
200,0.38
201,0.285
202,0.3
203,0.34
204,0.32
205,0.31
206,0.35
207,0.2
208,0.28
209,0.29
210,0.275
211,0.34
212,0.335
213,0.44
214,0.36
215,0.36
216,0.29
217,0.395
218,0.38
219,0.295
220,0.295
221,0.325
222,0.405
223,0.36
224,0.445
225,0.355
226,0.345
227,0.305
228,0.235
229,0.345
230,0.315
231,0.35
232,0.315
233,0.325
234,0.19
235,0.42
236,0.215
237,0.36
238,0.37
239,0.37
240,0.295
241,0.39
242,0.255
243,0.33
244,0.34
245,0.33
246,0.225
247,0.325
248,0.325
249,0.315
250,0.395
251,0.295
252,0.32
253,0.365
254,0.44
255,0.345
256,0.365
257,0.335
258,0.39
259,0.175
260,0.285
261,0.26
262,0.325
263,0.335
264,0.425
265,0.35
266,0.375
267,0.375
268,0.405
269,0.37
270,0.435
271,0.415
272,0.415
273,0.25
274,0.42
275,0.345
276,0.395
277,0.39
278,0.34
279,0.425
280,0.31
281,0.355
282,0.43
283,0.34
284,0.425
285,0.29
286,0.33
287,0.355
288,0.415
289,0.345
290,0.265
291,0.355
292,0.25
293,0.305
294,0.35
295,0.415
296,0.35
297,0.305
298,0.335
