chunk,accuracy
0,0.0
1,0.1
2,0.18
3,0.24
4,0.215
5,0.215
6,0.24
7,0.255
8,0.2
9,0.25
10,0.25
11,0.305
12,0.21
13,0.29
14,0.31
15,0.245
16,0.22
17,0.2
18,0.205
19,0.315
20,0.35
21,0.29
22,0.34
23,0.31
24,0.35
25,0.345
26,0.34
27,0.255
28,0.25
29,0.32
30,0.3
31,0.29
32,0.27
33,0.28
34,0.265
35,0.255
36,0.34
37,0.335
38,0.355
39,0.275
40,0.345
41,0.265
42,0.345
43,0.29
44,0.31
45,0.33
46,0.345
47,0.285
48,0.315
49,0.29
50,0.36
51,0.27
52,0.285
53,0.345
54,0.295
55,0.35
56,0.32
57,0.355
58,0.3
59,0.355
60,0.26
61,0.32
62,0.35
63,0.3
64,0.33
65,0.385
66,0.265
67,0.325
68,0.27
69,0.32
70,0.255
71,0.315
72,0.32
73,0.29
74,0.31
75,0.325
76,0.35
77,0.295
78,0.265
79,0.31
80,0.245
81,0.305
82,0.35
83,0.285
84,0.26
85,0.365
86,0.325
87,0.28
88,0.34
89,0.23
90,0.245
91,0.33
92,0.29
93,0.28
94,0.38
95,0.28
96,0.28
97,0.26
98,0.29
99,0.215
100,0.245
101,0.335
102,0.32
103,0.35
104,0.3
105,0.28
106,0.335
107,0.31
108,0.375
109,0.375
110,0.37
111,0.3
112,0.28
113,0.315
114,0.39
115,0.35
116,0.285
117,0.305
118,0.29
119,0.265
120,0.275
121,0.365
122,0.345
123,0.3
124,0.265
125,0.31
126,0.365
127,0.315
128,0.335
129,0.345
130,0.29
131,0.325
132,0.305
133,0.285
134,0.29
135,0.325
136,0.355
137,0.31
138,0.375
139,0.355
140,0.29
141,0.29
142,0.33
143,0.33
144,0.315
145,0.315
146,0.34
147,0.285
148,0.28
149,0.255
150,0.325
151,0.2
152,0.16
153,0.2
154,0.21
155,0.135
156,0.175
157,0.26
158,0.215
159,0.205
160,0.21
161,0.17
162,0.22
163,0.215
164,0.2
165,0.175
166,0.26
167,0.195
168,0.225
169,0.225
170,0.18
171,0.205
172,0.185
173,0.215
174,0.21
175,0.205
176,0.21
177,0.24
178,0.21
179,0.235
180,0.245
181,0.245
182,0.25
183,0.21
184,0.22
185,0.2
186,0.265
187,0.2
188,0.31
189,0.21
190,0.215
191,0.225
192,0.185
193,0.23
194,0.185
195,0.255
196,0.145
197,0.265
198,0.225
199,0.23
200,0.2
201,0.22
202,0.185
203,0.215
204,0.21
205,0.21
206,0.195
207,0.2
208,0.225
209,0.205
210,0.195
211,0.19
212,0.23
213,0.24
214,0.22
215,0.22
216,0.245
217,0.225
218,0.18
219,0.185
220,0.18
221,0.21
222,0.21
223,0.22
224,0.215
225,0.255
226,0.18
227,0.18
228,0.19
229,0.245
230,0.23
231,0.19
232,0.195
233,0.23
234,0.175
235,0.21
236,0.205
237,0.195
238,0.26
239,0.185
240,0.215
241,0.215
242,0.19
243,0.235
244,0.275
245,0.16
246,0.21
247,0.19
248,0.18
249,0.195
250,0.185
251,0.235
252,0.21
253,0.225
254,0.205
255,0.21
256,0.23
257,0.215
258,0.215
259,0.245
260,0.215
261,0.22
262,0.165
263,0.195
264,0.235
265,0.19
266,0.21
267,0.24
268,0.175
269,0.195
270,0.26
271,0.205
272,0.19
273,0.245
274,0.28
275,0.165
276,0.22
277,0.27
278,0.26
279,0.18
280,0.2
281,0.19
282,0.25
283,0.22
284,0.185
285,0.155
286,0.2
287,0.215
288,0.245
289,0.2
290,0.18
291,0.21
292,0.23
293,0.245
294,0.2
295,0.21
296,0.215
297,0.235
298,0.23
