chunk,accuracy
0,0.0
1,0.585
2,0.595
3,0.695
4,0.71
5,0.82
6,0.805
7,0.775
8,0.66
9,0.705
10,0.68
11,0.795
12,0.585
13,0.78
14,0.72
15,0.805
16,0.82
17,0.795
18,0.69
19,0.725
20,0.735
21,0.815
22,0.775
23,0.475
24,0.765
25,0.745
26,0.815
27,0.56
28,0.805
29,0.815
30,0.86
31,0.775
32,0.745
33,0.48
34,0.815
35,0.82
36,0.79
37,0.695
38,0.805
39,0.505
40,0.82
41,0.83
42,0.84
43,0.775
44,0.835
45,0.88
46,0.82
47,0.72
48,0.655
49,0.875
50,0.85
51,0.895
52,0.865
53,0.865
54,0.755
55,0.83
56,0.855
57,0.835
58,0.82
59,0.785
60,0.855
61,0.545
62,0.83
63,0.83
64,0.88
65,0.435
66,0.83
67,0.79
68,0.845
69,0.795
70,0.795
71,0.815
72,0.755
73,0.84
74,0.87
75,0.775
76,0.83
77,0.885
78,0.815
79,0.67
80,0.765
81,0.87
82,0.805
83,0.755
84,0.82
85,0.805
86,0.775
87,0.78
88,0.88
89,0.81
90,0.855
91,0.56
92,0.89
93,0.875
94,0.815
95,0.8
96,0.83
97,0.86
98,0.855
99,0.82
100,0.755
101,0.71
102,0.89
103,0.855
104,0.91
105,0.86
106,0.85
107,0.85
108,0.785
109,0.83
110,0.87
111,0.84
112,0.62
113,0.795
114,0.66
115,0.9
116,0.795
117,0.87
118,0.725
119,0.84
120,0.785
121,0.485
122,0.78
123,0.795
124,0.805
125,0.825
126,0.835
127,0.84
128,0.725
129,0.865
130,0.795
131,0.8
132,0.87
133,0.795
134,0.845
135,0.895
136,0.795
137,0.79
138,0.875
139,0.85
140,0.845
141,0.79
142,0.85
143,0.795
144,0.755
145,0.805
146,0.79
147,0.88
148,0.725
149,0.865
150,0.435
151,0.83
152,0.81
153,0.825
154,0.815
155,0.775
156,0.805
157,0.815
158,0.835
159,0.8
160,0.815
161,0.775
162,0.815
163,0.77
164,0.82
165,0.815
166,0.335
167,0.815
168,0.82
169,0.84
170,0.705
171,0.675
172,0.475
173,0.8
174,0.795
175,0.79
176,0.805
177,0.83
178,0.815
179,0.82
180,0.83
181,0.815
182,0.77
183,0.525
184,0.795
185,0.795
186,0.815
187,0.68
188,0.81
189,0.845
190,0.77
191,0.805
192,0.805
193,0.815
194,0.84
195,0.82
196,0.74
197,0.82
198,0.745
199,0.785
200,0.84
201,0.745
202,0.58
203,0.765
204,0.345
205,0.8
206,0.765
207,0.82
208,0.765
209,0.77
210,0.83
211,0.805
212,0.795
213,0.805
214,0.765
215,0.77
216,0.815
217,0.765
218,0.815
219,0.76
220,0.735
221,0.79
222,0.82
223,0.82
224,0.84
225,0.77
226,0.795
227,0.855
228,0.865
229,0.75
230,0.815
231,0.81
232,0.795
233,0.83
234,0.87
235,0.78
236,0.81
237,0.38
238,0.82
239,0.885
240,0.825
241,0.795
242,0.81
243,0.79
244,0.845
245,0.81
246,0.815
247,0.81
248,0.8
249,0.765
250,0.85
251,0.575
252,0.77
253,0.775
254,0.815
255,0.805
256,0.825
257,0.84
258,0.85
259,0.7
260,0.8
261,0.795
262,0.735
263,0.815
264,0.835
265,0.825
266,0.645
267,0.82
268,0.8
269,0.815
270,0.775
271,0.815
272,0.815
273,0.8
274,0.815
275,0.74
276,0.8
277,0.785
278,0.78
279,0.485
280,0.775
281,0.815
282,0.795
283,0.81
284,0.765
285,0.81
286,0.835
287,0.815
288,0.79
289,0.795
290,0.8
291,0.785
292,0.825
293,0.79
294,0.77
295,0.82
296,0.78
297,0.79
298,0.835
