chunk,accuracy
0,0.0
1,0.78
2,0.8
3,0.82
4,0.81
5,0.795
6,0.765
7,0.745
8,0.815
9,0.845
10,0.85
11,0.785
12,0.845
13,0.775
14,0.83
15,0.795
16,0.79
17,0.84
18,0.81
19,0.74
20,0.79
21,0.815
22,0.745
23,0.79
24,0.8
25,0.82
26,0.815
27,0.835
28,0.865
29,0.835
30,0.82
31,0.75
32,0.795
33,0.75
34,0.745
35,0.82
36,0.77
37,0.775
38,0.82
39,0.81
40,0.8
41,0.755
42,0.755
43,0.805
44,0.83
45,0.77
46,0.735
47,0.82
48,0.84
49,0.765
50,0.82
51,0.765
52,0.775
53,0.79
54,0.78
55,0.725
56,0.775
57,0.805
58,0.785
59,0.775
60,0.77
61,0.815
62,0.815
63,0.86
64,0.785
65,0.815
66,0.775
67,0.795
68,0.75
69,0.81
70,0.8
71,0.8
72,0.83
73,0.775
74,0.77
75,0.815
76,0.805
77,0.82
78,0.805
79,0.795
80,0.77
81,0.805
82,0.815
83,0.805
84,0.75
85,0.865
86,0.83
87,0.76
88,0.78
89,0.805
90,0.85
91,0.855
92,0.84
93,0.81
94,0.775
95,0.77
96,0.755
97,0.805
98,0.79
99,0.795
100,0.82
101,0.785
102,0.845
103,0.78
104,0.79
105,0.795
106,0.805
107,0.82
108,0.82
109,0.81
110,0.77
111,0.8
112,0.75
113,0.805
114,0.83
115,0.74
116,0.785
117,0.77
118,0.84
119,0.79
120,0.76
121,0.77
122,0.795
123,0.845
124,0.79
125,0.855
126,0.745
127,0.805
128,0.79
129,0.785
130,0.855
131,0.805
132,0.81
133,0.82
134,0.81
135,0.79
136,0.8
137,0.865
138,0.87
139,0.79
140,0.835
141,0.805
142,0.845
143,0.81
144,0.795
145,0.88
146,0.82
147,0.85
148,0.815
149,0.795
150,0.785
151,0.76
152,0.82
153,0.715
154,0.855
155,0.76
156,0.78
157,0.775
158,0.74
159,0.785
160,0.83
161,0.79
162,0.81
163,0.8
164,0.745
165,0.85
166,0.805
167,0.83
168,0.85
169,0.845
170,0.795
171,0.8
172,0.795
173,0.835
174,0.785
175,0.81
176,0.84
177,0.86
178,0.79
179,0.795
180,0.775
181,0.81
182,0.775
183,0.845
184,0.84
185,0.835
186,0.79
187,0.78
188,0.84
189,0.815
190,0.81
191,0.795
192,0.805
193,0.795
194,0.845
195,0.805
196,0.83
197,0.815
198,0.81
199,0.79
200,0.805
201,0.755
202,0.795
203,0.81
204,0.815
205,0.815
206,0.775
207,0.8
208,0.78
209,0.795
210,0.81
211,0.835
212,0.825
213,0.755
214,0.815
215,0.785
216,0.8
217,0.82
218,0.81
219,0.8
220,0.77
221,0.81
222,0.85
223,0.805
224,0.83
225,0.805
226,0.765
227,0.81
228,0.8
229,0.785
230,0.78
231,0.795
232,0.83
233,0.83
234,0.845
235,0.835
236,0.765
237,0.79
238,0.805
239,0.83
240,0.805
241,0.8
242,0.855
243,0.79
244,0.82
245,0.81
246,0.82
247,0.77
248,0.805
249,0.835
250,0.785
251,0.75
252,0.805
253,0.805
254,0.795
255,0.795
256,0.8
257,0.81
258,0.815
259,0.79
260,0.775
261,0.79
262,0.86
263,0.77
264,0.77
265,0.79
266,0.89
267,0.775
268,0.86
269,0.79
270,0.82
271,0.79
272,0.835
273,0.8
274,0.765
275,0.765
276,0.815
277,0.825
278,0.805
279,0.8
280,0.795
281,0.79
282,0.78
283,0.82
284,0.795
285,0.845
286,0.79
287,0.845
288,0.845
289,0.825
290,0.8
291,0.86
292,0.8
293,0.815
294,0.78
295,0.78
296,0.835
297,0.815
298,0.835
