chunk,accuracy
0,0.0
1,0.595
2,0.675
3,0.735
4,0.73
5,0.71
6,0.7
7,0.785
8,0.755
9,0.755
10,0.585
11,0.84
12,0.775
13,0.62
14,0.79
15,0.67
16,0.8
17,0.805
18,0.73
19,0.85
20,0.855
21,0.82
22,0.71
23,0.845
24,0.845
25,0.825
26,0.865
27,0.575
28,0.585
29,0.595
30,0.85
31,0.87
32,0.845
33,0.79
34,0.75
35,0.715
36,0.735
37,0.705
38,0.76
39,0.785
40,0.505
41,0.8
42,0.855
43,0.705
44,0.785
45,0.865
46,0.84
47,0.79
48,0.775
49,0.685
50,0.64
51,0.8
52,0.85
53,0.735
54,0.72
55,0.805
56,0.82
57,0.88
58,0.74
59,0.82
60,0.835
61,0.795
62,0.795
63,0.85
64,0.77
65,0.825
66,0.785
67,0.825
68,0.565
69,0.79
70,0.725
71,0.825
72,0.855
73,0.765
74,0.865
75,0.72
76,0.89
77,0.86
78,0.62
79,0.845
80,0.88
81,0.835
82,0.805
83,0.865
84,0.88
85,0.81
86,0.86
87,0.595
88,0.785
89,0.745
90,0.79
91,0.815
92,0.87
93,0.745
94,0.765
95,0.81
96,0.85
97,0.845
98,0.79
99,0.885
100,0.905
101,0.79
102,0.87
103,0.85
104,0.705
105,0.87
106,0.825
107,0.835
108,0.83
109,0.86
110,0.785
111,0.69
112,0.85
113,0.82
114,0.855
115,0.84
116,0.72
117,0.865
118,0.825
119,0.86
120,0.735
121,0.885
122,0.835
123,0.655
124,0.785
125,0.855
126,0.845
127,0.87
128,0.86
129,0.805
130,0.855
131,0.81
132,0.735
133,0.51
134,0.82
135,0.885
136,0.83
137,0.85
138,0.73
139,0.845
140,0.855
141,0.81
142,0.78
143,0.78
144,0.855
145,0.73
146,0.86
147,0.775
148,0.865
149,0.84
150,0.37
151,0.79
152,0.84
153,0.75
154,0.855
155,0.775
156,0.8
157,0.815
158,0.445
159,0.735
160,0.835
161,0.79
162,0.8
163,0.8
164,0.63
165,0.83
166,0.79
167,0.79
168,0.84
169,0.81
170,0.785
171,0.76
172,0.825
173,0.825
174,0.79
175,0.82
176,0.815
177,0.84
178,0.8
179,0.83
180,0.815
181,0.82
182,0.755
183,0.815
184,0.835
185,0.855
186,0.82
187,0.765
188,0.82
189,0.475
190,0.83
191,0.79
192,0.795
193,0.82
194,0.855
195,0.815
196,0.84
197,0.8
198,0.64
199,0.795
200,0.81
201,0.79
202,0.81
203,0.72
204,0.83
205,0.8
206,0.825
207,0.805
208,0.795
209,0.795
210,0.715
211,0.795
212,0.855
213,0.81
214,0.84
215,0.8
216,0.705
217,0.83
218,0.705
219,0.855
220,0.775
221,0.575
222,0.765
223,0.825
224,0.84
225,0.73
226,0.715
227,0.815
228,0.8
229,0.795
230,0.775
231,0.81
232,0.825
233,0.82
234,0.885
235,0.83
236,0.775
237,0.78
238,0.3
239,0.82
240,0.84
241,0.82
242,0.825
243,0.78
244,0.835
245,0.835
246,0.86
247,0.79
248,0.825
249,0.84
250,0.82
251,0.79
252,0.735
253,0.835
254,0.795
255,0.8
256,0.82
257,0.385
258,0.835
259,0.81
260,0.82
261,0.815
262,0.835
263,0.785
264,0.31
265,0.79
266,0.8
267,0.81
268,0.86
269,0.84
270,0.845
271,0.825
272,0.85
273,0.815
274,0.79
275,0.775
276,0.815
277,0.825
278,0.805
279,0.77
280,0.825
281,0.815
282,0.415
283,0.82
284,0.78
285,0.865
286,0.81
287,0.855
288,0.845
289,0.84
290,0.795
291,0.855
292,0.815
293,0.835
294,0.815
295,0.785
296,0.825
297,0.81
298,0.82
