chunk,accuracy
0,0.0
1,0.8
2,0.785
3,0.795
4,0.765
5,0.825
6,0.8
7,0.79
8,0.785
9,0.445
10,0.255
11,0.805
12,0.81
13,0.79
14,0.52
15,0.71
16,0.805
17,0.75
18,0.835
19,0.785
20,0.49
21,0.83
22,0.825
23,0.72
24,0.77
25,0.825
26,0.8
27,0.79
28,0.815
29,0.775
30,0.835
31,0.805
32,0.595
33,0.81
34,0.795
35,0.715
36,0.805
37,0.78
38,0.7
39,0.7
40,0.64
41,0.845
42,0.76
43,0.785
44,0.715
45,0.85
46,0.82
47,0.825
48,0.805
49,0.78
50,0.59
51,0.81
52,0.775
53,0.795
54,0.765
55,0.765
56,0.795
57,0.785
58,0.79
59,0.835
60,0.765
61,0.795
62,0.79
63,0.805
64,0.82
65,0.83
66,0.825
67,0.81
68,0.795
69,0.79
70,0.77
71,0.835
72,0.77
73,0.825
74,0.78
75,0.82
76,0.79
77,0.795
78,0.76
79,0.78
80,0.82
81,0.76
82,0.78
83,0.845
84,0.835
85,0.8
86,0.25
87,0.705
88,0.83
89,0.78
90,0.775
91,0.83
92,0.795
93,0.79
94,0.815
95,0.73
96,0.765
97,0.815
98,0.815
99,0.815
100,0.805
101,0.78
102,0.805
103,0.835
104,0.86
105,0.835
106,0.825
107,0.83
108,0.75
109,0.76
110,0.785
111,0.81
112,0.74
113,0.795
114,0.745
115,0.305
116,0.775
117,0.805
118,0.805
119,0.76
120,0.86
121,0.845
122,0.745
123,0.765
124,0.78
125,0.815
126,0.825
127,0.76
128,0.83
129,0.83
130,0.795
131,0.83
132,0.83
133,0.735
134,0.8
135,0.785
136,0.8
137,0.835
138,0.765
139,0.84
140,0.84
141,0.805
142,0.815
143,0.81
144,0.64
145,0.76
146,0.815
147,0.87
148,0.755
149,0.845
150,0.29
151,0.5
152,0.605
153,0.675
154,0.665
155,0.72
156,0.355
157,0.625
158,0.68
159,0.75
160,0.44
161,0.665
162,0.7
163,0.71
164,0.475
165,0.7
166,0.72
167,0.755
168,0.68
169,0.795
170,0.48
171,0.77
172,0.55
173,0.695
174,0.57
175,0.79
176,0.785
177,0.545
178,0.56
179,0.815
180,0.795
181,0.775
182,0.745
183,0.77
184,0.715
185,0.72
186,0.66
187,0.71
188,0.595
189,0.69
190,0.77
191,0.865
192,0.765
193,0.435
194,0.725
195,0.55
196,0.82
197,0.82
198,0.645
199,0.87
200,0.825
201,0.495
202,0.73
203,0.755
204,0.675
205,0.675
206,0.725
207,0.715
208,0.53
209,0.815
210,0.86
211,0.79
212,0.865
213,0.725
214,0.8
215,0.815
216,0.795
217,0.785
218,0.855
219,0.75
220,0.665
221,0.78
222,0.695
223,0.785
224,0.815
225,0.8
226,0.795
227,0.745
228,0.625
229,0.8
230,0.705
231,0.715
232,0.74
233,0.675
234,0.8
235,0.68
236,0.61
237,0.645
238,0.78
239,0.86
240,0.83
241,0.86
242,0.84
243,0.735
244,0.655
245,0.575
246,0.645
247,0.79
248,0.475
249,0.79
250,0.625
251,0.805
252,0.845
253,0.725
254,0.805
255,0.8
256,0.77
257,0.855
258,0.78
259,0.84
260,0.795
261,0.85
262,0.8
263,0.81
264,0.82
265,0.81
266,0.61
267,0.68
268,0.78
269,0.56
270,0.81
271,0.83
272,0.76
273,0.865
274,0.865
275,0.755
276,0.85
277,0.825
278,0.845
279,0.8
280,0.85
281,0.785
282,0.81
283,0.805
284,0.76
285,0.895
286,0.805
287,0.82
288,0.89
289,0.865
290,0.86
291,0.725
292,0.82
293,0.89
294,0.805
295,0.42
296,0.705
297,0.885
298,0.825
