model,noise,seed,time,memory,recovery,det_max,det_avg
Sliding,animals,42,3.2309678289696673,245218172.94983277,16,48.043379654447236,3.4759239154048545
Unlearning,animals,42,0.0894268119059827,198960089.84615386,1,52.18196700124929,-0.6321093508988981
Sliding,animals,65,3.196070398756904,245950576.10702342,13,55.0991560304328,3.443095602356883
Unlearning,animals,65,0.08933719598460806,197215824.0,1,54.23291792006876,-0.6451836192003357
Sliding,animals,88,3.1715037443217224,245950576.10702342,15,49.48865053629334,3.3885167768493973
Unlearning,animals,88,0.08629270538650329,197215824.0,1,57.05678759133444,0.1848842301236645
Sliding,swim,42,3.139272943779166,245950576.10702342,16,59.6180540949817,-0.44670269159333575
Unlearning,swim,42,0.08725983574270056,197215824.0,29,62.27233304423243,4.66800933660073
Sliding,swim,65,3.1226350756371426,245950576.10702342,14,56.06326889279438,-0.13614910348845802
Unlearning,swim,65,0.08733537352416527,197215824.0,36,49.943659530207164,3.822716872996325
Sliding,swim,88,3.1429760846648875,245950576.10702342,14,52.561669829222005,-0.35276288475988865
Unlearning,swim,88,0.08745043170653956,197215824.0,22,54.981992797118856,2.9803676024580525
