chunk,accuracy
0,0.0
1,0.75
2,0.785
3,0.81
4,0.83
5,0.8
6,0.805
7,0.635
8,0.27
9,0.785
10,0.47
11,0.77
12,0.83
13,0.835
14,0.78
15,0.625
16,0.815
17,0.785
18,0.785
19,0.84
20,0.82
21,0.84
22,0.81
23,0.83
24,0.775
25,0.77
26,0.83
27,0.78
28,0.805
29,0.755
30,0.84
31,0.815
32,0.86
33,0.8
34,0.805
35,0.79
36,0.805
37,0.78
38,0.84
39,0.795
40,0.76
41,0.785
42,0.815
43,0.81
44,0.8
45,0.79
46,0.805
47,0.85
48,0.765
49,0.825
50,0.83
51,0.72
52,0.79
53,0.81
54,0.86
55,0.825
56,0.81
57,0.815
58,0.81
59,0.805
60,0.835
61,0.785
62,0.79
63,0.825
64,0.84
65,0.775
66,0.835
67,0.755
68,0.83
69,0.76
70,0.805
71,0.835
72,0.81
73,0.78
74,0.84
75,0.775
76,0.8
77,0.82
78,0.8
79,0.79
80,0.82
81,0.765
82,0.77
83,0.79
84,0.78
85,0.8
86,0.805
87,0.775
88,0.78
89,0.79
90,0.745
91,0.815
92,0.845
93,0.8
94,0.83
95,0.8
96,0.735
97,0.78
98,0.775
99,0.805
100,0.78
101,0.815
102,0.84
103,0.85
104,0.8
105,0.775
106,0.795
107,0.815
108,0.84
109,0.87
110,0.755
111,0.775
112,0.84
113,0.815
114,0.76
115,0.82
116,0.815
117,0.8
118,0.805
119,0.805
120,0.82
121,0.815
122,0.805
123,0.825
124,0.845
125,0.805
126,0.77
127,0.79
128,0.825
129,0.81
130,0.81
131,0.805
132,0.835
133,0.83
134,0.81
135,0.765
136,0.78
137,0.84
138,0.83
139,0.82
140,0.845
141,0.84
142,0.85
143,0.795
144,0.76
145,0.75
146,0.81
147,0.8
148,0.785
149,0.815
150,0.375
151,0.46
152,0.395
153,0.415
154,0.435
155,0.455
156,0.515
157,0.62
158,0.5
159,0.62
160,0.63
161,0.71
162,0.72
163,0.745
164,0.805
165,0.78
166,0.73
167,0.825
168,0.775
169,0.74
170,0.825
171,0.835
172,0.85
173,0.84
174,0.775
175,0.84
176,0.805
177,0.84
178,0.79
179,0.81
180,0.83
181,0.82
182,0.795
183,0.78
184,0.83
185,0.845
186,0.83
187,0.83
188,0.77
189,0.85
190,0.765
191,0.86
192,0.77
193,0.825
194,0.82
195,0.815
196,0.86
197,0.845
198,0.84
199,0.845
200,0.825
201,0.88
202,0.825
203,0.82
204,0.845
205,0.825
206,0.855
207,0.765
208,0.81
209,0.79
210,0.85
211,0.78
212,0.85
213,0.765
214,0.85
215,0.765
216,0.775
217,0.825
218,0.84
219,0.84
220,0.82
221,0.81
222,0.815
223,0.755
224,0.835
225,0.8
226,0.855
227,0.8
228,0.83
229,0.795
230,0.79
231,0.845
232,0.83
233,0.77
234,0.81
235,0.825
236,0.835
237,0.815
238,0.775
239,0.855
240,0.8
241,0.785
242,0.815
243,0.855
244,0.845
245,0.83
246,0.875
247,0.735
248,0.83
249,0.845
250,0.82
251,0.85
252,0.855
253,0.855
254,0.875
255,0.805
256,0.795
257,0.835
258,0.835
259,0.825
260,0.785
261,0.835
262,0.845
263,0.83
264,0.84
265,0.84
266,0.815
267,0.84
268,0.8
269,0.84
270,0.82
271,0.805
272,0.835
273,0.815
274,0.825
275,0.77
276,0.85
277,0.825
278,0.835
279,0.81
280,0.835
281,0.82
282,0.85
283,0.88
284,0.84
285,0.785
286,0.805
287,0.735
288,0.82
289,0.845
290,0.8
291,0.87
292,0.76
293,0.845
294,0.845
295,0.83
296,0.85
297,0.84
298,0.79
