chunk,accuracy
0,0.0
1,0.825
2,0.845
3,0.765
4,0.385
5,0.865
6,0.76
7,0.435
8,0.785
9,0.835
10,0.805
11,0.865
12,0.76
13,0.8
14,0.785
15,0.825
16,0.785
17,0.79
18,0.855
19,0.86
20,0.71
21,0.53
22,0.81
23,0.835
24,0.83
25,0.805
26,0.81
27,0.85
28,0.795
29,0.765
30,0.825
31,0.815
32,0.825
33,0.81
34,0.78
35,0.785
36,0.65
37,0.85
38,0.76
39,0.78
40,0.795
41,0.79
42,0.66
43,0.79
44,0.87
45,0.82
46,0.78
47,0.8
48,0.805
49,0.82
50,0.83
51,0.805
52,0.795
53,0.84
54,0.805
55,0.805
56,0.84
57,0.815
58,0.77
59,0.49
60,0.78
61,0.835
62,0.79
63,0.835
64,0.81
65,0.815
66,0.79
67,0.805
68,0.825
69,0.65
70,0.855
71,0.805
72,0.745
73,0.435
74,0.78
75,0.81
76,0.785
77,0.805
78,0.36
79,0.795
80,0.87
81,0.77
82,0.76
83,0.765
84,0.865
85,0.64
86,0.78
87,0.795
88,0.82
89,0.755
90,0.765
91,0.825
92,0.83
93,0.82
94,0.825
95,0.875
96,0.79
97,0.81
98,0.785
99,0.795
100,0.44
101,0.8
102,0.83
103,0.83
104,0.85
105,0.81
106,0.83
107,0.765
108,0.705
109,0.82
110,0.835
111,0.82
112,0.74
113,0.84
114,0.77
115,0.83
116,0.69
117,0.81
118,0.695
119,0.795
120,0.795
121,0.86
122,0.695
123,0.785
124,0.81
125,0.82
126,0.825
127,0.81
128,0.825
129,0.825
130,0.595
131,0.82
132,0.855
133,0.715
134,0.825
135,0.81
136,0.83
137,0.85
138,0.77
139,0.83
140,0.82
141,0.785
142,0.76
143,0.84
144,0.82
145,0.815
146,0.805
147,0.805
148,0.82
149,0.815
150,0.365
151,0.605
152,0.395
153,0.68
154,0.73
155,0.675
156,0.76
157,0.52
158,0.745
159,0.7
160,0.68
161,0.78
162,0.71
163,0.775
164,0.76
165,0.83
166,0.765
167,0.715
168,0.755
169,0.735
170,0.7
171,0.615
172,0.63
173,0.64
174,0.705
175,0.755
176,0.795
177,0.84
178,0.685
179,0.675
180,0.77
181,0.775
182,0.79
183,0.755
184,0.81
185,0.63
186,0.67
187,0.845
188,0.78
189,0.72
190,0.785
191,0.725
192,0.77
193,0.67
194,0.62
195,0.69
196,0.8
197,0.68
198,0.78
199,0.87
200,0.645
201,0.825
202,0.645
203,0.765
204,0.705
205,0.795
206,0.53
207,0.72
208,0.78
209,0.755
210,0.83
211,0.805
212,0.77
213,0.815
214,0.81
215,0.75
216,0.79
217,0.8
218,0.82
219,0.81
220,0.725
221,0.825
222,0.875
223,0.795
224,0.815
225,0.825
226,0.37
227,0.825
228,0.77
229,0.805
230,0.715
231,0.77
232,0.78
233,0.745
234,0.83
235,0.815
236,0.83
237,0.76
238,0.385
239,0.84
240,0.815
241,0.82
242,0.645
243,0.765
244,0.76
245,0.815
246,0.775
247,0.765
248,0.45
249,0.775
250,0.895
251,0.805
252,0.87
253,0.83
254,0.53
255,0.845
256,0.8
257,0.805
258,0.675
259,0.81
260,0.835
261,0.655
262,0.86
263,0.83
264,0.845
265,0.835
266,0.765
267,0.88
268,0.755
269,0.87
270,0.83
271,0.735
272,0.81
273,0.695
274,0.81
275,0.74
276,0.83
277,0.855
278,0.825
279,0.78
280,0.775
281,0.855
282,0.74
283,0.86
284,0.885
285,0.675
286,0.865
287,0.81
288,0.805
289,0.81
290,0.815
291,0.87
292,0.845
293,0.745
294,0.675
295,0.8
296,0.755
297,0.84
298,0.87
