chunk,accuracy
0,0.0
1,0.785
2,0.805
3,0.82
4,0.305
5,0.795
6,0.765
7,0.71
8,0.83
9,0.845
10,0.825
11,0.64
12,0.185
13,0.775
14,0.29
15,0.795
16,0.79
17,0.825
18,0.78
19,0.62
20,0.775
21,0.805
22,0.765
23,0.805
24,0.8
25,0.84
26,0.81
27,0.82
28,0.835
29,0.805
30,0.785
31,0.765
32,0.365
33,0.765
34,0.8
35,0.79
36,0.795
37,0.805
38,0.79
39,0.815
40,0.79
41,0.78
42,0.775
43,0.805
44,0.84
45,0.765
46,0.735
47,0.83
48,0.825
49,0.745
50,0.825
51,0.78
52,0.74
53,0.605
54,0.775
55,0.735
56,0.805
57,0.8
58,0.79
59,0.81
60,0.795
61,0.84
62,0.865
63,0.84
64,0.815
65,0.805
66,0.765
67,0.625
68,0.75
69,0.82
70,0.78
71,0.78
72,0.63
73,0.78
74,0.795
75,0.805
76,0.845
77,0.795
78,0.835
79,0.81
80,0.78
81,0.81
82,0.86
83,0.81
84,0.775
85,0.8
86,0.82
87,0.735
88,0.775
89,0.79
90,0.65
91,0.855
92,0.83
93,0.67
94,0.785
95,0.765
96,0.75
97,0.81
98,0.8
99,0.83
100,0.825
101,0.81
102,0.835
103,0.785
104,0.785
105,0.76
106,0.77
107,0.79
108,0.785
109,0.84
110,0.76
111,0.795
112,0.755
113,0.8
114,0.825
115,0.75
116,0.62
117,0.765
118,0.865
119,0.8
120,0.81
121,0.765
122,0.77
123,0.855
124,0.83
125,0.84
126,0.775
127,0.78
128,0.825
129,0.79
130,0.825
131,0.82
132,0.8
133,0.815
134,0.82
135,0.78
136,0.83
137,0.84
138,0.725
139,0.815
140,0.78
141,0.705
142,0.615
143,0.775
144,0.83
145,0.865
146,0.82
147,0.76
148,0.83
149,0.81
150,0.41
151,0.6
152,0.395
153,0.615
154,0.625
155,0.69
156,0.575
157,0.68
158,0.69
159,0.695
160,0.635
161,0.72
162,0.59
163,0.71
164,0.785
165,0.72
166,0.7
167,0.65
168,0.62
169,0.595
170,0.775
171,0.765
172,0.695
173,0.66
174,0.76
175,0.715
176,0.77
177,0.76
178,0.62
179,0.76
180,0.735
181,0.785
182,0.655
183,0.755
184,0.615
185,0.77
186,0.865
187,0.805
188,0.815
189,0.765
190,0.84
191,0.715
192,0.765
193,0.545
194,0.385
195,0.79
196,0.76
197,0.7
198,0.52
199,0.79
200,0.845
201,0.795
202,0.755
203,0.695
204,0.8
205,0.78
206,0.785
207,0.685
208,0.805
209,0.85
210,0.44
211,0.69
212,0.7
213,0.795
214,0.705
215,0.39
216,0.81
217,0.74
218,0.82
219,0.82
220,0.76
221,0.84
222,0.68
223,0.755
224,0.82
225,0.755
226,0.795
227,0.85
228,0.78
229,0.785
230,0.855
231,0.86
232,0.83
233,0.87
234,0.575
235,0.86
236,0.715
237,0.665
238,0.77
239,0.85
240,0.675
241,0.76
242,0.5
243,0.84
244,0.675
245,0.86
246,0.795
247,0.58
248,0.79
249,0.84
250,0.705
251,0.86
252,0.855
253,0.815
254,0.775
255,0.745
256,0.645
257,0.815
258,0.82
259,0.785
260,0.665
261,0.795
262,0.78
263,0.88
264,0.845
265,0.85
266,0.78
267,0.9
268,0.52
269,0.71
270,0.715
271,0.845
272,0.845
273,0.585
274,0.805
275,0.83
276,0.83
277,0.805
278,0.86
279,0.805
280,0.875
281,0.82
282,0.83
283,0.835
284,0.75
285,0.84
286,0.87
287,0.865
288,0.425
289,0.675
290,0.67
291,0.845
292,0.82
293,0.44
294,0.8
295,0.795
296,0.89
297,0.855
298,0.805
