chunk,accuracy
0,0.0
1,0.63
2,0.785
3,0.705
4,0.76
5,0.675
6,0.74
7,0.515
8,0.59
9,0.78
10,0.63
11,0.63
12,0.69
13,0.855
14,0.835
15,0.785
16,0.735
17,0.7
18,0.81
19,0.815
20,0.785
21,0.835
22,0.795
23,0.825
24,0.865
25,0.845
26,0.84
27,0.845
28,0.745
29,0.805
30,0.835
31,0.805
32,0.845
33,0.84
34,0.825
35,0.82
36,0.845
37,0.755
38,0.79
39,0.815
40,0.855
41,0.8
42,0.825
43,0.82
44,0.83
45,0.74
46,0.825
47,0.8
48,0.84
49,0.875
50,0.83
51,0.83
52,0.82
53,0.82
54,0.83
55,0.765
56,0.875
57,0.815
58,0.875
59,0.825
60,0.82
61,0.85
62,0.83
63,0.815
64,0.855
65,0.83
66,0.84
67,0.84
68,0.825
69,0.86
70,0.85
71,0.79
72,0.83
73,0.845
74,0.865
75,0.825
76,0.87
77,0.81
78,0.83
79,0.83
80,0.845
81,0.84
82,0.83
83,0.815
84,0.845
85,0.85
86,0.84
87,0.835
88,0.815
89,0.84
90,0.79
91,0.825
92,0.81
93,0.83
94,0.835
95,0.835
96,0.79
97,0.81
98,0.765
99,0.81
100,0.82
101,0.845
102,0.8
103,0.89
104,0.835
105,0.795
106,0.835
107,0.84
108,0.85
109,0.855
110,0.835
111,0.805
112,0.815
113,0.805
114,0.845
115,0.84
116,0.865
117,0.79
118,0.84
119,0.785
120,0.825
121,0.795
122,0.81
123,0.815
124,0.855
125,0.835
126,0.825
127,0.82
128,0.865
129,0.78
130,0.78
131,0.835
132,0.795
133,0.795
134,0.82
135,0.805
136,0.835
137,0.825
138,0.87
139,0.785
140,0.81
141,0.87
142,0.825
143,0.795
144,0.825
145,0.805
146,0.805
147,0.84
148,0.795
149,0.795
150,0.43
151,0.415
152,0.405
153,0.43
154,0.475
155,0.505
156,0.51
157,0.56
158,0.575
159,0.64
160,0.685
161,0.67
162,0.7
163,0.72
164,0.735
165,0.795
166,0.71
167,0.81
168,0.795
169,0.775
170,0.755
171,0.825
172,0.835
173,0.83
174,0.79
175,0.82
176,0.745
177,0.795
178,0.75
179,0.79
180,0.775
181,0.775
182,0.81
183,0.735
184,0.775
185,0.78
186,0.79
187,0.77
188,0.87
189,0.82
190,0.81
191,0.76
192,0.82
193,0.805
194,0.8
195,0.8
196,0.79
197,0.805
198,0.735
199,0.76
200,0.785
201,0.83
202,0.81
203,0.875
204,0.8
205,0.79
206,0.785
207,0.77
208,0.82
209,0.8
210,0.845
211,0.78
212,0.81
213,0.79
214,0.805
215,0.815
216,0.83
217,0.805
218,0.835
219,0.81
220,0.805
221,0.83
222,0.8
223,0.765
224,0.775
225,0.81
226,0.815
227,0.775
228,0.815
229,0.84
230,0.8
231,0.8
232,0.835
233,0.8
234,0.77
235,0.845
236,0.78
237,0.805
238,0.81
239,0.78
240,0.835
241,0.815
242,0.805
243,0.78
244,0.835
245,0.83
246,0.75
247,0.85
248,0.79
249,0.815
250,0.83
251,0.79
252,0.845
253,0.815
254,0.84
255,0.82
256,0.795
257,0.825
258,0.83
259,0.855
260,0.81
261,0.825
262,0.82
263,0.87
264,0.78
265,0.785
266,0.765
267,0.815
268,0.81
269,0.84
270,0.8
271,0.84
272,0.84
273,0.8
274,0.82
275,0.795
276,0.8
277,0.79
278,0.83
279,0.805
280,0.805
281,0.795
282,0.81
283,0.815
284,0.84
285,0.815
286,0.84
287,0.835
288,0.855
289,0.83
290,0.82
291,0.81
292,0.81
293,0.845
294,0.795
295,0.805
296,0.81
297,0.81
298,0.855
