chunk,accuracy
0,0.0
1,0.595
2,0.435
3,0.765
4,0.73
5,0.585
6,0.835
7,0.74
8,0.74
9,0.76
10,0.745
11,0.82
12,0.745
13,0.71
14,0.575
15,0.74
16,0.805
17,0.835
18,0.795
19,0.81
20,0.83
21,0.795
22,0.815
23,0.76
24,0.845
25,0.825
26,0.835
27,0.775
28,0.76
29,0.77
30,0.86
31,0.83
32,0.825
33,0.79
34,0.82
35,0.88
36,0.84
37,0.845
38,0.765
39,0.81
40,0.81
41,0.885
42,0.84
43,0.785
44,0.84
45,0.83
46,0.85
47,0.775
48,0.795
49,0.87
50,0.835
51,0.835
52,0.825
53,0.825
54,0.825
55,0.84
56,0.815
57,0.82
58,0.815
59,0.805
60,0.835
61,0.79
62,0.82
63,0.785
64,0.84
65,0.81
66,0.8
67,0.795
68,0.78
69,0.85
70,0.81
71,0.845
72,0.87
73,0.81
74,0.865
75,0.815
76,0.865
77,0.835
78,0.865
79,0.8
80,0.835
81,0.88
82,0.79
83,0.865
84,0.87
85,0.835
86,0.835
87,0.795
88,0.815
89,0.865
90,0.87
91,0.85
92,0.76
93,0.785
94,0.835
95,0.865
96,0.81
97,0.82
98,0.815
99,0.86
100,0.855
101,0.82
102,0.84
103,0.8
104,0.795
105,0.845
106,0.81
107,0.795
108,0.815
109,0.795
110,0.86
111,0.8
112,0.845
113,0.8
114,0.835
115,0.85
116,0.815
117,0.835
118,0.83
119,0.82
120,0.815
121,0.84
122,0.825
123,0.835
124,0.735
125,0.815
126,0.805
127,0.85
128,0.82
129,0.855
130,0.83
131,0.84
132,0.83
133,0.805
134,0.815
135,0.825
136,0.83
137,0.795
138,0.825
139,0.8
140,0.845
141,0.82
142,0.84
143,0.775
144,0.795
145,0.785
146,0.81
147,0.81
148,0.84
149,0.82
150,0.375
151,0.375
152,0.415
153,0.485
154,0.46
155,0.425
156,0.495
157,0.61
158,0.535
159,0.61
160,0.725
161,0.765
162,0.695
163,0.72
164,0.68
165,0.815
166,0.77
167,0.805
168,0.85
169,0.835
170,0.805
171,0.805
172,0.825
173,0.825
174,0.775
175,0.82
176,0.83
177,0.845
178,0.8
179,0.8
180,0.79
181,0.82
182,0.745
183,0.835
184,0.82
185,0.86
186,0.795
187,0.755
188,0.835
189,0.81
190,0.82
191,0.785
192,0.77
193,0.8
194,0.86
195,0.765
196,0.805
197,0.785
198,0.84
199,0.81
200,0.85
201,0.79
202,0.785
203,0.83
204,0.815
205,0.815
206,0.775
207,0.83
208,0.795
209,0.785
210,0.79
211,0.8
212,0.815
213,0.8
214,0.83
215,0.75
216,0.805
217,0.82
218,0.8
219,0.83
220,0.8
221,0.815
222,0.82
223,0.795
224,0.86
225,0.805
226,0.78
227,0.795
228,0.77
229,0.81
230,0.785
231,0.81
232,0.825
233,0.785
234,0.82
235,0.85
236,0.77
237,0.79
238,0.795
239,0.815
240,0.81
241,0.805
242,0.83
243,0.795
244,0.805
245,0.865
246,0.86
247,0.795
248,0.82
249,0.825
250,0.77
251,0.75
252,0.81
253,0.84
254,0.78
255,0.8
256,0.8
257,0.8
258,0.84
259,0.815
260,0.81
261,0.8
262,0.835
263,0.775
264,0.785
265,0.805
266,0.87
267,0.79
268,0.84
269,0.81
270,0.855
271,0.83
272,0.83
273,0.775
274,0.77
275,0.81
276,0.785
277,0.825
278,0.81
279,0.79
280,0.785
281,0.82
282,0.815
283,0.82
284,0.755
285,0.835
286,0.815
287,0.87
288,0.825
289,0.845
290,0.8
291,0.865
292,0.795
293,0.81
294,0.8
295,0.8
296,0.8
297,0.805
298,0.825
