chunk,accuracy
0,0.0
1,0.825
2,0.85
3,0.765
4,0.795
5,0.845
6,0.76
7,0.465
8,0.78
9,0.825
10,0.785
11,0.835
12,0.77
13,0.78
14,0.815
15,0.72
16,0.815
17,0.83
18,0.88
19,0.63
20,0.805
21,0.825
22,0.83
23,0.84
24,0.815
25,0.81
26,0.85
27,0.855
28,0.82
29,0.795
30,0.81
31,0.835
32,0.845
33,0.845
34,0.775
35,0.75
36,0.815
37,0.86
38,0.78
39,0.785
40,0.79
41,0.79
42,0.81
43,0.785
44,0.85
45,0.84
46,0.795
47,0.795
48,0.81
49,0.82
50,0.82
51,0.805
52,0.765
53,0.84
54,0.795
55,0.845
56,0.83
57,0.8
58,0.76
59,0.765
60,0.785
61,0.81
62,0.795
63,0.84
64,0.825
65,0.805
66,0.84
67,0.835
68,0.815
69,0.805
70,0.825
71,0.8
72,0.805
73,0.815
74,0.79
75,0.82
76,0.79
77,0.795
78,0.83
79,0.83
80,0.855
81,0.73
82,0.77
83,0.775
84,0.845
85,0.77
86,0.835
87,0.81
88,0.83
89,0.78
90,0.825
91,0.84
92,0.84
93,0.815
94,0.8
95,0.87
96,0.775
97,0.79
98,0.775
99,0.825
100,0.785
101,0.75
102,0.8
103,0.825
104,0.83
105,0.785
106,0.81
107,0.79
108,0.77
109,0.84
110,0.815
111,0.81
112,0.78
113,0.84
114,0.775
115,0.835
116,0.77
117,0.79
118,0.84
119,0.795
120,0.78
121,0.855
122,0.825
123,0.79
124,0.795
125,0.85
126,0.81
127,0.805
128,0.82
129,0.815
130,0.815
131,0.79
132,0.845
133,0.74
134,0.8
135,0.82
136,0.8
137,0.82
138,0.775
139,0.825
140,0.825
141,0.765
142,0.77
143,0.855
144,0.835
145,0.805
146,0.785
147,0.83
148,0.815
149,0.795
150,0.725
151,0.79
152,0.8
153,0.815
154,0.785
155,0.74
156,0.79
157,0.81
158,0.805
159,0.8
160,0.795
161,0.745
162,0.82
163,0.775
164,0.82
165,0.84
166,0.845
167,0.83
168,0.815
169,0.845
170,0.73
171,0.815
172,0.805
173,0.81
174,0.775
175,0.8
176,0.825
177,0.825
178,0.835
179,0.85
180,0.83
181,0.79
182,0.8
183,0.785
184,0.805
185,0.795
186,0.83
187,0.82
188,0.815
189,0.81
190,0.795
191,0.81
192,0.815
193,0.785
194,0.845
195,0.82
196,0.785
197,0.805
198,0.75
199,0.82
200,0.825
201,0.765
202,0.79
203,0.77
204,0.825
205,0.765
206,0.765
207,0.84
208,0.79
209,0.75
210,0.825
211,0.79
212,0.79
213,0.825
214,0.8
215,0.77
216,0.81
217,0.79
218,0.815
219,0.78
220,0.755
221,0.79
222,0.84
223,0.79
224,0.83
225,0.855
226,0.885
227,0.84
228,0.84
229,0.79
230,0.85
231,0.815
232,0.8
233,0.84
234,0.845
235,0.785
236,0.755
237,0.83
238,0.81
239,0.865
240,0.79
241,0.805
242,0.825
243,0.775
244,0.81
245,0.795
246,0.82
247,0.795
248,0.81
249,0.82
250,0.815
251,0.82
252,0.79
253,0.785
254,0.805
255,0.825
256,0.84
257,0.84
258,0.805
259,0.79
260,0.79
261,0.83
262,0.765
263,0.825
264,0.865
265,0.825
266,0.84
267,0.83
268,0.785
269,0.81
270,0.77
271,0.815
272,0.795
273,0.82
274,0.81
275,0.78
276,0.82
277,0.78
278,0.765
279,0.765
280,0.755
281,0.82
282,0.8
283,0.8
284,0.79
285,0.815
286,0.815
287,0.835
288,0.775
289,0.8
290,0.795
291,0.765
292,0.815
293,0.785
294,0.76
295,0.795
296,0.78
297,0.78
298,0.825
