chunk,accuracy
0,0.0
1,0.815
2,0.79
3,0.76
4,0.29
5,0.81
6,0.84
7,0.79
8,0.805
9,0.745
10,0.85
11,0.825
12,0.78
13,0.775
14,0.715
15,0.84
16,0.88
17,0.81
18,0.78
19,0.775
20,0.7
21,0.84
22,0.81
23,0.865
24,0.81
25,0.835
26,0.85
27,0.86
28,0.81
29,0.815
30,0.82
31,0.795
32,0.765
33,0.8
34,0.81
35,0.825
36,0.8
37,0.815
38,0.795
39,0.815
40,0.8
41,0.805
42,0.855
43,0.825
44,0.84
45,0.84
46,0.825
47,0.805
48,0.865
49,0.875
50,0.81
51,0.795
52,0.825
53,0.785
54,0.815
55,0.82
56,0.825
57,0.785
58,0.83
59,0.83
60,0.78
61,0.79
62,0.83
63,0.785
64,0.82
65,0.82
66,0.755
67,0.84
68,0.795
69,0.81
70,0.79
71,0.785
72,0.845
73,0.78
74,0.825
75,0.815
76,0.815
77,0.765
78,0.835
79,0.85
80,0.775
81,0.825
82,0.81
83,0.75
84,0.825
85,0.785
86,0.81
87,0.83
88,0.79
89,0.83
90,0.805
91,0.755
92,0.845
93,0.78
94,0.84
95,0.83
96,0.825
97,0.9
98,0.815
99,0.8
100,0.805
101,0.84
102,0.8
103,0.81
104,0.84
105,0.83
106,0.83
107,0.815
108,0.83
109,0.85
110,0.78
111,0.86
112,0.805
113,0.81
114,0.84
115,0.805
116,0.845
117,0.85
118,0.825
119,0.845
120,0.83
121,0.79
122,0.815
123,0.83
124,0.865
125,0.785
126,0.83
127,0.835
128,0.81
129,0.845
130,0.845
131,0.85
132,0.845
133,0.805
134,0.825
135,0.8
136,0.855
137,0.765
138,0.8
139,0.79
140,0.785
141,0.82
142,0.825
143,0.84
144,0.785
145,0.8
146,0.8
147,0.81
148,0.825
149,0.84
150,0.37
151,0.32
152,0.41
153,0.46
154,0.52
155,0.5
156,0.435
157,0.53
158,0.51
159,0.595
160,0.62
161,0.58
162,0.635
163,0.725
164,0.77
165,0.765
166,0.8
167,0.79
168,0.785
169,0.855
170,0.78
171,0.865
172,0.795
173,0.81
174,0.8
175,0.87
176,0.845
177,0.82
178,0.815
179,0.79
180,0.83
181,0.775
182,0.835
183,0.865
184,0.835
185,0.81
186,0.795
187,0.845
188,0.795
189,0.805
190,0.85
191,0.85
192,0.83
193,0.83
194,0.775
195,0.78
196,0.805
197,0.805
198,0.835
199,0.84
200,0.875
201,0.83
202,0.805
203,0.835
204,0.82
205,0.825
206,0.835
207,0.81
208,0.79
209,0.79
210,0.85
211,0.755
212,0.88
213,0.84
214,0.84
215,0.87
216,0.82
217,0.815
218,0.865
219,0.79
220,0.835
221,0.83
222,0.855
223,0.81
224,0.81
225,0.835
226,0.805
227,0.825
228,0.87
229,0.86
230,0.83
231,0.81
232,0.78
233,0.76
234,0.8
235,0.8
236,0.875
237,0.845
238,0.76
239,0.825
240,0.85
241,0.865
242,0.885
243,0.785
244,0.82
245,0.815
246,0.795
247,0.855
248,0.8
249,0.86
250,0.815
251,0.84
252,0.795
253,0.84
254,0.765
255,0.795
256,0.845
257,0.835
258,0.88
259,0.83
260,0.785
261,0.72
262,0.825
263,0.82
264,0.8
265,0.855
266,0.865
267,0.815
268,0.85
269,0.875
270,0.825
271,0.82
272,0.82
273,0.845
274,0.805
275,0.785
276,0.855
277,0.78
278,0.845
279,0.785
280,0.825
281,0.825
282,0.805
283,0.805
284,0.82
285,0.875
286,0.83
287,0.775
288,0.91
289,0.85
290,0.82
291,0.78
292,0.815
293,0.86
294,0.825
295,0.78
296,0.85
297,0.83
298,0.805
