chunk,accuracy
0,0.0
1,0.84
2,0.83
3,0.83
4,0.775
5,0.805
6,0.795
7,0.56
8,0.79
9,0.77
10,0.495
11,0.745
12,0.815
13,0.76
14,0.625
15,0.85
16,0.79
17,0.485
18,0.8
19,0.815
20,0.815
21,0.85
22,0.77
23,0.785
24,0.82
25,0.79
26,0.77
27,0.815
28,0.775
29,0.815
30,0.365
31,0.82
32,0.405
33,0.855
34,0.795
35,0.765
36,0.84
37,0.865
38,0.485
39,0.815
40,0.815
41,0.745
42,0.795
43,0.8
44,0.81
45,0.72
46,0.735
47,0.8
48,0.815
49,0.79
50,0.765
51,0.82
52,0.845
53,0.795
54,0.81
55,0.815
56,0.725
57,0.825
58,0.815
59,0.815
60,0.82
61,0.815
62,0.76
63,0.795
64,0.57
65,0.825
66,0.755
67,0.835
68,0.82
69,0.845
70,0.75
71,0.815
72,0.82
73,0.755
74,0.82
75,0.79
76,0.86
77,0.85
78,0.815
79,0.67
80,0.87
81,0.835
82,0.81
83,0.8
84,0.78
85,0.84
86,0.77
87,0.835
88,0.69
89,0.86
90,0.815
91,0.865
92,0.8
93,0.86
94,0.825
95,0.84
96,0.85
97,0.61
98,0.825
99,0.815
100,0.775
101,0.77
102,0.755
103,0.83
104,0.825
105,0.76
106,0.81
107,0.905
108,0.825
109,0.815
110,0.84
111,0.815
112,0.875
113,0.79
114,0.845
115,0.845
116,0.815
117,0.78
118,0.795
119,0.84
120,0.87
121,0.81
122,0.825
123,0.835
124,0.81
125,0.71
126,0.69
127,0.84
128,0.805
129,0.78
130,0.76
131,0.835
132,0.775
133,0.86
134,0.795
135,0.765
136,0.83
137,0.845
138,0.825
139,0.27
140,0.825
141,0.785
142,0.765
143,0.79
144,0.815
145,0.835
146,0.785
147,0.685
148,0.81
149,0.815
150,0.415
151,0.63
152,0.725
153,0.495
154,0.625
155,0.635
156,0.735
157,0.65
158,0.64
159,0.675
160,0.715
161,0.67
162,0.59
163,0.5
164,0.69
165,0.705
166,0.58
167,0.79
168,0.74
169,0.795
170,0.755
171,0.535
172,0.675
173,0.53
174,0.78
175,0.765
176,0.645
177,0.8
178,0.685
179,0.78
180,0.8
181,0.73
182,0.735
183,0.78
184,0.745
185,0.78
186,0.835
187,0.77
188,0.725
189,0.76
190,0.835
191,0.76
192,0.74
193,0.755
194,0.7
195,0.7
196,0.685
197,0.585
198,0.78
199,0.65
200,0.83
201,0.665
202,0.8
203,0.505
204,0.71
205,0.715
206,0.78
207,0.715
208,0.515
209,0.835
210,0.74
211,0.8
212,0.85
213,0.695
214,0.84
215,0.79
216,0.84
217,0.795
218,0.825
219,0.705
220,0.755
221,0.83
222,0.415
223,0.77
224,0.775
225,0.65
226,0.62
227,0.82
228,0.83
229,0.805
230,0.49
231,0.865
232,0.865
233,0.83
234,0.805
235,0.875
236,0.79
237,0.81
238,0.825
239,0.78
240,0.705
241,0.87
242,0.845
243,0.735
244,0.745
245,0.83
246,0.85
247,0.83
248,0.835
249,0.87
250,0.8
251,0.895
252,0.88
253,0.835
254,0.72
255,0.815
256,0.625
257,0.69
258,0.565
259,0.79
260,0.705
261,0.83
262,0.83
263,0.895
264,0.825
265,0.87
266,0.825
267,0.705
268,0.84
269,0.835
270,0.61
271,0.56
272,0.73
273,0.84
274,0.87
275,0.725
276,0.72
277,0.795
278,0.825
279,0.725
280,0.795
281,0.885
282,0.855
283,0.565
284,0.815
285,0.825
286,0.815
287,0.875
288,0.87
289,0.755
290,0.825
291,0.825
292,0.755
293,0.75
294,0.82
295,0.805
296,0.83
297,0.775
298,0.765
