chunk,accuracy
0,0.0
1,0.595
2,0.56
3,0.64
4,0.69
5,0.59
6,0.62
7,0.81
8,0.84
9,0.735
10,0.715
11,0.7
12,0.795
13,0.825
14,0.74
15,0.355
16,0.815
17,0.46
18,0.755
19,0.85
20,0.855
21,0.65
22,0.66
23,0.735
24,0.72
25,0.76
26,0.76
27,0.74
28,0.755
29,0.79
30,0.83
31,0.83
32,0.795
33,0.725
34,0.795
35,0.875
36,0.84
37,0.785
38,0.79
39,0.76
40,0.595
41,0.86
42,0.775
43,0.805
44,0.875
45,0.575
46,0.84
47,0.715
48,0.75
49,0.795
50,0.805
51,0.685
52,0.82
53,0.79
54,0.83
55,0.855
56,0.785
57,0.755
58,0.82
59,0.47
60,0.735
61,0.81
62,0.805
63,0.73
64,0.89
65,0.865
66,0.835
67,0.6
68,0.81
69,0.77
70,0.835
71,0.86
72,0.835
73,0.865
74,0.65
75,0.725
76,0.695
77,0.875
78,0.915
79,0.695
80,0.84
81,0.86
82,0.775
83,0.805
84,0.8
85,0.785
86,0.855
87,0.615
88,0.83
89,0.58
90,0.865
91,0.67
92,0.61
93,0.85
94,0.79
95,0.86
96,0.66
97,0.875
98,0.825
99,0.885
100,0.85
101,0.825
102,0.875
103,0.87
104,0.79
105,0.87
106,0.805
107,0.635
108,0.82
109,0.785
110,0.78
111,0.845
112,0.885
113,0.84
114,0.875
115,0.805
116,0.68
117,0.81
118,0.755
119,0.725
120,0.88
121,0.855
122,0.82
123,0.875
124,0.81
125,0.82
126,0.845
127,0.88
128,0.87
129,0.825
130,0.93
131,0.805
132,0.825
133,0.85
134,0.87
135,0.74
136,0.805
137,0.79
138,0.675
139,0.85
140,0.735
141,0.86
142,0.785
143,0.845
144,0.845
145,0.9
146,0.865
147,0.855
148,0.89
149,0.85
150,0.395
151,0.825
152,0.8
153,0.795
154,0.79
155,0.785
156,0.79
157,0.79
158,0.665
159,0.865
160,0.765
161,0.795
162,0.795
163,0.825
164,0.81
165,0.795
166,0.775
167,0.79
168,0.78
169,0.855
170,0.74
171,0.79
172,0.775
173,0.675
174,0.775
175,0.82
176,0.78
177,0.735
178,0.735
179,0.825
180,0.78
181,0.805
182,0.745
183,0.72
184,0.775
185,0.745
186,0.82
187,0.805
188,0.8
189,0.775
190,0.82
191,0.795
192,0.81
193,0.805
194,0.82
195,0.785
196,0.78
197,0.625
198,0.82
199,0.76
200,0.82
201,0.78
202,0.845
203,0.82
204,0.825
205,0.805
206,0.64
207,0.815
208,0.795
209,0.755
210,0.8
211,0.765
212,0.785
213,0.835
214,0.85
215,0.81
216,0.8
217,0.81
218,0.805
219,0.795
220,0.72
221,0.8
222,0.825
223,0.83
224,0.795
225,0.755
226,0.81
227,0.815
228,0.77
229,0.815
230,0.715
231,0.785
232,0.8
233,0.845
234,0.775
235,0.53
236,0.84
237,0.82
238,0.765
239,0.415
240,0.83
241,0.79
242,0.79
243,0.805
244,0.785
245,0.75
246,0.805
247,0.815
248,0.76
249,0.845
250,0.79
251,0.78
252,0.8
253,0.84
254,0.835
255,0.835
256,0.7
257,0.355
258,0.82
259,0.795
260,0.845
261,0.79
262,0.765
263,0.825
264,0.805
265,0.855
266,0.81
267,0.71
268,0.78
269,0.795
270,0.79
271,0.75
272,0.81
273,0.795
274,0.84
275,0.845
276,0.79
277,0.63
278,0.82
279,0.825
280,0.825
281,0.82
282,0.795
283,0.855
284,0.64
285,0.85
286,0.81
287,0.765
288,0.75
289,0.8
290,0.825
291,0.82
292,0.81
293,0.855
294,0.805
295,0.82
296,0.825
297,0.615
298,0.73
