chunk,accuracy
0,0.0
1,0.585
2,0.55
3,0.64
4,0.775
5,0.42
6,0.595
7,0.405
8,0.665
9,0.665
10,0.735
11,0.805
12,0.715
13,0.79
14,0.84
15,0.78
16,0.815
17,0.735
18,0.8
19,0.72
20,0.815
21,0.71
22,0.695
23,0.77
24,0.675
25,0.8
26,0.64
27,0.645
28,0.79
29,0.86
30,0.68
31,0.835
32,0.84
33,0.87
34,0.57
35,0.84
36,0.81
37,0.835
38,0.8
39,0.82
40,0.7
41,0.745
42,0.83
43,0.825
44,0.81
45,0.86
46,0.81
47,0.595
48,0.785
49,0.895
50,0.535
51,0.715
52,0.86
53,0.745
54,0.815
55,0.805
56,0.785
57,0.815
58,0.85
59,0.755
60,0.765
61,0.78
62,0.86
63,0.64
64,0.81
65,0.7
66,0.83
67,0.845
68,0.89
69,0.86
70,0.855
71,0.68
72,0.685
73,0.8
74,0.855
75,0.485
76,0.86
77,0.91
78,0.825
79,0.79
80,0.835
81,0.87
82,0.7
83,0.835
84,0.765
85,0.78
86,0.83
87,0.82
88,0.8
89,0.85
90,0.87
91,0.82
92,0.87
93,0.855
94,0.725
95,0.76
96,0.495
97,0.84
98,0.855
99,0.85
100,0.835
101,0.725
102,0.92
103,0.65
104,0.895
105,0.85
106,0.765
107,0.84
108,0.835
109,0.785
110,0.81
111,0.845
112,0.845
113,0.875
114,0.875
115,0.685
116,0.835
117,0.51
118,0.81
119,0.875
120,0.715
121,0.84
122,0.79
123,0.825
124,0.855
125,0.825
126,0.87
127,0.75
128,0.885
129,0.865
130,0.865
131,0.71
132,0.87
133,0.78
134,0.895
135,0.86
136,0.855
137,0.84
138,0.88
139,0.85
140,0.81
141,0.88
142,0.845
143,0.79
144,0.72
145,0.78
146,0.82
147,0.875
148,0.835
149,0.845
150,0.4
151,0.77
152,0.805
153,0.825
154,0.765
155,0.815
156,0.74
157,0.72
158,0.77
159,0.83
160,0.805
161,0.835
162,0.79
163,0.31
164,0.535
165,0.815
166,0.795
167,0.73
168,0.35
169,0.815
170,0.855
171,0.845
172,0.725
173,0.79
174,0.775
175,0.81
176,0.83
177,0.87
178,0.83
179,0.82
180,0.885
181,0.825
182,0.81
183,0.835
184,0.795
185,0.835
186,0.77
187,0.755
188,0.85
189,0.85
190,0.84
191,0.825
192,0.805
193,0.78
194,0.82
195,0.815
196,0.85
197,0.82
198,0.795
199,0.785
200,0.805
201,0.865
202,0.785
203,0.365
204,0.79
205,0.83
206,0.78
207,0.825
208,0.83
209,0.75
210,0.85
211,0.825
212,0.83
213,0.76
214,0.85
215,0.78
216,0.835
217,0.865
218,0.77
219,0.465
220,0.815
221,0.71
222,0.85
223,0.82
224,0.77
225,0.85
226,0.785
227,0.84
228,0.8
229,0.69
230,0.84
231,0.725
232,0.81
233,0.845
234,0.825
235,0.835
236,0.49
237,0.885
238,0.835
239,0.8
240,0.855
241,0.875
242,0.805
243,0.8
244,0.82
245,0.85
246,0.8
247,0.785
248,0.775
249,0.795
250,0.66
251,0.58
252,0.775
253,0.815
254,0.82
255,0.85
256,0.83
257,0.835
258,0.815
259,0.845
260,0.77
261,0.83
262,0.81
263,0.74
264,0.72
265,0.81
266,0.785
267,0.815
268,0.81
269,0.845
270,0.815
271,0.825
272,0.855
273,0.805
274,0.785
275,0.58
276,0.81
277,0.81
278,0.83
279,0.83
280,0.795
281,0.815
282,0.855
283,0.74
284,0.805
285,0.79
286,0.755
287,0.84
288,0.7
289,0.755
290,0.805
291,0.735
292,0.815
293,0.855
294,0.865
295,0.82
296,0.875
297,0.8
298,0.395
