chunk,accuracy
0,0.0
1,0.785
2,0.805
3,0.82
4,0.81
5,0.795
6,0.765
7,0.74
8,0.83
9,0.845
10,0.825
11,0.79
12,0.835
13,0.78
14,0.83
15,0.795
16,0.785
17,0.825
18,0.785
19,0.73
20,0.775
21,0.25
22,0.755
23,0.815
24,0.805
25,0.84
26,0.81
27,0.82
28,0.83
29,0.765
30,0.8
31,0.765
32,0.825
33,0.765
34,0.78
35,0.815
36,0.785
37,0.675
38,0.81
39,0.815
40,0.74
41,0.79
42,0.76
43,0.805
44,0.84
45,0.765
46,0.75
47,0.83
48,0.82
49,0.775
50,0.82
51,0.78
52,0.745
53,0.815
54,0.77
55,0.755
56,0.59
57,0.815
58,0.79
59,0.79
60,0.795
61,0.835
62,0.86
63,0.845
64,0.705
65,0.8
66,0.765
67,0.51
68,0.76
69,0.825
70,0.805
71,0.805
72,0.79
73,0.76
74,0.795
75,0.825
76,0.795
77,0.805
78,0.83
79,0.81
80,0.77
81,0.825
82,0.84
83,0.805
84,0.775
85,0.865
86,0.83
87,0.74
88,0.77
89,0.81
90,0.365
91,0.84
92,0.775
93,0.79
94,0.795
95,0.82
96,0.73
97,0.23
98,0.78
99,0.785
100,0.815
101,0.805
102,0.835
103,0.78
104,0.785
105,0.75
106,0.79
107,0.79
108,0.335
109,0.82
110,0.765
111,0.8
112,0.755
113,0.56
114,0.715
115,0.775
116,0.78
117,0.77
118,0.845
119,0.795
120,0.73
121,0.78
122,0.785
123,0.715
124,0.79
125,0.82
126,0.765
127,0.78
128,0.815
129,0.795
130,0.805
131,0.82
132,0.8
133,0.83
134,0.815
135,0.78
136,0.81
137,0.865
138,0.87
139,0.805
140,0.82
141,0.79
142,0.845
143,0.8
144,0.81
145,0.86
146,0.76
147,0.82
148,0.77
149,0.805
150,0.775
151,0.58
152,0.835
153,0.715
154,0.855
155,0.78
156,0.81
157,0.77
158,0.76
159,0.77
160,0.8
161,0.79
162,0.795
163,0.805
164,0.635
165,0.83
166,0.79
167,0.82
168,0.84
169,0.82
170,0.79
171,0.79
172,0.79
173,0.82
174,0.785
175,0.795
176,0.805
177,0.82
178,0.8
179,0.775
180,0.335
181,0.67
182,0.765
183,0.835
184,0.81
185,0.85
186,0.78
187,0.75
188,0.855
189,0.81
190,0.795
191,0.795
192,0.805
193,0.8
194,0.84
195,0.795
196,0.835
197,0.77
198,0.83
199,0.82
200,0.825
201,0.765
202,0.74
203,0.815
204,0.77
205,0.82
206,0.76
207,0.815
208,0.755
209,0.64
210,0.815
211,0.805
212,0.81
213,0.765
214,0.815
215,0.785
216,0.805
217,0.81
218,0.585
219,0.815
220,0.775
221,0.825
222,0.755
223,0.81
224,0.76
225,0.795
226,0.815
227,0.495
228,0.785
229,0.73
230,0.81
231,0.815
232,0.545
233,0.795
234,0.83
235,0.83
236,0.765
237,0.755
238,0.83
239,0.815
240,0.8
241,0.805
242,0.845
243,0.8
244,0.825
245,0.855
246,0.83
247,0.765
248,0.825
249,0.675
250,0.795
251,0.73
252,0.795
253,0.82
254,0.8
255,0.815
256,0.81
257,0.795
258,0.82
259,0.79
260,0.81
261,0.8
262,0.835
263,0.78
264,0.77
265,0.375
266,0.89
267,0.805
268,0.86
269,0.8
270,0.86
271,0.82
272,0.745
273,0.81
274,0.805
275,0.79
276,0.79
277,0.79
278,0.82
279,0.78
280,0.745
281,0.795
282,0.805
283,0.81
284,0.815
285,0.86
286,0.805
287,0.855
288,0.82
289,0.845
290,0.805
291,0.87
292,0.82
293,0.795
294,0.33
295,0.735
296,0.82
297,0.795
298,0.82
