model,noise,seed,time,memory,recovery,det_max,det_avg
Sliding,animals,42,2.82225432547968,245218172.94983277,15,49.714427613608144,2.9245545587419195
Unlearning,animals,42,0.08170656007979327,198963158.4214047,4,73.20289238621864,-0.45275607409667495
Sliding,animals,65,2.8361895577857474,245950576.10702342,15,53.39299030574199,2.586136426954405
Unlearning,animals,65,0.08124320196722912,197215824.0,1,61.62865060754637,-0.40073881300620223
Sliding,animals,88,2.841187363974812,245950576.10702342,19,54.185240217929675,2.5117092320937817
Unlearning,animals,88,0.0813193483851277,197215824.0,2,60.08926272422968,-0.8093898671600728
Sliding,fly,42,2.8427383565985562,245950576.10702342,18,60.25832091405862,1.5251536155926055
Unlearning,fly,42,0.08165415914037753,197215824.0,25,51.061395703571876,5.036159029776063
Sliding,fly,65,2.8761506500423426,245950576.10702342,18,55.709889378690846,0.9448891861069346
Unlearning,fly,65,0.08188753043858951,197215824.0,36,46.69463949306388,3.9236285518229135
Sliding,fly,88,2.8367471511407216,245950576.10702342,20,56.91449504620764,0.9004050537566471
Unlearning,fly,88,0.08039599628402637,197215824.0,15,53.03049800540471,2.8352703520834326
