chunk,accuracy
0,0.0
1,0.845
2,0.83
3,0.84
4,0.79
5,0.8
6,0.785
7,0.815
8,0.765
9,0.79
10,0.78
11,0.765
12,0.225
13,0.59
14,0.8
15,0.84
16,0.81
17,0.56
18,0.82
19,0.855
20,0.79
21,0.85
22,0.805
23,0.795
24,0.83
25,0.81
26,0.765
27,0.8
28,0.805
29,0.75
30,0.81
31,0.835
32,0.815
33,0.845
34,0.805
35,0.835
36,0.865
37,0.83
38,0.835
39,0.83
40,0.86
41,0.795
42,0.79
43,0.82
44,0.825
45,0.795
46,0.755
47,0.825
48,0.81
49,0.805
50,0.815
51,0.815
52,0.865
53,0.82
54,0.8
55,0.82
56,0.79
57,0.875
58,0.8
59,0.84
60,0.83
61,0.805
62,0.79
63,0.78
64,0.775
65,0.84
66,0.77
67,0.845
68,0.805
69,0.76
70,0.785
71,0.82
72,0.81
73,0.845
74,0.855
75,0.845
76,0.85
77,0.775
78,0.8
79,0.83
80,0.835
81,0.805
82,0.8
83,0.795
84,0.77
85,0.855
86,0.735
87,0.84
88,0.825
89,0.82
90,0.805
91,0.845
92,0.835
93,0.85
94,0.81
95,0.815
96,0.825
97,0.845
98,0.82
99,0.845
100,0.825
101,0.81
102,0.81
103,0.81
104,0.815
105,0.815
106,0.82
107,0.865
108,0.835
109,0.81
110,0.835
111,0.815
112,0.84
113,0.785
114,0.87
115,0.835
116,0.83
117,0.79
118,0.815
119,0.835
120,0.84
121,0.82
122,0.835
123,0.815
124,0.815
125,0.785
126,0.81
127,0.815
128,0.81
129,0.77
130,0.81
131,0.8
132,0.755
133,0.825
134,0.82
135,0.825
136,0.8
137,0.84
138,0.825
139,0.82
140,0.845
141,0.805
142,0.77
143,0.79
144,0.815
145,0.83
146,0.765
147,0.76
148,0.815
149,0.815
150,0.41
151,0.43
152,0.355
153,0.44
154,0.475
155,0.44
156,0.485
157,0.565
158,0.5
159,0.55
160,0.63
161,0.69
162,0.7
163,0.67
164,0.75
165,0.745
166,0.725
167,0.79
168,0.785
169,0.76
170,0.85
171,0.825
172,0.835
173,0.825
174,0.835
175,0.835
176,0.865
177,0.87
178,0.825
179,0.8
180,0.855
181,0.8
182,0.825
183,0.77
184,0.78
185,0.81
186,0.81
187,0.855
188,0.795
189,0.75
190,0.83
191,0.84
192,0.74
193,0.825
194,0.8
195,0.835
196,0.785
197,0.85
198,0.8
199,0.785
200,0.84
201,0.825
202,0.82
203,0.85
204,0.84
205,0.805
206,0.845
207,0.835
208,0.855
209,0.815
210,0.82
211,0.875
212,0.795
213,0.88
214,0.855
215,0.8
216,0.865
217,0.785
218,0.855
219,0.825
220,0.85
221,0.785
222,0.83
223,0.835
224,0.835
225,0.85
226,0.81
227,0.86
228,0.81
229,0.825
230,0.815
231,0.81
232,0.785
233,0.855
234,0.85
235,0.835
236,0.795
237,0.815
238,0.8
239,0.85
240,0.84
241,0.88
242,0.82
243,0.83
244,0.8
245,0.82
246,0.82
247,0.79
248,0.805
249,0.815
250,0.84
251,0.83
252,0.85
253,0.77
254,0.795
255,0.82
256,0.805
257,0.75
258,0.85
259,0.8
260,0.87
261,0.83
262,0.79
263,0.835
264,0.855
265,0.825
266,0.825
267,0.79
268,0.835
269,0.8
270,0.86
271,0.805
272,0.835
273,0.805
274,0.845
275,0.835
276,0.825
277,0.845
278,0.845
279,0.79
280,0.845
281,0.865
282,0.815
283,0.84
284,0.805
285,0.855
286,0.835
287,0.86
288,0.835
289,0.795
290,0.84
291,0.835
292,0.785
293,0.84
294,0.8
295,0.85
296,0.85
297,0.84
298,0.85
