chunk,accuracy
0,0.0
1,0.8
2,0.785
3,0.79
4,0.765
5,0.74
6,0.8
7,0.855
8,0.785
9,0.765
10,0.48
11,0.805
12,0.825
13,0.785
14,0.805
15,0.755
16,0.685
17,0.74
18,0.805
19,0.785
20,0.845
21,0.825
22,0.815
23,0.805
24,0.775
25,0.83
26,0.83
27,0.77
28,0.825
29,0.75
30,0.845
31,0.805
32,0.815
33,0.83
34,0.815
35,0.835
36,0.82
37,0.78
38,0.8
39,0.81
40,0.85
41,0.845
42,0.745
43,0.805
44,0.81
45,0.825
46,0.81
47,0.82
48,0.77
49,0.81
50,0.815
51,0.805
52,0.785
53,0.82
54,0.82
55,0.805
56,0.77
57,0.78
58,0.82
59,0.805
60,0.775
61,0.83
62,0.77
63,0.85
64,0.82
65,0.83
66,0.815
67,0.825
68,0.755
69,0.78
70,0.765
71,0.84
72,0.725
73,0.8
74,0.77
75,0.805
76,0.79
77,0.83
78,0.76
79,0.795
80,0.8
81,0.745
82,0.78
83,0.86
84,0.8
85,0.77
86,0.79
87,0.825
88,0.815
89,0.765
90,0.755
91,0.825
92,0.785
93,0.775
94,0.79
95,0.805
96,0.79
97,0.81
98,0.79
99,0.79
100,0.805
101,0.795
102,0.815
103,0.835
104,0.87
105,0.805
106,0.82
107,0.82
108,0.76
109,0.785
110,0.775
111,0.82
112,0.805
113,0.82
114,0.755
115,0.795
116,0.745
117,0.795
118,0.815
119,0.78
120,0.815
121,0.845
122,0.795
123,0.805
124,0.77
125,0.82
126,0.805
127,0.79
128,0.79
129,0.835
130,0.8
131,0.815
132,0.81
133,0.835
134,0.805
135,0.8
136,0.785
137,0.83
138,0.765
139,0.8
140,0.82
141,0.785
142,0.835
143,0.79
144,0.81
145,0.76
146,0.785
147,0.845
148,0.82
149,0.795
150,0.375
151,0.32
152,0.44
153,0.46
154,0.46
155,0.485
156,0.43
157,0.485
158,0.585
159,0.645
160,0.62
161,0.685
162,0.705
163,0.725
164,0.785
165,0.75
166,0.785
167,0.835
168,0.755
169,0.815
170,0.78
171,0.855
172,0.845
173,0.785
174,0.865
175,0.86
176,0.845
177,0.835
178,0.795
179,0.875
180,0.895
181,0.835
182,0.85
183,0.86
184,0.825
185,0.83
186,0.785
187,0.81
188,0.83
189,0.79
190,0.845
191,0.81
192,0.805
193,0.86
194,0.77
195,0.795
196,0.81
197,0.87
198,0.795
199,0.875
200,0.865
201,0.79
202,0.78
203,0.825
204,0.84
205,0.81
206,0.795
207,0.845
208,0.74
209,0.835
210,0.865
211,0.795
212,0.87
213,0.83
214,0.785
215,0.86
216,0.805
217,0.84
218,0.86
219,0.82
220,0.855
221,0.83
222,0.825
223,0.78
224,0.8
225,0.84
226,0.8
227,0.825
228,0.86
229,0.825
230,0.825
231,0.8
232,0.82
233,0.845
234,0.835
235,0.83
236,0.825
237,0.86
238,0.79
239,0.88
240,0.855
241,0.905
242,0.835
243,0.79
244,0.755
245,0.795
246,0.855
247,0.805
248,0.84
249,0.82
250,0.795
251,0.84
252,0.825
253,0.845
254,0.78
255,0.775
256,0.845
257,0.83
258,0.86
259,0.815
260,0.815
261,0.835
262,0.8
263,0.84
264,0.8
265,0.86
266,0.835
267,0.845
268,0.77
269,0.82
270,0.875
271,0.845
272,0.79
273,0.845
274,0.845
275,0.8
276,0.86
277,0.825
278,0.815
279,0.83
280,0.795
281,0.795
282,0.815
283,0.805
284,0.795
285,0.845
286,0.85
287,0.78
288,0.89
289,0.855
290,0.835
291,0.735
292,0.795
293,0.835
294,0.84
295,0.785
296,0.82
297,0.84
298,0.84
