chunk,accuracy
0,0.0
1,0.625
2,0.625
3,0.645
4,0.72
5,0.69
6,0.78
7,0.725
8,0.655
9,0.805
10,0.615
11,0.695
12,0.775
13,0.855
14,0.72
15,0.785
16,0.74
17,0.83
18,0.79
19,0.805
20,0.8
21,0.815
22,0.805
23,0.835
24,0.86
25,0.835
26,0.87
27,0.795
28,0.745
29,0.815
30,0.835
31,0.79
32,0.85
33,0.815
34,0.855
35,0.85
36,0.82
37,0.805
38,0.805
39,0.815
40,0.825
41,0.835
42,0.785
43,0.785
44,0.805
45,0.775
46,0.81
47,0.82
48,0.845
49,0.835
50,0.825
51,0.845
52,0.835
53,0.8
54,0.825
55,0.805
56,0.86
57,0.78
58,0.87
59,0.815
60,0.815
61,0.84
62,0.88
63,0.83
64,0.84
65,0.84
66,0.845
67,0.85
68,0.835
69,0.86
70,0.795
71,0.805
72,0.855
73,0.82
74,0.875
75,0.795
76,0.83
77,0.825
78,0.805
79,0.81
80,0.8
81,0.845
82,0.84
83,0.855
84,0.875
85,0.855
86,0.805
87,0.86
88,0.845
89,0.85
90,0.785
91,0.82
92,0.855
93,0.85
94,0.845
95,0.795
96,0.825
97,0.83
98,0.81
99,0.885
100,0.845
101,0.85
102,0.835
103,0.82
104,0.79
105,0.81
106,0.805
107,0.805
108,0.805
109,0.835
110,0.85
111,0.79
112,0.81
113,0.815
114,0.855
115,0.82
116,0.885
117,0.82
118,0.83
119,0.805
120,0.815
121,0.805
122,0.82
123,0.8
124,0.835
125,0.825
126,0.825
127,0.855
128,0.855
129,0.79
130,0.795
131,0.815
132,0.765
133,0.76
134,0.78
135,0.86
136,0.83
137,0.83
138,0.89
139,0.845
140,0.79
141,0.825
142,0.805
143,0.895
144,0.82
145,0.815
146,0.81
147,0.88
148,0.835
149,0.85
150,0.42
151,0.44
152,0.455
153,0.495
154,0.47
155,0.53
156,0.5
157,0.58
158,0.57
159,0.655
160,0.585
161,0.705
162,0.76
163,0.725
164,0.79
165,0.775
166,0.81
167,0.805
168,0.835
169,0.785
170,0.825
171,0.84
172,0.83
173,0.805
174,0.835
175,0.81
176,0.795
177,0.78
178,0.835
179,0.83
180,0.75
181,0.815
182,0.785
183,0.795
184,0.73
185,0.83
186,0.77
187,0.79
188,0.785
189,0.81
190,0.795
191,0.795
192,0.79
193,0.785
194,0.775
195,0.755
196,0.765
197,0.815
198,0.795
199,0.795
200,0.82
201,0.81
202,0.78
203,0.835
204,0.84
205,0.815
206,0.755
207,0.865
208,0.825
209,0.845
210,0.78
211,0.805
212,0.8
213,0.805
214,0.815
215,0.765
216,0.77
217,0.805
218,0.76
219,0.795
220,0.835
221,0.775
222,0.79
223,0.78
224,0.845
225,0.81
226,0.78
227,0.83
228,0.79
229,0.83
230,0.8
231,0.83
232,0.85
233,0.81
234,0.815
235,0.83
236,0.765
237,0.815
238,0.82
239,0.81
240,0.8
241,0.815
242,0.805
243,0.81
244,0.785
245,0.84
246,0.855
247,0.79
248,0.785
249,0.82
250,0.88
251,0.785
252,0.77
253,0.775
254,0.77
255,0.81
256,0.785
257,0.86
258,0.79
259,0.76
260,0.77
261,0.75
262,0.82
263,0.81
264,0.76
265,0.795
266,0.82
267,0.835
268,0.825
269,0.785
270,0.785
271,0.775
272,0.84
273,0.805
274,0.77
275,0.83
276,0.83
277,0.82
278,0.81
279,0.815
280,0.805
281,0.805
282,0.785
283,0.79
284,0.815
285,0.825
286,0.805
287,0.775
288,0.815
289,0.805
290,0.805
291,0.815
292,0.86
293,0.82
294,0.78
295,0.82
296,0.775
297,0.77
298,0.75
