chunk,accuracy
0,0.0
1,0.795
2,0.68
3,0.77
4,0.86
5,0.805
6,0.85
7,0.77
8,0.685
9,0.85
10,0.84
11,0.835
12,0.56
13,0.795
14,0.775
15,0.815
16,0.845
17,0.805
18,0.795
19,0.795
20,0.81
21,0.85
22,0.77
23,0.84
24,0.825
25,0.83
26,0.87
27,0.85
28,0.825
29,0.855
30,0.82
31,0.8
32,0.765
33,0.79
34,0.79
35,0.835
36,0.825
37,0.82
38,0.77
39,0.815
40,0.79
41,0.79
42,0.825
43,0.83
44,0.835
45,0.82
46,0.82
47,0.8
48,0.865
49,0.855
50,0.825
51,0.805
52,0.83
53,0.79
54,0.835
55,0.81
56,0.84
57,0.765
58,0.85
59,0.83
60,0.765
61,0.775
62,0.82
63,0.795
64,0.825
65,0.8
66,0.755
67,0.805
68,0.845
69,0.84
70,0.82
71,0.775
72,0.795
73,0.765
74,0.83
75,0.83
76,0.81
77,0.795
78,0.85
79,0.825
80,0.815
81,0.795
82,0.825
83,0.76
84,0.84
85,0.79
86,0.81
87,0.835
88,0.77
89,0.825
90,0.815
91,0.785
92,0.865
93,0.795
94,0.81
95,0.855
96,0.835
97,0.875
98,0.78
99,0.83
100,0.82
101,0.845
102,0.79
103,0.82
104,0.855
105,0.81
106,0.865
107,0.795
108,0.82
109,0.805
110,0.77
111,0.885
112,0.815
113,0.835
114,0.835
115,0.81
116,0.81
117,0.835
118,0.815
119,0.815
120,0.81
121,0.78
122,0.805
123,0.835
124,0.86
125,0.78
126,0.83
127,0.845
128,0.795
129,0.825
130,0.83
131,0.845
132,0.855
133,0.835
134,0.795
135,0.79
136,0.85
137,0.77
138,0.81
139,0.8
140,0.795
141,0.805
142,0.825
143,0.785
144,0.77
145,0.785
146,0.795
147,0.83
148,0.785
149,0.825
150,0.775
151,0.775
152,0.79
153,0.79
154,0.72
155,0.705
156,0.755
157,0.81
158,0.79
159,0.785
160,0.725
161,0.85
162,0.78
163,0.715
164,0.81
165,0.795
166,0.82
167,0.805
168,0.835
169,0.81
170,0.835
171,0.84
172,0.815
173,0.795
174,0.82
175,0.81
176,0.8
177,0.77
178,0.87
179,0.835
180,0.745
181,0.815
182,0.815
183,0.77
184,0.745
185,0.83
186,0.805
187,0.795
188,0.805
189,0.84
190,0.8
191,0.79
192,0.8
193,0.84
194,0.79
195,0.81
196,0.76
197,0.79
198,0.76
199,0.775
200,0.82
201,0.83
202,0.79
203,0.79
204,0.86
205,0.79
206,0.78
207,0.84
208,0.815
209,0.82
210,0.73
211,0.825
212,0.79
213,0.84
214,0.775
215,0.785
216,0.81
217,0.795
218,0.755
219,0.795
220,0.84
221,0.785
222,0.8
223,0.82
224,0.835
225,0.84
226,0.765
227,0.845
228,0.8
229,0.83
230,0.785
231,0.86
232,0.85
233,0.79
234,0.82
235,0.815
236,0.775
237,0.8
238,0.84
239,0.82
240,0.805
241,0.835
242,0.795
243,0.785
244,0.775
245,0.825
246,0.835
247,0.77
248,0.78
249,0.83
250,0.855
251,0.765
252,0.785
253,0.765
254,0.765
255,0.815
256,0.815
257,0.86
258,0.78
259,0.735
260,0.76
261,0.795
262,0.815
263,0.76
264,0.795
265,0.795
266,0.83
267,0.835
268,0.86
269,0.79
270,0.76
271,0.755
272,0.82
273,0.8
274,0.795
275,0.83
276,0.82
277,0.845
278,0.835
279,0.8
280,0.79
281,0.81
282,0.76
283,0.795
284,0.76
285,0.8
286,0.825
287,0.73
288,0.78
289,0.76
290,0.8
291,0.785
292,0.835
293,0.815
294,0.79
295,0.805
296,0.78
297,0.81
298,0.78
