chunk,accuracy
0,0.0
1,0.75
2,0.785
3,0.79
4,0.795
5,0.8
6,0.815
7,0.795
8,0.82
9,0.79
10,0.77
11,0.62
12,0.845
13,0.835
14,0.785
15,0.71
16,0.825
17,0.785
18,0.81
19,0.84
20,0.805
21,0.815
22,0.8
23,0.84
24,0.81
25,0.8
26,0.83
27,0.79
28,0.765
29,0.755
30,0.815
31,0.805
32,0.855
33,0.82
34,0.81
35,0.78
36,0.825
37,0.805
38,0.835
39,0.78
40,0.77
41,0.795
42,0.815
43,0.805
44,0.8
45,0.785
46,0.83
47,0.805
48,0.75
49,0.81
50,0.82
51,0.71
52,0.835
53,0.825
54,0.815
55,0.8
56,0.815
57,0.795
58,0.81
59,0.845
60,0.82
61,0.795
62,0.765
63,0.835
64,0.81
65,0.81
66,0.85
67,0.795
68,0.835
69,0.77
70,0.775
71,0.835
72,0.83
73,0.77
74,0.78
75,0.755
76,0.805
77,0.805
78,0.805
79,0.77
80,0.82
81,0.79
82,0.78
83,0.78
84,0.795
85,0.8
86,0.815
87,0.785
88,0.785
89,0.79
90,0.745
91,0.81
92,0.845
93,0.815
94,0.855
95,0.8
96,0.775
97,0.76
98,0.73
99,0.82
100,0.775
101,0.82
102,0.845
103,0.835
104,0.785
105,0.78
106,0.805
107,0.845
108,0.815
109,0.885
110,0.75
111,0.75
112,0.83
113,0.825
114,0.79
115,0.835
116,0.795
117,0.795
118,0.82
119,0.83
120,0.82
121,0.8
122,0.815
123,0.805
124,0.85
125,0.8
126,0.785
127,0.8
128,0.835
129,0.815
130,0.795
131,0.81
132,0.845
133,0.805
134,0.83
135,0.785
136,0.775
137,0.86
138,0.82
139,0.805
140,0.815
141,0.825
142,0.875
143,0.8
144,0.75
145,0.765
146,0.785
147,0.805
148,0.79
149,0.825
150,0.805
151,0.75
152,0.78
153,0.815
154,0.765
155,0.76
156,0.73
157,0.705
158,0.755
159,0.795
160,0.8
161,0.795
162,0.77
163,0.765
164,0.8
165,0.8
166,0.79
167,0.74
168,0.775
169,0.82
170,0.82
171,0.89
172,0.85
173,0.79
174,0.77
175,0.805
176,0.82
177,0.82
178,0.845
179,0.845
180,0.87
181,0.82
182,0.8
183,0.855
184,0.82
185,0.8
186,0.81
187,0.79
188,0.86
189,0.86
190,0.855
191,0.815
192,0.855
193,0.78
194,0.83
195,0.805
196,0.865
197,0.81
198,0.805
199,0.815
200,0.805
201,0.87
202,0.79
203,0.79
204,0.815
205,0.81
206,0.8
207,0.81
208,0.825
209,0.805
210,0.825
211,0.82
212,0.8
213,0.78
214,0.81
215,0.79
216,0.805
217,0.855
218,0.8
219,0.85
220,0.8
221,0.805
222,0.83
223,0.81
224,0.79
225,0.835
226,0.76
227,0.825
228,0.775
229,0.825
230,0.83
231,0.86
232,0.83
233,0.85
234,0.775
235,0.83
236,0.835
237,0.875
238,0.835
239,0.78
240,0.845
241,0.85
242,0.815
243,0.835
244,0.8
245,0.865
246,0.82
247,0.845
248,0.775
249,0.78
250,0.79
251,0.815
252,0.86
253,0.81
254,0.795
255,0.845
256,0.815
257,0.795
258,0.835
259,0.85
260,0.785
261,0.835
262,0.825
263,0.83
264,0.77
265,0.82
266,0.8
267,0.81
268,0.825
269,0.82
270,0.835
271,0.8
272,0.83
273,0.805
274,0.77
275,0.815
276,0.775
277,0.775
278,0.81
279,0.8
280,0.81
281,0.83
282,0.795
283,0.75
284,0.805
285,0.79
286,0.735
287,0.835
288,0.795
289,0.805
290,0.81
291,0.8
292,0.825
293,0.82
294,0.835
295,0.795
296,0.855
297,0.79
298,0.805
