chunk,accuracy
0,0.0
1,0.795
2,0.785
3,0.8
4,0.765
5,0.65
6,0.8
7,0.855
8,0.785
9,0.385
10,0.81
11,0.805
12,0.77
13,0.785
14,0.245
15,0.76
16,0.8
17,0.75
18,0.82
19,0.785
20,0.84
21,0.83
22,0.815
23,0.78
24,0.775
25,0.82
26,0.795
27,0.795
28,0.83
29,0.775
30,0.725
31,0.795
32,0.8
33,0.825
34,0.805
35,0.855
36,0.805
37,0.79
38,0.8
39,0.8
40,0.815
41,0.845
42,0.745
43,0.785
44,0.82
45,0.845
46,0.82
47,0.73
48,0.77
49,0.595
50,0.775
51,0.765
52,0.77
53,0.805
54,0.815
55,0.66
56,0.79
57,0.795
58,0.825
59,0.825
60,0.75
61,0.68
62,0.79
63,0.79
64,0.81
65,0.49
66,0.825
67,0.81
68,0.795
69,0.78
70,0.68
71,0.84
72,0.76
73,0.83
74,0.815
75,0.79
76,0.78
77,0.82
78,0.77
79,0.8
80,0.8
81,0.76
82,0.67
83,0.57
84,0.825
85,0.78
86,0.605
87,0.805
88,0.81
89,0.76
90,0.775
91,0.775
92,0.78
93,0.66
94,0.795
95,0.82
96,0.775
97,0.85
98,0.81
99,0.795
100,0.815
101,0.805
102,0.815
103,0.825
104,0.86
105,0.815
106,0.84
107,0.825
108,0.765
109,0.79
110,0.81
111,0.81
112,0.79
113,0.34
114,0.775
115,0.81
116,0.76
117,0.77
118,0.74
119,0.74
120,0.8
121,0.845
122,0.77
123,0.8
124,0.79
125,0.825
126,0.775
127,0.775
128,0.785
129,0.79
130,0.795
131,0.78
132,0.815
133,0.795
134,0.8
135,0.79
136,0.65
137,0.835
138,0.765
139,0.83
140,0.81
141,0.8
142,0.805
143,0.825
144,0.84
145,0.765
146,0.81
147,0.87
148,0.815
149,0.83
150,0.67
151,0.795
152,0.765
153,0.59
154,0.785
155,0.81
156,0.55
157,0.745
158,0.8
159,0.77
160,0.325
161,0.805
162,0.62
163,0.825
164,0.815
165,0.825
166,0.765
167,0.825
168,0.755
169,0.785
170,0.775
171,0.81
172,0.845
173,0.82
174,0.785
175,0.83
176,0.805
177,0.8
178,0.74
179,0.815
180,0.765
181,0.76
182,0.805
183,0.755
184,0.72
185,0.77
186,0.795
187,0.77
188,0.87
189,0.79
190,0.775
191,0.73
192,0.765
193,0.825
194,0.815
195,0.785
196,0.79
197,0.8
198,0.705
199,0.775
200,0.8
201,0.835
202,0.85
203,0.855
204,0.785
205,0.78
206,0.81
207,0.79
208,0.825
209,0.775
210,0.805
211,0.775
212,0.845
213,0.825
214,0.845
215,0.795
216,0.82
217,0.805
218,0.83
219,0.825
220,0.795
221,0.765
222,0.815
223,0.765
224,0.8
225,0.82
226,0.82
227,0.765
228,0.82
229,0.815
230,0.78
231,0.845
232,0.845
233,0.815
234,0.795
235,0.795
236,0.78
237,0.81
238,0.825
239,0.785
240,0.81
241,0.825
242,0.82
243,0.81
244,0.775
245,0.825
246,0.79
247,0.85
248,0.78
249,0.78
250,0.74
251,0.8
252,0.845
253,0.815
254,0.85
255,0.845
256,0.775
257,0.865
258,0.845
259,0.875
260,0.81
261,0.85
262,0.815
263,0.69
264,0.79
265,0.795
266,0.765
267,0.805
268,0.785
269,0.83
270,0.82
271,0.86
272,0.83
273,0.8
274,0.735
275,0.805
276,0.745
277,0.805
278,0.83
279,0.8
280,0.825
281,0.84
282,0.79
283,0.735
284,0.84
285,0.79
286,0.8
287,0.83
288,0.84
289,0.875
290,0.74
291,0.755
292,0.685
293,0.825
294,0.785
295,0.825
296,0.83
297,0.835
298,0.825
