chunk,accuracy
0,0.0
1,0.75
2,0.785
3,0.81
4,0.575
5,0.8
6,0.805
7,0.805
8,0.34
9,0.785
10,0.76
11,0.77
12,0.515
13,0.825
14,0.78
15,0.635
16,0.23
17,0.83
18,0.785
19,0.835
20,0.81
21,0.36
22,0.78
23,0.825
24,0.775
25,0.795
26,0.84
27,0.79
28,0.82
29,0.705
30,0.835
31,0.79
32,0.825
33,0.79
34,0.805
35,0.745
36,0.82
37,0.795
38,0.775
39,0.765
40,0.765
41,0.79
42,0.79
43,0.82
44,0.785
45,0.81
46,0.815
47,0.795
48,0.785
49,0.8
50,0.82
51,0.73
52,0.83
53,0.825
54,0.41
55,0.79
56,0.81
57,0.475
58,0.82
59,0.835
60,0.82
61,0.785
62,0.77
63,0.82
64,0.825
65,0.795
66,0.835
67,0.805
68,0.76
69,0.77
70,0.79
71,0.805
72,0.81
73,0.76
74,0.81
75,0.765
76,0.78
77,0.805
78,0.81
79,0.795
80,0.805
81,0.8
82,0.815
83,0.685
84,0.815
85,0.805
86,0.8
87,0.78
88,0.785
89,0.825
90,0.715
91,0.81
92,0.825
93,0.775
94,0.85
95,0.83
96,0.775
97,0.77
98,0.795
99,0.805
100,0.775
101,0.275
102,0.845
103,0.835
104,0.795
105,0.78
106,0.785
107,0.73
108,0.805
109,0.855
110,0.755
111,0.67
112,0.715
113,0.425
114,0.65
115,0.82
116,0.79
117,0.815
118,0.815
119,0.835
120,0.825
121,0.805
122,0.82
123,0.835
124,0.84
125,0.835
126,0.8
127,0.81
128,0.85
129,0.825
130,0.57
131,0.805
132,0.85
133,0.82
134,0.835
135,0.46
136,0.75
137,0.835
138,0.83
139,0.805
140,0.845
141,0.825
142,0.865
143,0.8
144,0.765
145,0.78
146,0.805
147,0.82
148,0.785
149,0.85
150,0.82
151,0.6
152,0.665
153,0.83
154,0.765
155,0.75
156,0.745
157,0.72
158,0.78
159,0.83
160,0.805
161,0.25
162,0.69
163,0.755
164,0.59
165,0.805
166,0.73
167,0.715
168,0.78
169,0.815
170,0.845
171,0.835
172,0.85
173,0.77
174,0.75
175,0.805
176,0.805
177,0.855
178,0.83
179,0.805
180,0.84
181,0.73
182,0.805
183,0.815
184,0.79
185,0.805
186,0.775
187,0.795
188,0.84
189,0.82
190,0.83
191,0.82
192,0.825
193,0.77
194,0.825
195,0.745
196,0.855
197,0.82
198,0.81
199,0.26
200,0.72
201,0.84
202,0.755
203,0.78
204,0.79
205,0.84
206,0.795
207,0.815
208,0.825
209,0.795
210,0.83
211,0.835
212,0.825
213,0.79
214,0.81
215,0.78
216,0.83
217,0.87
218,0.82
219,0.87
220,0.815
221,0.805
222,0.86
223,0.825
224,0.755
225,0.85
226,0.77
227,0.835
228,0.77
229,0.825
230,0.83
231,0.85
232,0.835
233,0.81
234,0.79
235,0.82
236,0.845
237,0.875
238,0.82
239,0.745
240,0.76
241,0.67
242,0.8
243,0.82
244,0.805
245,0.85
246,0.83
247,0.82
248,0.77
249,0.795
250,0.805
251,0.69
252,0.72
253,0.835
254,0.82
255,0.835
256,0.83
257,0.83
258,0.795
259,0.855
260,0.78
261,0.69
262,0.82
263,0.84
264,0.81
265,0.835
266,0.81
267,0.795
268,0.81
269,0.825
270,0.805
271,0.775
272,0.645
273,0.8
274,0.8
275,0.8
276,0.805
277,0.795
278,0.83
279,0.82
280,0.82
281,0.825
282,0.83
283,0.72
284,0.77
285,0.685
286,0.785
287,0.84
288,0.82
289,0.82
290,0.79
291,0.7
292,0.79
293,0.805
294,0.84
295,0.835
296,0.74
297,0.825
298,0.61
