chunk,accuracy
0,0.0
1,0.595
2,0.635
3,0.63
4,0.465
5,0.595
6,0.73
7,0.74
8,0.72
9,0.78
10,0.61
11,0.785
12,0.7
13,0.725
14,0.795
15,0.765
16,0.805
17,0.82
18,0.73
19,0.855
20,0.86
21,0.805
22,0.815
23,0.83
24,0.815
25,0.835
26,0.815
27,0.815
28,0.785
29,0.805
30,0.835
31,0.885
32,0.81
33,0.8
34,0.815
35,0.835
36,0.855
37,0.84
38,0.77
39,0.755
40,0.78
41,0.86
42,0.805
43,0.84
44,0.865
45,0.865
46,0.785
47,0.785
48,0.775
49,0.82
50,0.83
51,0.85
52,0.8
53,0.845
54,0.85
55,0.865
56,0.81
57,0.79
58,0.835
59,0.79
60,0.86
61,0.78
62,0.805
63,0.79
64,0.905
65,0.84
66,0.83
67,0.79
68,0.79
69,0.8
70,0.795
71,0.785
72,0.845
73,0.875
74,0.83
75,0.775
76,0.87
77,0.8
78,0.82
79,0.815
80,0.8
81,0.825
82,0.82
83,0.855
84,0.85
85,0.82
86,0.79
87,0.835
88,0.83
89,0.885
90,0.85
91,0.79
92,0.82
93,0.81
94,0.815
95,0.855
96,0.83
97,0.86
98,0.795
99,0.855
100,0.865
101,0.845
102,0.875
103,0.8
104,0.83
105,0.89
106,0.83
107,0.78
108,0.795
109,0.785
110,0.83
111,0.79
112,0.82
113,0.78
114,0.81
115,0.815
116,0.785
117,0.795
118,0.845
119,0.825
120,0.8
121,0.79
122,0.855
123,0.82
124,0.755
125,0.82
126,0.83
127,0.81
128,0.875
129,0.87
130,0.87
131,0.835
132,0.785
133,0.855
134,0.78
135,0.835
136,0.795
137,0.79
138,0.81
139,0.8
140,0.83
141,0.775
142,0.8
143,0.81
144,0.81
145,0.82
146,0.81
147,0.85
148,0.84
149,0.855
150,0.41
151,0.41
152,0.44
153,0.475
154,0.36
155,0.49
156,0.57
157,0.49
158,0.515
159,0.585
160,0.59
161,0.685
162,0.685
163,0.675
164,0.63
165,0.715
166,0.74
167,0.8
168,0.775
169,0.835
170,0.72
171,0.815
172,0.77
173,0.805
174,0.765
175,0.81
176,0.815
177,0.735
178,0.73
179,0.795
180,0.78
181,0.815
182,0.76
183,0.815
184,0.745
185,0.78
186,0.795
187,0.815
188,0.755
189,0.795
190,0.8
191,0.83
192,0.82
193,0.76
194,0.79
195,0.79
196,0.785
197,0.81
198,0.78
199,0.775
200,0.81
201,0.8
202,0.86
203,0.825
204,0.825
205,0.825
206,0.83
207,0.815
208,0.8
209,0.82
210,0.785
211,0.76
212,0.81
213,0.81
214,0.845
215,0.805
216,0.8
217,0.81
218,0.8
219,0.82
220,0.785
221,0.84
222,0.825
223,0.855
224,0.795
225,0.75
226,0.83
227,0.81
228,0.78
229,0.795
230,0.795
231,0.795
232,0.805
233,0.82
234,0.77
235,0.785
236,0.84
237,0.85
238,0.755
239,0.805
240,0.865
241,0.785
242,0.85
243,0.795
244,0.805
245,0.795
246,0.785
247,0.785
248,0.8
249,0.825
250,0.775
251,0.805
252,0.81
253,0.875
254,0.825
255,0.82
256,0.785
257,0.875
258,0.83
259,0.8
260,0.795
261,0.78
262,0.78
263,0.82
264,0.82
265,0.84
266,0.755
267,0.78
268,0.785
269,0.81
270,0.82
271,0.745
272,0.795
273,0.81
274,0.84
275,0.795
276,0.76
277,0.785
278,0.83
279,0.845
280,0.835
281,0.815
282,0.77
283,0.835
284,0.75
285,0.82
286,0.795
287,0.78
288,0.775
289,0.79
290,0.835
291,0.815
292,0.805
293,0.845
294,0.84
295,0.805
296,0.845
297,0.8
298,0.745
