chunk,accuracy
0,0.0
1,0.84
2,0.83
3,0.845
4,0.78
5,0.81
6,0.8
7,0.825
8,0.79
9,0.78
10,0.7
11,0.755
12,0.815
13,0.81
14,0.79
15,0.855
16,0.79
17,0.795
18,0.845
19,0.785
20,0.8
21,0.835
22,0.82
23,0.785
24,0.395
25,0.785
26,0.765
27,0.825
28,0.59
29,0.825
30,0.82
31,0.345
32,0.83
33,0.845
34,0.785
35,0.805
36,0.82
37,0.86
38,0.815
39,0.79
40,0.845
41,0.78
42,0.785
43,0.855
44,0.84
45,0.24
46,0.78
47,0.795
48,0.78
49,0.81
50,0.835
51,0.805
52,0.765
53,0.815
54,0.8
55,0.82
56,0.81
57,0.725
58,0.815
59,0.81
60,0.825
61,0.83
62,0.76
63,0.83
64,0.755
65,0.845
66,0.79
67,0.755
68,0.83
69,0.765
70,0.79
71,0.805
72,0.84
73,0.75
74,0.83
75,0.77
76,0.84
77,0.835
78,0.76
79,0.685
80,0.865
81,0.84
82,0.84
83,0.795
84,0.78
85,0.85
86,0.79
87,0.825
88,0.825
89,0.825
90,0.815
91,0.835
92,0.71
93,0.865
94,0.825
95,0.795
96,0.835
97,0.83
98,0.755
99,0.845
100,0.835
101,0.78
102,0.805
103,0.725
104,0.535
105,0.835
106,0.825
107,0.9
108,0.82
109,0.815
110,0.845
111,0.8
112,0.855
113,0.79
114,0.84
115,0.875
116,0.765
117,0.67
118,0.835
119,0.83
120,0.85
121,0.825
122,0.795
123,0.795
124,0.81
125,0.505
126,0.835
127,0.82
128,0.84
129,0.755
130,0.77
131,0.82
132,0.555
133,0.815
134,0.815
135,0.82
136,0.825
137,0.735
138,0.86
139,0.8
140,0.76
141,0.81
142,0.77
143,0.485
144,0.805
145,0.83
146,0.83
147,0.67
148,0.61
149,0.805
150,0.715
151,0.825
152,0.775
153,0.795
154,0.79
155,0.79
156,0.79
157,0.79
158,0.775
159,0.865
160,0.765
161,0.8
162,0.795
163,0.52
164,0.76
165,0.795
166,0.775
167,0.805
168,0.78
169,0.855
170,0.74
171,0.79
172,0.79
173,0.79
174,0.775
175,0.825
176,0.78
177,0.735
178,0.735
179,0.825
180,0.775
181,0.8
182,0.755
183,0.8
184,0.75
185,0.785
186,0.825
187,0.795
188,0.8
189,0.77
190,0.825
191,0.83
192,0.715
193,0.805
194,0.82
195,0.77
196,0.8
197,0.8
198,0.81
199,0.76
200,0.83
201,0.78
202,0.84
203,0.835
204,0.825
205,0.725
206,0.82
207,0.81
208,0.79
209,0.825
210,0.81
211,0.77
212,0.785
213,0.835
214,0.845
215,0.81
216,0.8
217,0.755
218,0.785
219,0.795
220,0.775
221,0.815
222,0.8
223,0.835
224,0.795
225,0.665
226,0.805
227,0.81
228,0.79
229,0.815
230,0.8
231,0.785
232,0.795
233,0.81
234,0.8
235,0.79
236,0.855
237,0.825
238,0.76
239,0.655
240,0.825
241,0.78
242,0.84
243,0.805
244,0.725
245,0.77
246,0.775
247,0.805
248,0.77
249,0.725
250,0.79
251,0.835
252,0.8
253,0.855
254,0.83
255,0.815
256,0.44
257,0.49
258,0.82
259,0.795
260,0.75
261,0.785
262,0.765
263,0.825
264,0.805
265,0.795
266,0.76
267,0.725
268,0.76
269,0.81
270,0.815
271,0.77
272,0.79
273,0.805
274,0.825
275,0.805
276,0.79
277,0.815
278,0.825
279,0.83
280,0.815
281,0.81
282,0.795
283,0.845
284,0.8
285,0.84
286,0.765
287,0.705
288,0.83
289,0.8
290,0.815
291,0.81
292,0.805
293,0.72
294,0.805
295,0.815
296,0.845
297,0.765
298,0.73
