model,noise,seed,time,memory,recovery,det_max,det_avg
Sliding,fly,42,2.867236329359392,245218172.94983277,2,12.541868254558985,0.806684600391793
Unlearning,fly,42,0.08309206150061012,198963158.4214047,3,56.21086478253511,1.0027361288263332
Sliding,fly,65,2.861405615127929,245950576.10702342,9,9.597240118043139,0.4921067922788119
Unlearning,fly,65,0.08222128431247329,197215824.0,2,43.64994663820704,-0.7699856030598772
Sliding,fly,88,2.8628157566139554,245950576.10702342,3,9.318323952470283,-0.574604094001734
Unlearning,fly,88,0.08236582713500662,197215824.0,2,64.22944257548012,-0.15241641318710347
Sliding,swim,42,2.8743299392930366,245950576.10702342,4,9.972299168975075,-1.3556337135507548
Unlearning,swim,42,0.08269430522224476,197215824.0,1,57.86698932630396,-2.7549522057512004
Sliding,swim,65,2.851669246396268,245950576.10702342,2,10.070434345128287,-1.2746950715092065
Unlearning,swim,65,0.0813534393389538,197215824.0,3,57.2538860103627,-1.3796640817887815
Sliding,swim,88,2.805359376597539,245950576.10702342,2,11.543287327478053,-1.6900625668404043
Unlearning,swim,88,0.0818653294713825,197215824.0,4,67.294610151753,-3.0636828815160655
