chunk,accuracy
0,0.0
1,0.825
2,0.85
3,0.765
4,0.785
5,0.77
6,0.76
7,0.24
8,0.785
9,0.825
10,0.69
11,0.845
12,0.765
13,0.78
14,0.8
15,0.825
16,0.755
17,0.81
18,0.84
19,0.855
20,0.83
21,0.81
22,0.805
23,0.83
24,0.82
25,0.805
26,0.84
27,0.75
28,0.82
29,0.765
30,0.82
31,0.81
32,0.84
33,0.8
34,0.805
35,0.775
36,0.665
37,0.86
38,0.335
39,0.685
40,0.8
41,0.82
42,0.795
43,0.8
44,0.81
45,0.825
46,0.8
47,0.785
48,0.805
49,0.765
50,0.815
51,0.805
52,0.795
53,0.83
54,0.81
55,0.85
56,0.79
57,0.745
58,0.775
59,0.635
60,0.79
61,0.82
62,0.785
63,0.74
64,0.82
65,0.815
66,0.795
67,0.825
68,0.675
69,0.82
70,0.855
71,0.77
72,0.815
73,0.855
74,0.78
75,0.775
76,0.815
77,0.805
78,0.545
79,0.8
80,0.865
81,0.77
82,0.775
83,0.805
84,0.645
85,0.76
86,0.85
87,0.83
88,0.81
89,0.78
90,0.77
91,0.83
92,0.84
93,0.78
94,0.605
95,0.87
96,0.8
97,0.82
98,0.82
99,0.825
100,0.78
101,0.76
102,0.82
103,0.785
104,0.84
105,0.815
106,0.79
107,0.815
108,0.765
109,0.715
110,0.845
111,0.79
112,0.795
113,0.855
114,0.785
115,0.84
116,0.665
117,0.815
118,0.845
119,0.845
120,0.795
121,0.675
122,0.84
123,0.805
124,0.825
125,0.88
126,0.835
127,0.795
128,0.785
129,0.82
130,0.44
131,0.8
132,0.85
133,0.785
134,0.77
135,0.83
136,0.845
137,0.845
138,0.8
139,0.82
140,0.84
141,0.765
142,0.785
143,0.865
144,0.835
145,0.8
146,0.815
147,0.825
148,0.83
149,0.805
150,0.755
151,0.755
152,0.815
153,0.825
154,0.815
155,0.775
156,0.81
157,0.82
158,0.835
159,0.8
160,0.795
161,0.775
162,0.805
163,0.765
164,0.82
165,0.81
166,0.475
167,0.815
168,0.82
169,0.84
170,0.705
171,0.8
172,0.795
173,0.8
174,0.78
175,0.79
176,0.815
177,0.805
178,0.815
179,0.84
180,0.83
181,0.795
182,0.28
183,0.765
184,0.795
185,0.795
186,0.815
187,0.815
188,0.81
189,0.845
190,0.77
191,0.805
192,0.805
193,0.8
194,0.825
195,0.81
196,0.76
197,0.81
198,0.755
199,0.795
200,0.84
201,0.745
202,0.805
203,0.755
204,0.815
205,0.79
206,0.745
207,0.815
208,0.77
209,0.765
210,0.805
211,0.765
212,0.795
213,0.615
214,0.73
215,0.77
216,0.805
217,0.785
218,0.77
219,0.76
220,0.735
221,0.78
222,0.82
223,0.795
224,0.84
225,0.795
226,0.865
227,0.855
228,0.865
229,0.765
230,0.815
231,0.81
232,0.795
233,0.76
234,0.865
235,0.805
236,0.79
237,0.81
238,0.825
239,0.78
240,0.79
241,0.795
242,0.825
243,0.75
244,0.475
245,0.8
246,0.815
247,0.79
248,0.785
249,0.8
250,0.8
251,0.815
252,0.77
253,0.76
254,0.795
255,0.805
256,0.825
257,0.845
258,0.815
259,0.79
260,0.805
261,0.79
262,0.79
263,0.815
264,0.825
265,0.805
266,0.845
267,0.82
268,0.78
269,0.865
270,0.775
271,0.82
272,0.825
273,0.825
274,0.81
275,0.74
276,0.575
277,0.81
278,0.745
279,0.55
280,0.775
281,0.825
282,0.775
283,0.745
284,0.785
285,0.815
286,0.8
287,0.815
288,0.6
289,0.79
290,0.81
291,0.76
292,0.82
293,0.765
294,0.765
295,0.815
296,0.74
297,0.79
298,0.795
