chunk,accuracy
0,0.0
1,0.815
2,0.79
3,0.76
4,0.86
5,0.67
6,0.825
7,0.355
8,0.765
9,0.735
10,0.81
11,0.825
12,0.78
13,0.78
14,0.555
15,0.83
16,0.875
17,0.77
18,0.78
19,0.795
20,0.79
21,0.845
22,0.79
23,0.865
24,0.83
25,0.82
26,0.855
27,0.87
28,0.795
29,0.785
30,0.815
31,0.805
32,0.775
33,0.81
34,0.805
35,0.805
36,0.81
37,0.815
38,0.795
39,0.855
40,0.795
41,0.775
42,0.775
43,0.825
44,0.82
45,0.81
46,0.84
47,0.815
48,0.86
49,0.695
50,0.785
51,0.795
52,0.79
53,0.805
54,0.845
55,0.785
56,0.76
57,0.79
58,0.835
59,0.825
60,0.77
61,0.76
62,0.8
63,0.78
64,0.82
65,0.78
66,0.785
67,0.825
68,0.79
69,0.76
70,0.635
71,0.78
72,0.835
73,0.785
74,0.84
75,0.805
76,0.81
77,0.8
78,0.865
79,0.795
80,0.805
81,0.83
82,0.81
83,0.31
84,0.83
85,0.81
86,0.815
87,0.79
88,0.785
89,0.64
90,0.81
91,0.79
92,0.85
93,0.795
94,0.84
95,0.82
96,0.835
97,0.885
98,0.79
99,0.825
100,0.815
101,0.84
102,0.795
103,0.84
104,0.825
105,0.835
106,0.79
107,0.8
108,0.82
109,0.835
110,0.81
111,0.895
112,0.835
113,0.83
114,0.835
115,0.805
116,0.82
117,0.855
118,0.83
119,0.84
120,0.81
121,0.79
122,0.825
123,0.75
124,0.875
125,0.775
126,0.825
127,0.85
128,0.765
129,0.765
130,0.84
131,0.695
132,0.85
133,0.805
134,0.785
135,0.775
136,0.695
137,0.77
138,0.8
139,0.825
140,0.8
141,0.82
142,0.78
143,0.81
144,0.8
145,0.535
146,0.43
147,0.84
148,0.845
149,0.88
150,0.68
151,0.81
152,0.77
153,0.38
154,0.74
155,0.715
156,0.78
157,0.82
158,0.81
159,0.79
160,0.755
161,0.345
162,0.79
163,0.74
164,0.8
165,0.655
166,0.85
167,0.81
168,0.815
169,0.8
170,0.85
171,0.86
172,0.815
173,0.795
174,0.82
175,0.795
176,0.78
177,0.785
178,0.86
179,0.835
180,0.735
181,0.8
182,0.795
183,0.795
184,0.77
185,0.84
186,0.765
187,0.78
188,0.78
189,0.805
190,0.725
191,0.79
192,0.795
193,0.825
194,0.77
195,0.775
196,0.765
197,0.595
198,0.78
199,0.74
200,0.83
201,0.805
202,0.795
203,0.8
204,0.84
205,0.82
206,0.785
207,0.82
208,0.85
209,0.835
210,0.745
211,0.735
212,0.58
213,0.82
214,0.78
215,0.53
216,0.79
217,0.815
218,0.735
219,0.805
220,0.845
221,0.765
222,0.805
223,0.825
224,0.83
225,0.805
226,0.77
227,0.84
228,0.815
229,0.83
230,0.79
231,0.83
232,0.85
233,0.845
234,0.8
235,0.765
236,0.49
237,0.84
238,0.84
239,0.815
240,0.805
241,0.855
242,0.815
243,0.795
244,0.8
245,0.805
246,0.865
247,0.785
248,0.765
249,0.805
250,0.875
251,0.775
252,0.55
253,0.775
254,0.78
255,0.825
256,0.795
257,0.85
258,0.785
259,0.725
260,0.76
261,0.78
262,0.825
263,0.78
264,0.785
265,0.825
266,0.78
267,0.85
268,0.77
269,0.775
270,0.77
271,0.715
272,0.845
273,0.8
274,0.765
275,0.835
276,0.825
277,0.81
278,0.745
279,0.81
280,0.845
281,0.79
282,0.695
283,0.795
284,0.775
285,0.76
286,0.805
287,0.785
288,0.765
289,0.635
290,0.785
291,0.775
292,0.87
293,0.8
294,0.775
295,0.76
296,0.79
297,0.78
298,0.765
