chunk,accuracy
0,0.0
1,0.825
2,0.85
3,0.765
4,0.785
5,0.85
6,0.76
7,0.305
8,0.785
9,0.82
10,0.815
11,0.835
12,0.76
13,0.8
14,0.785
15,0.83
16,0.765
17,0.815
18,0.84
19,0.85
20,0.72
21,0.85
22,0.82
23,0.82
24,0.8
25,0.8
26,0.835
27,0.835
28,0.805
29,0.79
30,0.805
31,0.835
32,0.835
33,0.85
34,0.79
35,0.755
36,0.785
37,0.875
38,0.785
39,0.81
40,0.775
41,0.81
42,0.775
43,0.815
44,0.865
45,0.84
46,0.785
47,0.82
48,0.81
49,0.78
50,0.795
51,0.815
52,0.79
53,0.845
54,0.785
55,0.795
56,0.84
57,0.82
58,0.805
59,0.78
60,0.795
61,0.845
62,0.8
63,0.815
64,0.79
65,0.81
66,0.805
67,0.81
68,0.82
69,0.815
70,0.845
71,0.795
72,0.8
73,0.855
74,0.775
75,0.795
76,0.815
77,0.775
78,0.83
79,0.8
80,0.85
81,0.755
82,0.725
83,0.77
84,0.855
85,0.79
86,0.835
87,0.8
88,0.83
89,0.75
90,0.82
91,0.845
92,0.84
93,0.795
94,0.83
95,0.865
96,0.77
97,0.82
98,0.765
99,0.8
100,0.8
101,0.775
102,0.815
103,0.8
104,0.84
105,0.8
106,0.79
107,0.775
108,0.785
109,0.8
110,0.835
111,0.79
112,0.79
113,0.845
114,0.795
115,0.83
116,0.82
117,0.815
118,0.875
119,0.83
120,0.755
121,0.835
122,0.85
123,0.81
124,0.8
125,0.87
126,0.825
127,0.81
128,0.825
129,0.8
130,0.835
131,0.81
132,0.84
133,0.745
134,0.805
135,0.805
136,0.825
137,0.84
138,0.8
139,0.785
140,0.845
141,0.775
142,0.805
143,0.885
144,0.83
145,0.82
146,0.775
147,0.8
148,0.815
149,0.8
150,0.345
151,0.45
152,0.445
153,0.385
154,0.43
155,0.455
156,0.555
157,0.56
158,0.44
159,0.525
160,0.675
161,0.625
162,0.73
163,0.635
164,0.745
165,0.755
166,0.79
167,0.79
168,0.795
169,0.805
170,0.835
171,0.865
172,0.86
173,0.84
174,0.81
175,0.87
176,0.82
177,0.865
178,0.83
179,0.83
180,0.83
181,0.85
182,0.845
183,0.85
184,0.875
185,0.81
186,0.805
187,0.855
188,0.805
189,0.85
190,0.76
191,0.83
192,0.79
193,0.83
194,0.805
195,0.82
196,0.805
197,0.86
198,0.84
199,0.84
200,0.8
201,0.89
202,0.82
203,0.81
204,0.815
205,0.845
206,0.835
207,0.8
208,0.82
209,0.775
210,0.85
211,0.815
212,0.82
213,0.785
214,0.835
215,0.78
216,0.82
217,0.78
218,0.82
219,0.785
220,0.815
221,0.79
222,0.86
223,0.73
224,0.85
225,0.82
226,0.825
227,0.83
228,0.81
229,0.84
230,0.81
231,0.78
232,0.735
233,0.785
234,0.83
235,0.85
236,0.84
237,0.825
238,0.795
239,0.845
240,0.84
241,0.82
242,0.87
243,0.87
244,0.81
245,0.845
246,0.835
247,0.76
248,0.86
249,0.84
250,0.9
251,0.825
252,0.85
253,0.82
254,0.86
255,0.835
256,0.785
257,0.835
258,0.87
259,0.83
260,0.83
261,0.78
262,0.835
263,0.865
264,0.835
265,0.865
266,0.82
267,0.815
268,0.79
269,0.83
270,0.76
271,0.775
272,0.84
273,0.815
274,0.79
275,0.815
276,0.815
277,0.82
278,0.84
279,0.815
280,0.845
281,0.81
282,0.845
283,0.87
284,0.81
285,0.715
286,0.79
287,0.825
288,0.78
289,0.845
290,0.835
291,0.845
292,0.815
293,0.835
294,0.83
295,0.82
296,0.845
297,0.86
298,0.825
