chunk,accuracy
0,0.0
1,0.63
2,0.79
3,0.535
4,0.69
5,0.535
6,0.585
7,0.65
8,0.805
9,0.815
10,0.775
11,0.695
12,0.815
13,0.855
14,0.51
15,0.79
16,0.715
17,0.6
18,0.825
19,0.795
20,0.72
21,0.525
22,0.775
23,0.805
24,0.74
25,0.635
26,0.87
27,0.835
28,0.475
29,0.785
30,0.705
31,0.76
32,0.81
33,0.775
34,0.795
35,0.855
36,0.755
37,0.695
38,0.635
39,0.86
40,0.85
41,0.59
42,0.74
43,0.78
44,0.83
45,0.71
46,0.78
47,0.855
48,0.85
49,0.775
50,0.83
51,0.835
52,0.41
53,0.76
54,0.865
55,0.805
56,0.775
57,0.805
58,0.575
59,0.85
60,0.685
61,0.845
62,0.84
63,0.685
64,0.84
65,0.7
66,0.825
67,0.785
68,0.745
69,0.81
70,0.82
71,0.83
72,0.44
73,0.81
74,0.875
75,0.665
76,0.805
77,0.87
78,0.81
79,0.85
80,0.85
81,0.875
82,0.725
83,0.835
84,0.875
85,0.865
86,0.81
87,0.86
88,0.775
89,0.895
90,0.82
91,0.855
92,0.85
93,0.725
94,0.865
95,0.74
96,0.845
97,0.835
98,0.795
99,0.815
100,0.85
101,0.845
102,0.78
103,0.84
104,0.875
105,0.855
106,0.85
107,0.665
108,0.52
109,0.88
110,0.665
111,0.8
112,0.86
113,0.835
114,0.865
115,0.835
116,0.85
117,0.86
118,0.885
119,0.83
120,0.605
121,0.85
122,0.83
123,0.77
124,0.685
125,0.805
126,0.795
127,0.835
128,0.88
129,0.64
130,0.775
131,0.85
132,0.85
133,0.66
134,0.895
135,0.855
136,0.83
137,0.885
138,0.765
139,0.83
140,0.845
141,0.835
142,0.845
143,0.88
144,0.85
145,0.815
146,0.82
147,0.905
148,0.845
149,0.755
150,0.37
151,0.81
152,0.8
153,0.82
154,0.75
155,0.645
156,0.795
157,0.82
158,0.81
159,0.79
160,0.76
161,0.85
162,0.445
163,0.73
164,0.755
165,0.775
166,0.815
167,0.81
168,0.84
169,0.8
170,0.85
171,0.86
172,0.815
173,0.795
174,0.735
175,0.795
176,0.77
177,0.79
178,0.735
179,0.83
180,0.765
181,0.82
182,0.795
183,0.58
184,0.77
185,0.835
186,0.76
187,0.78
188,0.68
189,0.795
190,0.81
191,0.79
192,0.8
193,0.785
194,0.77
195,0.79
196,0.765
197,0.81
198,0.775
199,0.575
200,0.795
201,0.675
202,0.795
203,0.795
204,0.82
205,0.82
206,0.785
207,0.815
208,0.85
209,0.835
210,0.755
211,0.8
212,0.775
213,0.75
214,0.82
215,0.63
216,0.8
217,0.64
218,0.735
219,0.81
220,0.845
221,0.76
222,0.825
223,0.83
224,0.82
225,0.81
226,0.765
227,0.68
228,0.815
229,0.84
230,0.79
231,0.83
232,0.82
233,0.815
234,0.665
235,0.785
236,0.765
237,0.795
238,0.845
239,0.815
240,0.81
241,0.86
242,0.815
243,0.81
244,0.785
245,0.845
246,0.865
247,0.785
248,0.765
249,0.805
250,0.88
251,0.775
252,0.76
253,0.63
254,0.79
255,0.825
256,0.805
257,0.845
258,0.78
259,0.745
260,0.695
261,0.795
262,0.815
263,0.79
264,0.785
265,0.825
266,0.71
267,0.82
268,0.86
269,0.775
270,0.65
271,0.755
272,0.835
273,0.81
274,0.725
275,0.835
276,0.8
277,0.83
278,0.82
279,0.82
280,0.795
281,0.645
282,0.775
283,0.8
284,0.775
285,0.78
286,0.785
287,0.725
288,0.74
289,0.775
290,0.8
291,0.815
292,0.87
293,0.805
294,0.725
295,0.745
296,0.785
297,0.725
298,0.795
