chunk,accuracy
0,0.0
1,0.635
2,0.745
3,0.665
4,0.705
5,0.74
6,0.71
7,0.725
8,0.81
9,0.815
10,0.49
11,0.82
12,0.8
13,0.715
14,0.805
15,0.75
16,0.795
17,0.72
18,0.785
19,0.79
20,0.62
21,0.72
22,0.615
23,0.83
24,0.8
25,0.825
26,0.805
27,0.795
28,0.745
29,0.8
30,0.67
31,0.675
32,0.75
33,0.805
34,0.855
35,0.83
36,0.695
37,0.63
38,0.78
39,0.755
40,0.84
41,0.78
42,0.825
43,0.83
44,0.78
45,0.755
46,0.84
47,0.855
48,0.85
49,0.815
50,0.805
51,0.79
52,0.71
53,0.795
54,0.795
55,0.77
56,0.795
57,0.835
58,0.785
59,0.84
60,0.76
61,0.805
62,0.835
63,0.74
64,0.825
65,0.81
66,0.81
67,0.85
68,0.8
69,0.775
70,0.775
71,0.675
72,0.84
73,0.885
74,0.81
75,0.865
76,0.78
77,0.58
78,0.815
79,0.46
80,0.835
81,0.855
82,0.755
83,0.75
84,0.88
85,0.88
86,0.825
87,0.85
88,0.73
89,0.885
90,0.825
91,0.79
92,0.87
93,0.82
94,0.84
95,0.795
96,0.82
97,0.605
98,0.79
99,0.88
100,0.9
101,0.86
102,0.855
103,0.88
104,0.835
105,0.85
106,0.565
107,0.845
108,0.865
109,0.765
110,0.84
111,0.775
112,0.785
113,0.87
114,0.865
115,0.77
116,0.81
117,0.84
118,0.87
119,0.81
120,0.82
121,0.815
122,0.815
123,0.825
124,0.85
125,0.855
126,0.7
127,0.85
128,0.81
129,0.87
130,0.855
131,0.855
132,0.82
133,0.83
134,0.865
135,0.76
136,0.54
137,0.875
138,0.855
139,0.815
140,0.81
141,0.865
142,0.815
143,0.815
144,0.825
145,0.815
146,0.75
147,0.905
148,0.7
149,0.63
150,0.375
151,0.795
152,0.765
153,0.805
154,0.585
155,0.81
156,0.79
157,0.765
158,0.785
159,0.77
160,0.65
161,0.8
162,0.81
163,0.805
164,0.815
165,0.81
166,0.765
167,0.78
168,0.735
169,0.78
170,0.76
171,0.82
172,0.855
173,0.825
174,0.76
175,0.75
176,0.805
177,0.8
178,0.75
179,0.81
180,0.835
181,0.745
182,0.745
183,0.78
184,0.77
185,0.78
186,0.735
187,0.465
188,0.88
189,0.77
190,0.79
191,0.765
192,0.815
193,0.815
194,0.83
195,0.79
196,0.795
197,0.83
198,0.745
199,0.79
200,0.68
201,0.84
202,0.855
203,0.86
204,0.795
205,0.785
206,0.21
207,0.77
208,0.41
209,0.78
210,0.85
211,0.8
212,0.855
213,0.79
214,0.865
215,0.845
216,0.82
217,0.835
218,0.845
219,0.8
220,0.8
221,0.83
222,0.82
223,0.81
224,0.68
225,0.83
226,0.81
227,0.765
228,0.815
229,0.84
230,0.765
231,0.845
232,0.825
233,0.825
234,0.82
235,0.85
236,0.8
237,0.815
238,0.795
239,0.79
240,0.81
241,0.815
242,0.78
243,0.815
244,0.825
245,0.83
246,0.735
247,0.46
248,0.775
249,0.84
250,0.695
251,0.795
252,0.84
253,0.815
254,0.805
255,0.835
256,0.74
257,0.84
258,0.855
259,0.865
260,0.82
261,0.855
262,0.805
263,0.86
264,0.805
265,0.81
266,0.785
267,0.8
268,0.81
269,0.825
270,0.805
271,0.855
272,0.815
273,0.73
274,0.85
275,0.82
276,0.7
277,0.8
278,0.785
279,0.82
280,0.82
281,0.83
282,0.805
283,0.86
284,0.84
285,0.825
286,0.86
287,0.86
288,0.835
289,0.855
290,0.685
291,0.815
292,0.815
293,0.76
294,0.795
295,0.82
296,0.815
297,0.84
298,0.815
