chunk,accuracy
0,0.0
1,0.84
2,0.83
3,0.835
4,0.795
5,0.64
6,0.79
7,0.59
8,0.79
9,0.68
10,0.785
11,0.745
12,0.82
13,0.8
14,0.79
15,0.82
16,0.805
17,0.37
18,0.835
19,0.84
20,0.82
21,0.835
22,0.81
23,0.81
24,0.815
25,0.81
26,0.8
27,0.805
28,0.8
29,0.79
30,0.81
31,0.835
32,0.835
33,0.86
34,0.815
35,0.82
36,0.825
37,0.86
38,0.83
39,0.825
40,0.875
41,0.785
42,0.795
43,0.815
44,0.81
45,0.785
46,0.81
47,0.76
48,0.805
49,0.81
50,0.845
51,0.84
52,0.855
53,0.795
54,0.775
55,0.825
56,0.775
57,0.875
58,0.82
59,0.835
60,0.805
61,0.81
62,0.74
63,0.81
64,0.79
65,0.83
66,0.76
67,0.785
68,0.815
69,0.74
70,0.77
71,0.815
72,0.79
73,0.82
74,0.825
75,0.8
76,0.84
77,0.81
78,0.795
79,0.83
80,0.825
81,0.83
82,0.79
83,0.78
84,0.765
85,0.805
86,0.775
87,0.845
88,0.82
89,0.82
90,0.81
91,0.84
92,0.815
93,0.86
94,0.8
95,0.8
96,0.84
97,0.84
98,0.815
99,0.83
100,0.785
101,0.795
102,0.795
103,0.815
104,0.82
105,0.805
106,0.825
107,0.86
108,0.815
109,0.79
110,0.86
111,0.805
112,0.865
113,0.79
114,0.845
115,0.84
116,0.84
117,0.8
118,0.84
119,0.84
120,0.845
121,0.805
122,0.86
123,0.82
124,0.8
125,0.8
126,0.835
127,0.805
128,0.84
129,0.765
130,0.795
131,0.805
132,0.785
133,0.87
134,0.81
135,0.82
136,0.825
137,0.855
138,0.87
139,0.835
140,0.86
141,0.81
142,0.79
143,0.78
144,0.79
145,0.825
146,0.785
147,0.76
148,0.815
149,0.82
150,0.735
151,0.785
152,0.74
153,0.74
154,0.765
155,0.75
156,0.76
157,0.745
158,0.75
159,0.855
160,0.77
161,0.795
162,0.775
163,0.82
164,0.775
165,0.785
166,0.785
167,0.795
168,0.77
169,0.85
170,0.73
171,0.785
172,0.77
173,0.78
174,0.78
175,0.84
176,0.77
177,0.78
178,0.725
179,0.815
180,0.77
181,0.82
182,0.75
183,0.795
184,0.74
185,0.81
186,0.82
187,0.79
188,0.775
189,0.775
190,0.83
191,0.825
192,0.78
193,0.795
194,0.82
195,0.805
196,0.785
197,0.775
198,0.82
199,0.805
200,0.79
201,0.77
202,0.83
203,0.835
204,0.83
205,0.825
206,0.815
207,0.815
208,0.8
209,0.8
210,0.81
211,0.77
212,0.8
213,0.825
214,0.87
215,0.79
216,0.785
217,0.805
218,0.8
219,0.785
220,0.8
221,0.81
222,0.855
223,0.835
224,0.79
225,0.755
226,0.8
227,0.795
228,0.785
229,0.79
230,0.79
231,0.815
232,0.78
233,0.795
234,0.8
235,0.76
236,0.845
237,0.835
238,0.74
239,0.815
240,0.815
241,0.765
242,0.84
243,0.83
244,0.765
245,0.76
246,0.805
247,0.825
248,0.775
249,0.825
250,0.77
251,0.81
252,0.8
253,0.87
254,0.825
255,0.81
256,0.83
257,0.89
258,0.84
259,0.795
260,0.82
261,0.78
262,0.78
263,0.835
264,0.785
265,0.865
266,0.76
267,0.795
268,0.77
269,0.78
270,0.825
271,0.77
272,0.82
273,0.805
274,0.825
275,0.835
276,0.79
277,0.78
278,0.815
279,0.83
280,0.835
281,0.8
282,0.8
283,0.805
284,0.8
285,0.81
286,0.8
287,0.74
288,0.785
289,0.81
290,0.835
291,0.825
292,0.8
293,0.8
294,0.78
295,0.825
296,0.85
297,0.805
298,0.745
