chunk,accuracy
0,0.0
1,0.75
2,0.785
3,0.81
4,0.83
5,0.8
6,0.805
7,0.795
8,0.82
9,0.785
10,0.765
11,0.565
12,0.825
13,0.83
14,0.78
15,0.71
16,0.815
17,0.83
18,0.635
19,0.81
20,0.78
21,0.825
22,0.815
23,0.825
24,0.775
25,0.64
26,0.84
27,0.79
28,0.82
29,0.775
30,0.83
31,0.785
32,0.825
33,0.79
34,0.79
35,0.775
36,0.82
37,0.775
38,0.72
39,0.79
40,0.78
41,0.785
42,0.75
43,0.79
44,0.785
45,0.805
46,0.815
47,0.795
48,0.775
49,0.72
50,0.82
51,0.715
52,0.82
53,0.825
54,0.83
55,0.785
56,0.81
57,0.5
58,0.82
59,0.84
60,0.82
61,0.785
62,0.735
63,0.84
64,0.82
65,0.795
66,0.69
67,0.805
68,0.8
69,0.79
70,0.785
71,0.815
72,0.81
73,0.76
74,0.825
75,0.76
76,0.78
77,0.775
78,0.805
79,0.5
80,0.82
81,0.48
82,0.79
83,0.8
84,0.82
85,0.805
86,0.805
87,0.78
88,0.77
89,0.4
90,0.73
91,0.8
92,0.845
93,0.775
94,0.845
95,0.8
96,0.355
97,0.775
98,0.78
99,0.805
100,0.805
101,0.795
102,0.845
103,0.83
104,0.795
105,0.765
106,0.835
107,0.85
108,0.805
109,0.855
110,0.755
111,0.78
112,0.84
113,0.815
114,0.8
115,0.83
116,0.825
117,0.815
118,0.82
119,0.8
120,0.81
121,0.805
122,0.805
123,0.835
124,0.83
125,0.8
126,0.81
127,0.78
128,0.815
129,0.8
130,0.83
131,0.805
132,0.84
133,0.74
134,0.835
135,0.77
136,0.785
137,0.835
138,0.85
139,0.8
140,0.79
141,0.82
142,0.74
143,0.805
144,0.675
145,0.775
146,0.8
147,0.805
148,0.795
149,0.805
150,0.38
151,0.545
152,0.465
153,0.74
154,0.625
155,0.685
156,0.75
157,0.59
158,0.675
159,0.755
160,0.745
161,0.605
162,0.71
163,0.76
164,0.78
165,0.35
166,0.69
167,0.74
168,0.73
169,0.65
170,0.715
171,0.675
172,0.82
173,0.745
174,0.58
175,0.715
176,0.805
177,0.76
178,0.795
179,0.78
180,0.78
181,0.675
182,0.71
183,0.705
184,0.74
185,0.81
186,0.84
187,0.765
188,0.755
189,0.685
190,0.42
191,0.74
192,0.77
193,0.69
194,0.705
195,0.68
196,0.825
197,0.785
198,0.84
199,0.8
200,0.75
201,0.65
202,0.835
203,0.825
204,0.62
205,0.82
206,0.83
207,0.82
208,0.475
209,0.76
210,0.885
211,0.79
212,0.835
213,0.77
214,0.85
215,0.55
216,0.84
217,0.84
218,0.71
219,0.775
220,0.74
221,0.76
222,0.765
223,0.715
224,0.785
225,0.71
226,0.865
227,0.855
228,0.805
229,0.75
230,0.86
231,0.8
232,0.735
233,0.775
234,0.85
235,0.86
236,0.825
237,0.665
238,0.795
239,0.905
240,0.77
241,0.69
242,0.845
243,0.825
244,0.83
245,0.795
246,0.795
247,0.795
248,0.62
249,0.575
250,0.85
251,0.805
252,0.88
253,0.475
254,0.88
255,0.78
256,0.77
257,0.73
258,0.885
259,0.83
260,0.815
261,0.745
262,0.795
263,0.775
264,0.89
265,0.645
266,0.635
267,0.69
268,0.815
269,0.725
270,0.44
271,0.785
272,0.825
273,0.82
274,0.83
275,0.835
276,0.725
277,0.875
278,0.78
279,0.68
280,0.85
281,0.865
282,0.845
283,0.875
284,0.67
285,0.85
286,0.89
287,0.825
288,0.805
289,0.725
290,0.84
291,0.845
292,0.625
293,0.845
294,0.85
295,0.885
296,0.86
297,0.875
298,0.885
