chunk,accuracy
0,0.0
1,0.815
2,0.79
3,0.76
4,0.825
5,0.805
6,0.825
7,0.77
8,0.825
9,0.85
10,0.84
11,0.825
12,0.705
13,0.725
14,0.46
15,0.82
16,0.855
17,0.805
18,0.64
19,0.785
20,0.81
21,0.715
22,0.82
23,0.82
24,0.83
25,0.79
26,0.86
27,0.85
28,0.795
29,0.675
30,0.81
31,0.44
32,0.765
33,0.805
34,0.79
35,0.8
36,0.815
37,0.81
38,0.785
39,0.825
40,0.765
41,0.795
42,0.855
43,0.83
44,0.82
45,0.825
46,0.81
47,0.83
48,0.855
49,0.85
50,0.81
51,0.785
52,0.835
53,0.805
54,0.845
55,0.78
56,0.755
57,0.805
58,0.815
59,0.83
60,0.775
61,0.76
62,0.815
63,0.775
64,0.835
65,0.795
66,0.755
67,0.76
68,0.8
69,0.84
70,0.815
71,0.8
72,0.835
73,0.66
74,0.84
75,0.71
76,0.805
77,0.76
78,0.65
79,0.62
80,0.8
81,0.83
82,0.75
83,0.755
84,0.385
85,0.805
86,0.825
87,0.79
88,0.78
89,0.85
90,0.79
91,0.595
92,0.86
93,0.805
94,0.845
95,0.82
96,0.83
97,0.81
98,0.765
99,0.835
100,0.8
101,0.84
102,0.79
103,0.805
104,0.86
105,0.8
106,0.825
107,0.84
108,0.73
109,0.83
110,0.805
111,0.885
112,0.815
113,0.82
114,0.825
115,0.825
116,0.815
117,0.65
118,0.815
119,0.82
120,0.8
121,0.79
122,0.81
123,0.835
124,0.63
125,0.815
126,0.855
127,0.85
128,0.815
129,0.815
130,0.85
131,0.85
132,0.87
133,0.815
134,0.84
135,0.755
136,0.88
137,0.76
138,0.8
139,0.79
140,0.765
141,0.835
142,0.81
143,0.81
144,0.705
145,0.81
146,0.81
147,0.825
148,0.79
149,0.86
150,0.395
151,0.72
152,0.675
153,0.705
154,0.73
155,0.465
156,0.705
157,0.72
158,0.735
159,0.755
160,0.405
161,0.605
162,0.5
163,0.75
164,0.695
165,0.75
166,0.68
167,0.63
168,0.65
169,0.77
170,0.795
171,0.76
172,0.66
173,0.665
174,0.63
175,0.84
176,0.655
177,0.515
178,0.76
179,0.805
180,0.8
181,0.59
182,0.57
183,0.795
184,0.61
185,0.785
186,0.755
187,0.77
188,0.725
189,0.775
190,0.77
191,0.84
192,0.76
193,0.71
194,0.595
195,0.69
196,0.65
197,0.65
198,0.69
199,0.8
200,0.85
201,0.77
202,0.8
203,0.8
204,0.82
205,0.56
206,0.72
207,0.77
208,0.6
209,0.81
210,0.71
211,0.8
212,0.89
213,0.785
214,0.785
215,0.875
216,0.705
217,0.58
218,0.53
219,0.81
220,0.86
221,0.795
222,0.82
223,0.66
224,0.82
225,0.825
226,0.81
227,0.625
228,0.385
229,0.825
230,0.795
231,0.74
232,0.74
233,0.645
234,0.65
235,0.71
236,0.83
237,0.85
238,0.79
239,0.855
240,0.605
241,0.875
242,0.68
243,0.755
244,0.82
245,0.84
246,0.825
247,0.78
248,0.68
249,0.85
250,0.86
251,0.825
252,0.825
253,0.83
254,0.74
255,0.735
256,0.77
257,0.725
258,0.86
259,0.76
260,0.81
261,0.815
262,0.78
263,0.75
264,0.75
265,0.77
266,0.76
267,0.87
268,0.73
269,0.69
270,0.775
271,0.835
272,0.795
273,0.88
274,0.82
275,0.835
276,0.835
277,0.74
278,0.825
279,0.845
280,0.82
281,0.665
282,0.89
283,0.82
284,0.85
285,0.69
286,0.88
287,0.645
288,0.815
289,0.85
290,0.82
291,0.75
292,0.71
293,0.915
294,0.87
295,0.8
296,0.765
297,0.905
298,0.85
