chunk,accuracy
0,0.0
1,0.585
2,0.615
3,0.525
4,0.78
5,0.84
6,0.81
7,0.725
8,0.8
9,0.765
10,0.715
11,0.77
12,0.825
13,0.69
14,0.67
15,0.815
16,0.805
17,0.525
18,0.765
19,0.795
20,0.82
21,0.825
22,0.8
23,0.81
24,0.81
25,0.825
26,0.84
27,0.805
28,0.83
29,0.805
30,0.84
31,0.805
32,0.825
33,0.8
34,0.84
35,0.805
36,0.795
37,0.87
38,0.75
39,0.81
40,0.81
41,0.835
42,0.795
43,0.845
44,0.83
45,0.84
46,0.8
47,0.81
48,0.795
49,0.845
50,0.785
51,0.855
52,0.855
53,0.825
54,0.875
55,0.84
56,0.805
57,0.785
58,0.795
59,0.84
60,0.785
61,0.81
62,0.835
63,0.835
64,0.845
65,0.8
66,0.835
67,0.795
68,0.83
69,0.835
70,0.84
71,0.825
72,0.85
73,0.84
74,0.845
75,0.835
76,0.845
77,0.84
78,0.84
79,0.83
80,0.775
81,0.855
82,0.825
83,0.815
84,0.795
85,0.83
86,0.805
87,0.83
88,0.84
89,0.86
90,0.735
91,0.815
92,0.82
93,0.835
94,0.845
95,0.825
96,0.8
97,0.815
98,0.825
99,0.835
100,0.79
101,0.775
102,0.85
103,0.84
104,0.855
105,0.775
106,0.835
107,0.8
108,0.84
109,0.8
110,0.81
111,0.835
112,0.81
113,0.775
114,0.79
115,0.885
116,0.815
117,0.85
118,0.775
119,0.835
120,0.78
121,0.775
122,0.855
123,0.785
124,0.76
125,0.815
126,0.87
127,0.82
128,0.86
129,0.8
130,0.83
131,0.84
132,0.815
133,0.735
134,0.84
135,0.83
136,0.79
137,0.78
138,0.83
139,0.78
140,0.76
141,0.845
142,0.82
143,0.79
144,0.86
145,0.825
146,0.82
147,0.805
148,0.825
149,0.82
150,0.45
151,0.425
152,0.415
153,0.405
154,0.53
155,0.48
156,0.54
157,0.565
158,0.575
159,0.575
160,0.595
161,0.62
162,0.65
163,0.72
164,0.765
165,0.735
166,0.825
167,0.81
168,0.785
169,0.815
170,0.69
171,0.81
172,0.8
173,0.785
174,0.79
175,0.8
176,0.81
177,0.82
178,0.805
179,0.79
180,0.815
181,0.815
182,0.75
183,0.78
184,0.785
185,0.81
186,0.84
187,0.81
188,0.815
189,0.855
190,0.79
191,0.77
192,0.805
193,0.835
194,0.84
195,0.825
196,0.8
197,0.795
198,0.775
199,0.77
200,0.845
201,0.74
202,0.79
203,0.745
204,0.805
205,0.78
206,0.75
207,0.825
208,0.76
209,0.75
210,0.8
211,0.765
212,0.81
213,0.795
214,0.77
215,0.79
216,0.84
217,0.815
218,0.785
219,0.78
220,0.715
221,0.81
222,0.815
223,0.79
224,0.815
225,0.855
226,0.85
227,0.855
228,0.86
229,0.75
230,0.825
231,0.79
232,0.8
233,0.84
234,0.86
235,0.785
236,0.785
237,0.835
238,0.795
239,0.86
240,0.805
241,0.8
242,0.79
243,0.815
244,0.835
245,0.815
246,0.835
247,0.785
248,0.82
249,0.83
250,0.81
251,0.81
252,0.815
253,0.77
254,0.795
255,0.83
256,0.815
257,0.835
258,0.795
259,0.8
260,0.8
261,0.79
262,0.79
263,0.8
264,0.845
265,0.835
266,0.87
267,0.8
268,0.78
269,0.81
270,0.775
271,0.8
272,0.83
273,0.815
274,0.815
275,0.755
276,0.775
277,0.78
278,0.74
279,0.745
280,0.755
281,0.805
282,0.79
283,0.765
284,0.78
285,0.78
286,0.835
287,0.825
288,0.755
289,0.775
290,0.79
291,0.775
292,0.79
293,0.805
294,0.755
295,0.83
296,0.78
297,0.78
298,0.805
