chunk,accuracy
0,0.0
1,0.765
2,0.805
3,0.82
4,0.81
5,0.795
6,0.77
7,0.73
8,0.83
9,0.85
10,0.825
11,0.795
12,0.825
13,0.78
14,0.83
15,0.8
16,0.795
17,0.765
18,0.79
19,0.76
20,0.78
21,0.845
22,0.745
23,0.79
24,0.795
25,0.82
26,0.83
27,0.81
28,0.835
29,0.825
30,0.805
31,0.77
32,0.805
33,0.775
34,0.795
35,0.82
36,0.79
37,0.785
38,0.82
39,0.83
40,0.825
41,0.75
42,0.765
43,0.815
44,0.84
45,0.76
46,0.725
47,0.81
48,0.835
49,0.755
50,0.8
51,0.785
52,0.75
53,0.83
54,0.76
55,0.735
56,0.82
57,0.8
58,0.795
59,0.795
60,0.79
61,0.845
62,0.855
63,0.865
64,0.815
65,0.83
66,0.8
67,0.79
68,0.74
69,0.855
70,0.825
71,0.825
72,0.775
73,0.795
74,0.785
75,0.83
76,0.795
77,0.805
78,0.85
79,0.79
80,0.765
81,0.815
82,0.84
83,0.78
84,0.725
85,0.83
86,0.82
87,0.725
88,0.745
89,0.825
90,0.845
91,0.845
92,0.84
93,0.82
94,0.785
95,0.76
96,0.735
97,0.805
98,0.79
99,0.805
100,0.805
101,0.79
102,0.81
103,0.8
104,0.785
105,0.775
106,0.81
107,0.805
108,0.785
109,0.825
110,0.765
111,0.8
112,0.77
113,0.795
114,0.835
115,0.755
116,0.79
117,0.795
118,0.85
119,0.8
120,0.8
121,0.77
122,0.795
123,0.845
124,0.79
125,0.825
126,0.74
127,0.785
128,0.805
129,0.78
130,0.855
131,0.84
132,0.82
133,0.81
134,0.815
135,0.795
136,0.79
137,0.83
138,0.865
139,0.805
140,0.84
141,0.785
142,0.835
143,0.805
144,0.845
145,0.855
146,0.82
147,0.825
148,0.835
149,0.82
150,0.41
151,0.44
152,0.35
153,0.49
154,0.5
155,0.505
156,0.54
157,0.525
158,0.53
159,0.575
160,0.635
161,0.62
162,0.685
163,0.69
164,0.78
165,0.78
166,0.795
167,0.735
168,0.815
169,0.83
170,0.815
171,0.865
172,0.81
173,0.85
174,0.785
175,0.83
176,0.855
177,0.85
178,0.865
179,0.825
180,0.835
181,0.79
182,0.815
183,0.845
184,0.8
185,0.8
186,0.85
187,0.795
188,0.725
189,0.765
190,0.825
191,0.79
192,0.785
193,0.805
194,0.82
195,0.815
196,0.8
197,0.81
198,0.865
199,0.78
200,0.865
201,0.81
202,0.805
203,0.86
204,0.835
205,0.83
206,0.835
207,0.795
208,0.825
209,0.87
210,0.805
211,0.815
212,0.86
213,0.785
214,0.865
215,0.79
216,0.845
217,0.84
218,0.815
219,0.86
220,0.865
221,0.81
222,0.825
223,0.83
224,0.85
225,0.865
226,0.81
227,0.865
228,0.81
229,0.855
230,0.81
231,0.82
232,0.835
233,0.85
234,0.83
235,0.82
236,0.79
237,0.81
238,0.805
239,0.83
240,0.83
241,0.785
242,0.85
243,0.86
244,0.75
245,0.865
246,0.87
247,0.81
248,0.865
249,0.855
250,0.83
251,0.825
252,0.855
253,0.805
254,0.81
255,0.82
256,0.835
257,0.805
258,0.815
259,0.81
260,0.855
261,0.82
262,0.845
263,0.85
264,0.87
265,0.845
266,0.835
267,0.835
268,0.79
269,0.81
270,0.81
271,0.875
272,0.815
273,0.8
274,0.85
275,0.83
276,0.83
277,0.82
278,0.85
279,0.795
280,0.85
281,0.87
282,0.81
283,0.855
284,0.81
285,0.79
286,0.85
287,0.845
288,0.82
289,0.76
290,0.845
291,0.83
292,0.815
293,0.86
294,0.83
295,0.795
296,0.87
297,0.86
298,0.82
