chunk,accuracy
0,0.0
1,0.615
2,0.735
3,0.75
4,0.72
5,0.8
6,0.805
7,0.615
8,0.795
9,0.79
10,0.765
11,0.65
12,0.795
13,0.785
14,0.805
15,0.705
16,0.82
17,0.805
18,0.785
19,0.73
20,0.79
21,0.775
22,0.845
23,0.815
24,0.79
25,0.865
26,0.84
27,0.825
28,0.835
29,0.83
30,0.845
31,0.85
32,0.775
33,0.82
34,0.85
35,0.855
36,0.8
37,0.82
38,0.84
39,0.84
40,0.835
41,0.8
42,0.82
43,0.87
44,0.825
45,0.84
46,0.825
47,0.795
48,0.81
49,0.835
50,0.805
51,0.785
52,0.8
53,0.83
54,0.875
55,0.83
56,0.81
57,0.81
58,0.8
59,0.83
60,0.775
61,0.795
62,0.845
63,0.82
64,0.8
65,0.855
66,0.83
67,0.835
68,0.805
69,0.815
70,0.785
71,0.83
72,0.81
73,0.85
74,0.85
75,0.835
76,0.83
77,0.8
78,0.815
79,0.83
80,0.81
81,0.825
82,0.81
83,0.76
84,0.83
85,0.84
86,0.81
87,0.815
88,0.85
89,0.855
90,0.795
91,0.85
92,0.84
93,0.865
94,0.785
95,0.825
96,0.82
97,0.82
98,0.84
99,0.81
100,0.835
101,0.775
102,0.845
103,0.855
104,0.825
105,0.815
106,0.805
107,0.805
108,0.865
109,0.825
110,0.85
111,0.855
112,0.805
113,0.805
114,0.86
115,0.84
116,0.795
117,0.88
118,0.785
119,0.805
120,0.77
121,0.82
122,0.865
123,0.815
124,0.805
125,0.81
126,0.91
127,0.79
128,0.865
129,0.82
130,0.83
131,0.855
132,0.82
133,0.775
134,0.845
135,0.815
136,0.83
137,0.815
138,0.77
139,0.8
140,0.775
141,0.835
142,0.85
143,0.785
144,0.805
145,0.83
146,0.805
147,0.795
148,0.845
149,0.79
150,0.37
151,0.415
152,0.42
153,0.43
154,0.52
155,0.525
156,0.525
157,0.56
158,0.555
159,0.54
160,0.565
161,0.725
162,0.7
163,0.605
164,0.75
165,0.79
166,0.78
167,0.76
168,0.76
169,0.815
170,0.845
171,0.85
172,0.83
173,0.8
174,0.78
175,0.82
176,0.85
177,0.86
178,0.82
179,0.815
180,0.875
181,0.81
182,0.78
183,0.84
184,0.79
185,0.815
186,0.775
187,0.795
188,0.83
189,0.855
190,0.85
191,0.835
192,0.835
193,0.77
194,0.815
195,0.795
196,0.845
197,0.83
198,0.785
199,0.835
200,0.81
201,0.875
202,0.775
203,0.77
204,0.81
205,0.84
206,0.82
207,0.795
208,0.835
209,0.795
210,0.84
211,0.83
212,0.815
213,0.81
214,0.835
215,0.775
216,0.785
217,0.885
218,0.79
219,0.855
220,0.83
221,0.83
222,0.82
223,0.83
224,0.765
225,0.82
226,0.77
227,0.835
228,0.77
229,0.82
230,0.86
231,0.85
232,0.84
233,0.825
234,0.825
235,0.795
236,0.83
237,0.865
238,0.81
239,0.815
240,0.85
241,0.855
242,0.795
243,0.84
244,0.83
245,0.86
246,0.78
247,0.845
248,0.775
249,0.81
250,0.79
251,0.795
252,0.83
253,0.825
254,0.83
255,0.845
256,0.835
257,0.82
258,0.835
259,0.835
260,0.81
261,0.855
262,0.82
263,0.78
264,0.8
265,0.8
266,0.775
267,0.79
268,0.765
269,0.825
270,0.815
271,0.79
272,0.835
273,0.81
274,0.775
275,0.815
276,0.82
277,0.77
278,0.815
279,0.825
280,0.81
281,0.825
282,0.775
283,0.78
284,0.81
285,0.78
286,0.755
287,0.81
288,0.785
289,0.81
290,0.755
291,0.785
292,0.805
293,0.83
294,0.835
295,0.815
296,0.85
297,0.81
298,0.825
