chunk,accuracy
0,0.0
1,0.8
2,0.785
3,0.8
4,0.765
5,0.795
6,0.775
7,0.86
8,0.785
9,0.785
10,0.81
11,0.805
12,0.82
13,0.79
14,0.805
15,0.78
16,0.615
17,0.75
18,0.835
19,0.785
20,0.845
21,0.835
22,0.81
23,0.8
24,0.76
25,0.81
26,0.81
27,0.79
28,0.83
29,0.8
30,0.835
31,0.82
32,0.775
33,0.805
34,0.795
35,0.84
36,0.79
37,0.785
38,0.79
39,0.795
40,0.825
41,0.85
42,0.76
43,0.785
44,0.82
45,0.855
46,0.84
47,0.805
48,0.775
49,0.79
50,0.82
51,0.805
52,0.785
53,0.775
54,0.79
55,0.8
56,0.81
57,0.79
58,0.83
59,0.825
60,0.79
61,0.795
62,0.79
63,0.8
64,0.82
65,0.84
66,0.805
67,0.82
68,0.795
69,0.77
70,0.75
71,0.83
72,0.765
73,0.815
74,0.755
75,0.81
76,0.775
77,0.83
78,0.79
79,0.78
80,0.805
81,0.745
82,0.77
83,0.82
84,0.835
85,0.765
86,0.785
87,0.815
88,0.8
89,0.795
90,0.745
91,0.81
92,0.775
93,0.8
94,0.81
95,0.795
96,0.76
97,0.85
98,0.825
99,0.81
100,0.805
101,0.785
102,0.8
103,0.85
104,0.865
105,0.8
106,0.805
107,0.83
108,0.75
109,0.795
110,0.81
111,0.815
112,0.78
113,0.765
114,0.77
115,0.8
116,0.75
117,0.81
118,0.79
119,0.765
120,0.8
121,0.85
122,0.755
123,0.785
124,0.8
125,0.8
126,0.795
127,0.775
128,0.79
129,0.85
130,0.82
131,0.79
132,0.83
133,0.805
134,0.795
135,0.815
136,0.8
137,0.84
138,0.765
139,0.785
140,0.84
141,0.79
142,0.79
143,0.785
144,0.845
145,0.785
146,0.82
147,0.825
148,0.8
149,0.825
150,0.715
151,0.76
152,0.725
153,0.77
154,0.79
155,0.775
156,0.76
157,0.755
158,0.75
159,0.78
160,0.775
161,0.795
162,0.82
163,0.805
164,0.8
165,0.82
166,0.78
167,0.8
168,0.78
169,0.81
170,0.745
171,0.805
172,0.84
173,0.83
174,0.78
175,0.795
176,0.815
177,0.795
178,0.765
179,0.8
180,0.83
181,0.795
182,0.81
183,0.77
184,0.765
185,0.775
186,0.775
187,0.805
188,0.86
189,0.815
190,0.77
191,0.755
192,0.83
193,0.76
194,0.81
195,0.78
196,0.79
197,0.815
198,0.735
199,0.78
200,0.81
201,0.845
202,0.86
203,0.875
204,0.765
205,0.765
206,0.825
207,0.775
208,0.815
209,0.775
210,0.85
211,0.785
212,0.83
213,0.8
214,0.85
215,0.8
216,0.83
217,0.8
218,0.85
219,0.825
220,0.79
221,0.8
222,0.805
223,0.785
224,0.81
225,0.805
226,0.8
227,0.795
228,0.83
229,0.82
230,0.78
231,0.84
232,0.815
233,0.84
234,0.81
235,0.815
236,0.795
237,0.795
238,0.835
239,0.79
240,0.825
241,0.815
242,0.805
243,0.81
244,0.815
245,0.8
246,0.74
247,0.84
248,0.785
249,0.83
250,0.835
251,0.805
252,0.85
253,0.815
254,0.81
255,0.795
256,0.785
257,0.815
258,0.86
259,0.87
260,0.835
261,0.845
262,0.79
263,0.865
264,0.785
265,0.775
266,0.795
267,0.82
268,0.78
269,0.79
270,0.79
271,0.87
272,0.815
273,0.805
274,0.835
275,0.78
276,0.785
277,0.785
278,0.795
279,0.85
280,0.805
281,0.845
282,0.82
283,0.81
284,0.825
285,0.83
286,0.81
287,0.81
288,0.825
289,0.85
290,0.815
291,0.815
292,0.815
293,0.825
294,0.79
295,0.835
296,0.85
297,0.79
298,0.835
