chunk,accuracy
0,0.0
1,0.07
2,0.17
3,0.24
4,0.18
5,0.23
6,0.19
7,0.27
8,0.185
9,0.235
10,0.255
11,0.215
12,0.26
13,0.26
14,0.26
15,0.23
16,0.24
17,0.26
18,0.325
19,0.37
20,0.29
21,0.245
22,0.27
23,0.26
24,0.27
25,0.32
26,0.26
27,0.215
28,0.315
29,0.19
30,0.28
31,0.32
32,0.38
33,0.34
34,0.295
35,0.335
36,0.39
37,0.335
38,0.405
39,0.35
40,0.24
41,0.215
42,0.35
43,0.375
44,0.325
45,0.33
46,0.25
47,0.355
48,0.29
49,0.39
50,0.355
51,0.4
52,0.485
53,0.235
54,0.415
55,0.335
56,0.355
57,0.445
58,0.37
59,0.305
60,0.305
61,0.33
62,0.38
63,0.365
64,0.325
65,0.29
66,0.305
67,0.405
68,0.36
69,0.37
70,0.34
71,0.31
72,0.42
73,0.34
74,0.355
75,0.28
76,0.36
77,0.37
78,0.21
79,0.345
80,0.285
81,0.34
82,0.33
83,0.385
84,0.305
85,0.245
86,0.365
87,0.365
88,0.395
89,0.48
90,0.345
91,0.405
92,0.325
93,0.35
94,0.38
95,0.415
96,0.325
97,0.305
98,0.385
99,0.38
100,0.345
101,0.395
102,0.37
103,0.405
104,0.39
105,0.355
106,0.435
107,0.38
108,0.37
109,0.405
110,0.35
111,0.15
112,0.33
113,0.375
114,0.375
115,0.455
116,0.375
117,0.405
118,0.38
119,0.39
120,0.325
121,0.43
122,0.395
123,0.345
124,0.44
125,0.35
126,0.435
127,0.32
128,0.355
129,0.42
130,0.365
131,0.445
132,0.33
133,0.42
134,0.425
135,0.45
136,0.415
137,0.23
138,0.385
139,0.43
140,0.325
141,0.385
142,0.43
143,0.32
144,0.42
145,0.365
146,0.365
147,0.36
148,0.39
149,0.38
150,0.3
151,0.335
152,0.355
153,0.35
154,0.235
155,0.305
156,0.37
157,0.385
158,0.3
159,0.265
160,0.315
161,0.345
162,0.395
163,0.415
164,0.21
165,0.395
166,0.375
167,0.415
168,0.295
169,0.37
170,0.265
171,0.335
172,0.35
173,0.42
174,0.365
175,0.385
176,0.295
177,0.38
178,0.28
179,0.315
180,0.36
181,0.265
182,0.42
183,0.345
184,0.335
185,0.32
186,0.365
187,0.255
188,0.315
189,0.3
190,0.31
191,0.325
192,0.29
193,0.28
194,0.34
195,0.33
196,0.285
197,0.395
198,0.295
199,0.35
200,0.4
201,0.34
202,0.33
203,0.42
204,0.345
205,0.28
206,0.325
207,0.34
208,0.23
209,0.32
210,0.33
211,0.375
212,0.32
213,0.41
214,0.295
215,0.365
216,0.39
217,0.38
218,0.345
219,0.18
220,0.32
221,0.3
222,0.225
223,0.425
224,0.43
225,0.35
226,0.38
227,0.41
228,0.33
229,0.35
230,0.435
231,0.375
232,0.31
233,0.32
234,0.345
235,0.405
236,0.365
237,0.45
238,0.365
239,0.355
240,0.345
241,0.425
242,0.425
243,0.21
244,0.465
245,0.38
246,0.37
247,0.36
248,0.395
249,0.27
250,0.445
251,0.365
252,0.285
253,0.35
254,0.465
255,0.405
256,0.28
257,0.32
258,0.41
259,0.375
260,0.36
261,0.355
262,0.415
263,0.345
264,0.44
265,0.36
266,0.365
267,0.385
268,0.325
269,0.33
270,0.38
271,0.415
272,0.4
273,0.4
274,0.405
275,0.405
276,0.385
277,0.205
278,0.39
279,0.31
280,0.36
281,0.37
282,0.35
283,0.355
284,0.41
285,0.39
286,0.335
287,0.37
288,0.36
289,0.4
290,0.405
291,0.35
292,0.36
293,0.34
294,0.4
295,0.38
296,0.425
297,0.365
298,0.44
